"Save & Generate","Salva e Genera"
"Edit Sitemap","Modifica Sitemap"
"New Sitemap","Nuova sitemap"
"Sitemap Information","Informazioni sitemap"
"Sitemap","Sitemap"
"Filename","Nome file"
"example: sitemap.xml","esempio: sitemap.xml"
"Path","Percorso"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Vista Negozio"
"Generate","Genera"
"XML Sitemap","Sitemap XML"
"Add Sitemap","Aggiungi sitemap"
"Catalog","Catalogo"
"You deleted the sitemap.","Hai eliminato la sitemap."
"We can't find a sitemap to delete.","Non è possibile trovare una sitemap da eliminare."
"This sitemap no longer exists.","Questa sitemap non esiste più."
"Site Map","Sitemap"
"New Site Map","Nuova sitemap"
"The sitemap ""%1"" has been generated.","La sistemap ""%1"" è stata generata."
"We can't generate the sitemap right now.","Non è possibile generare la sitemap in questo momento."
"We can't find a sitemap to generate.","Non è possibile trovare la sitemap da generare."
"You saved the sitemap.","Hai salvato la sitemap."
"The priority must be between 0 and 1.","La priorità deve essere compresa tra 0 e 1."
"Always","Sempre"
"Hourly","Oraria"
"Daily","Giornalmente"
"Weekly","Settimanalmente"
"Monthly","Mensilmente"
"Yearly","Annuale"
"Never","Mai"
"File handler unreachable","Gestore file non raggiungibile"
"Please define a correct path.","Definisci un percorso corretto."
"Please create the specified folder ""%1"" before saving the sitemap.","Crea una specifica cartella ""%1"" prima di salvare la sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Assicurati che ""%1"" sia scrivibile dal server web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o underscore (_) nel nome file. Non sono consentiti spazi o altri caratteri."
"None","Nessuno"
"Base Only","Solo Base"
"All","Tutti"
"Sitemap generate Warnings","Avvisi relativi alla generazione del Sitemap"
"Sitemap Generation Warnings","Avvisi generazione sitemap"
"XML Sitemap Section","Sezione Sitemap XML"
"Categories Options","Opzioni Categorie"
"Frequency","Frequenza"
"Priority","Priorità"
"Valid values range from 0.0 to 1.0.","Intervallo di valori validi da 0.0 a 1.0."
"Products Options","Opzioni Prodotti"
"Add Images into Sitemap","Aggiungere immagini nella Sitemap"
"CMS Pages Options","Opzioni Pagine CMS"
"Generation Settings","Impostazioni di generazione"
"Enabled","Abilitato"
"Error Email Recipient","Destinatario Email di errore"
"Error Email Sender","Mittente Email di errore"
"Error Email Template","Template Email di errore"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Il template email scelto basato su fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Start Time","Ora di inizio"
"Sitemap File Limits","Limiti del File Sitemap"
"Maximum No of URLs Per File","Numero massimo di URL per file"
"Maximum File Size","Dimensione massima del file"
"File size in bytes.","Dimensioni file in byte."
"Search Engine Submission Settings","Impostazioni invio del motore di ricerca"
"Enable Submission to Robots.txt","Attiva Invio al Robots.txt"
"ID","ID"
"Link for Google","Link per Google"
"Last Generated","L'ultimo generato"
"Action","Azione"
