"Save & Generate","保存 & 生成"
"Edit Sitemap","编辑站点地图"
"New Sitemap","新网站地图"
"Sitemap Information","网站地图信息"
"Sitemap","网站地图"
"Filename","文件名"
"example: sitemap.xml","示例: sitemap.xml"
"Path","路径"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","商店界面"
"Generate","生成"
"XML Sitemap","XML 网站地图"
"Add Sitemap","添加网站地图"
"Catalog","目录"
"You deleted the sitemap.","你删除的站点地图。"
"We can't find a sitemap to delete.","我们找不到要删除一个网站地图。"
"This sitemap no longer exists.","这个网站地图不再存在。"
"Site Map","站点地图"
"New Site Map","新站点图"
"The sitemap ""%1"" has been generated.","已生成网站地图""%1""。"
"We can't generate the sitemap right now.","我们现在无法生成站点地图。"
"We can't find a sitemap to generate.","我们找不到生成站点地图。"
"You saved the sitemap.","你保存的网站地图。"
"The priority must be between 0 and 1.","优先级必须介于 0 和 1 之间。"
"Always","总是"
"Hourly","每小时"
"Daily","每天"
"Weekly","每月"
"Monthly","每月"
"Yearly","每年"
"Never","永不"
"File handler unreachable","文件处理程序无法访问"
"Please define a correct path.","请定义正确的路径。"
"Please create the specified folder ""%1"" before saving the sitemap.","请保存站点地图之前创建指定的文件夹""%1""。"
"Please make sure that ""%1"" is writable by the web-server.","请确保“% 1”是由web服务器写入的。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","请在文件名中使用唯一的字母 (a 到 z 或 A 到 Z)，数字 (0-9) 或下划线 (_)。允许不能有空格或其他字符。"
"None","无"
"Base Only","基地只有"
"All","全部"
"Sitemap generate Warnings","网站地图生成警告"
"Sitemap Generation Warnings","网站地图生成警告"
"XML Sitemap Section","XML 网站地图节"
"Categories Options","类别选项"
"Frequency","频率"
"Priority","优先级"
"Valid values range from 0.0 to 1.0.","有效值范围从 0.0 到 1.0。"
"Products Options","产品选项"
"Add Images into Sitemap","将图像添加到站点地图"
"CMS Pages Options","CMS 页选项"
"Generation Settings","生成设置"
"Enabled","启动"
"Error Email Recipient","错误邮件模板"
"Error Email Sender","错误的电子邮件发件人"
"Error Email Template","错误的电子邮件模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"Start Time","平率"
"Sitemap File Limits","网站地图文件限制"
"Maximum No of URLs Per File","不是的每个文件的 Url 的最大值"
"Maximum File Size","最大文件大小"
"File size in bytes.","文件大小 (字节)。"
"Search Engine Submission Settings","搜索引擎提交设置"
"Enable Submission to Robots.txt","启用到 Robots.txt 提交"
"ID","编号ID"
"Link for Google","谷歌的链接"
"Last Generated","最后一次生成"
"Action","操作"
