"Save & Generate","Lưu trữ & tạo"
"Edit Sitemap","Chỉnh sửa sơ đồ trang web"
"New Sitemap","Sơ đồ trang web mới"
"Sitemap Information","Thông tin Sơ đồ trang web"
"Sitemap","Sơ đồ trang web"
"Filename","Tên file"
"example: sitemap.xml","ví dụ: sitemap.xml"
"Path","Đường dẫn"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Xem cửa hàng"
"Generate","Tạo ra"
"XML Sitemap","Sơ đồ trang web XML"
"Add Sitemap","Thêm sơ đồ trang web"
"Catalog","Danh mục"
"You deleted the sitemap.","Bạn đã xoá sơ đồ trang web."
"We can't find a sitemap to delete.","Chúng tôi không thể tìm thấy một sơ đồ trang web để xóa."
"This sitemap no longer exists.","Sơ đồ trang web này không còn tồn tại."
"Site Map","Bản đồ trang web"
"New Site Map","Bản đồ trang web mới"
"The sitemap ""%1"" has been generated.","Sơ đồ trang web ""%1"" đã được tạo ra."
"We can't generate the sitemap right now.","Chúng ta không thể tạo ra sơ đồ trang web ngay bây giờ."
"We can't find a sitemap to generate.","Chúng tôi không thể tìm thấy một sơ đồ trang web để khởi tạo."
"You saved the sitemap.","Bạn đã lưu sơ đồ trang web."
"The priority must be between 0 and 1.","Ưu tiên phải giữa 0 và 1."
"Always","Luôn chọn"
"Hourly","Hàng giờ"
"Daily","Hàng ngày"
"Weekly","Hằng tuần"
"Monthly","Hàng tháng"
"Yearly","Hàng năm"
"Never","Không bao giờ"
"File handler unreachable","Xử lý tập tin không thể kết nối"
"Please define a correct path.","Xin vui lòng xác định một đường dẫn chính xác."
"Please create the specified folder ""%1"" before saving the sitemap.","Hãy tạo ra các thư mục được chỉ định ""%1"" trước khi lưu sơ đồ trang web."
"Please make sure that ""%1"" is writable by the web-server.","Hãy chắc chắn rằng ""%1"" được ghi bởi các máy chủ web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Xin vui lòng chỉ sử dụng chữ cái (a-z hoặc A-Z), số (0-9) hoặc dấu gạch dưới (_) trong tên tập tin. Không có dấu cách hoặc ký tự khác được cho phép."
"None","Không cái nào"
"Base Only","Chỉ dựa trên"
"All","Tất Cả"
"Sitemap generate Warnings","Cảnh báo tạo ra Sơ đồ trang web"
"Sitemap Generation Warnings","Cảnh báo Sơ đồ trang web thế hệ"
"XML Sitemap Section","Phần sơ đồ trang web XML"
"Categories Options","Tùy chọn nhóm"
"Frequency","Tần Suất"
"Priority","Độ ưu tiên"
"Valid values range from 0.0 to 1.0.","Giá trị hợp lệ nằm trong khoảng từ 0.0 đến 1.0."
"Products Options","Lựa chọn sản phẩm"
"Add Images into Sitemap","Thêm hình ảnh vào các sơ đồ trang web"
"CMS Pages Options","CMS trang tùy chọn"
"Generation Settings","Cài đặt thế hệ"
"Enabled","Cho phép"
"Error Email Recipient","Lỗi Email người nhận"
"Error Email Sender","Lỗi Email người gửi"
"Error Email Template","Lỗi Email mẫu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"Start Time","Thời Gian Bắt Đầu"
"Sitemap File Limits","Giới hạn tệp sơ đồ trang web"
"Maximum No of URLs Per File","Đa số các URL cho mỗi tập tin"
"Maximum File Size","Kích thước tối đa"
"File size in bytes.","Kích thước tập tin theo byte."
"Search Engine Submission Settings","Tìm kiếm trình cài đặt"
"Enable Submission to Robots.txt","Sử trình Robots.txt"
"ID","ID"
"Link for Google","Liên kết cho Google"
"Last Generated","Lần Cuối tạo ra"
"Action","Thao tác"
