"Delete Current Hierarchy","Usuń bieżącą hierarchię"
"Copy","Kopia"
"Pages Hierarchy","Hierarchia stron"
"Page Properties","Właściwości strony"
"Title","Tytuł"
"URL Key","Klucz URL"
"Preview","Podgląd"
"Preview is not available.","Podgląd nie jest dostępny."
"Render Metadata in HTML Head.","Renderowanie metadanych w nagłówku HTML."
"First","Pierwszy"
"Next/Previous","Następny/Poprzedni"
"Enable Chapter/Section","Włącz rozdział/sekcję"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Zaznaczenie włącza funkcję rozdziału/sekcji dla tego węzła, jego węzłów podrzędnych oraz stron"
"Chapter/Section","Rozdział/sekcja"
"Defines this node as Chapter/Section","Określa węzeł jako rozdział/sekcję"
"Pagination Options for Nested Pages","Opcje paginacji dla zagnieżdżonych stron"
"Enable Pagination","Włącz podział na strony"
"Frame","Ramka"
"Set the number of links to display at one time.","Ustaw liczbę linków do wyświetlania w jednym czasie."
"Frame Skip","Pomiń ramkę"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Jeśli aktualna pozycja ramki nie pokrywa najwyższych stron, wyrenderuje link do aktualnej pozycji plus/minus ta wartość"
"Page Navigation Menu Options","Opcje menu nawigacji strony"
"Exclude from Navigation Menu","Wyłączyć z menu nawigacji"
"Show in navigation menu.","Pokaż w menu nawigacji."
"Menu Layout","Układ menu"
"Only Children","Tylko dzieci"
"Neighbours and Children","Sąsiedzi i dzieci"
"Menu Detalization","Poziom szczegółowości menu"
"Maximal Depth","Maksymalna głębokość"
"Node Levels to Include","Poziomy węzła do uwzględnienia"
"List Type","Rodzaj listy"
"List Style","Styl listy"
"Main Navigation Menu Options","Opcje głównego menu nawigacyjnego"
"Add selected page(s) to the tree","Dodaj wybrane strony"
"Remove from tree.","Usunąć z drzewa."
"Cancel","Anuluj"
"Save","Zapisz"
"Add Node...","Dodawanie węzła..."
"Add to tree.","Dodać do drzewa."
"Update","Aktualizuj"
"Node Properties","Właściwości węzła"
"Page ID","Identyfikator strony"
"Manage Hierarchies","Zarządzaj hierarchiami"
"Hierarchy","Hierarchia"
"Home","Strona główna"
"Go to Home Page","Przejdź na stronę główną"
"You copied the pages hierarchy to the selected scopes.","Skopiowano hierarchię stron do wybranych zakresów."
"Something went wrong while copying the hierarchy.","Coś się zepsuło podczas kopiowania hierarchii."
"Please correct the scope.","Popraw zakres."
"You deleted the pages hierarchy from the selected scopes.","Usunąłeś hierarchię stron z wybranych zakresów."
"Something went wrong while deleting the hierarchy.","Coś się zepsuło podczas usuwania hierarchii."
