"Delete Current Hierarchy","Обриши Цуррент Хиерарцхy"
"Copy","Копирај"
"Pages Hierarchy","Странице Хиерарцхy"
"Page Properties","Страница Пропертиес"
"Title","Наслов"
"URL Key","УРЛ Кључ"
"Preview","Преглед"
"Preview is not available.","Преглед ис нот аваилабле."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
"First","Први"
"Next/Previous","Следећи/Претходни"
"Enable Chapter/Section","Омогући Цхаптер/Сецтион"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Enables Chapter/Section functionality for this node, its sub-nodes and pages"
"Chapter/Section","Chapter/Section"
"Defines this node as Chapter/Section","Defines this node as Chapter/Section"
"Pagination Options for Nested Pages","Пагинатион Оптионс фор Нестед Странице"
"Enable Pagination","Омогући Пагинатион"
"Frame","Frame"
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Иф тхе Цуррент Фраме Поситион доес нот цовер Утмост Странице, wилл рендер Линк то Цуррент Поситион плус/минус тхис Вредност"
"Page Navigation Menu Options","Страница Навигатион Мену Оптионс"
"Exclude from Navigation Menu","Искључи фром Навигатион Мену"
"Show in navigation menu.","Прикажи ин навигатион мену."
"Menu Layout","Menu Layout"
"Only Children","Only Children"
"Neighbours and Children","Neighbours and Children"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Максимална дубина"
"Node Levels to Include","Ноде Левелс то Укључи"
"List Type","Листа Тип"
"List Style","Листа Стyле"
"Main Navigation Menu Options","Main Navigation Menu Options"
"Add selected page(s) to the tree","Додај селецтед паге(с) то тхе трее"
"Remove from tree.","Уклони фром трее."
"Cancel","Одустани"
"Save","Сачувај"
"Add Node...","Додај Ноде..."
"Add to tree.","Додај то трее."
"Update","Ажурирај"
"Node Properties","Node Properties"
"Page ID","Страница ИД"
"Manage Hierarchies","Manage Hierarchies"
"Hierarchy","Hierarchy"
"Home","Почетна"
"Go to Home Page","Иди на почетну страницу"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Нешто није у реду wхиле цопyинг тхе хиерарцхy."
"Please correct the scope.","Молимо исправите тхе сцопе."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Нешто није у реду wхиле делетинг тхе хиерарцхy."
"CMS","CMS"
"CMS Page Trees","ЦМС Страница Треес"
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Нешто није у реду wхиле савинг тхе хиерарцхy."
"Manage Pages","Управљај Страницама"
"Private","Приватно"
"Protected","Protected"
"Public","Јавно"
"Delete Multiple Hierarchies","Обриши Мултипле Хиерарцхиес"
"Please correct the node data.","Молимо исправите тхе ноде дата."
"CMS Node with id ""%1"" does not exist.","ЦМС чвор са ИД ""%1"" не постоји."
"Tree Viewed","Tree Viewed"
"No","Не"
"Chapter","Chapter"
"Section","Section"
"Both","Оба"
"Use default","Use default"
"Default","Подразумевани"
"Numbers (1, 2, 3, ...)","Numbers (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Circle","Circle"
"Disc","Disc"
"Square","Square"
"Unordered","Unordered"
"Ordered","Порућено"
"Use Parent","Use Parent"
"Yes","Да"
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","Да ли сте сигурни желите да делете цуррент хиерарцхy?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Тхис паге не може бе аддед, бецаусе а ноде ор паге wитх тхе саме УРЛ Кеy алреадy еxистс ин тхис трее парт."
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","ЦМС странице"
"Please select a website or store view.","Молимо изаберите а wебсите ор сторе виеw."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Да ли сте сигурни желите да цопy тхе цуррент хиерарцхy то тхе селецтед дестинатионс?"
"Are you sure you want to delete the selected hierarchies?","Да ли сте сигурни желите да делете тхе селецтед хиерарцхиес?"
"Delete","Обрисати"
"Please select one or more hierarchies to delete.","Молимо изаберите оне ор море хиерарцхиес то делете."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Root","Почетак"
"No nodes are available","Не нодес аре аваилабле"
"Single Hierarchy for All Store Views","Сингле Хиерарцхy фор Све Продавница Виеwс"
"Specific Hierarchy for Each Store View","Специфиц Хиерарцхy фор Еацх Продавница Преглед"
"CMS Hierarchy for","CMS Hierarchy for"
"Anchor Custom Text","Сидро Одабраног Текста"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Сидро Одабраног Назива"
"Node","Node"
"Not Selected","Није изабрано"
"Select a page or node.","Изабери а паге ор ноде."
"Parent page","Parent page"
"Website Root","Веб сајт Роот"
"Page:","Страница:"
"Page","Страница"
"Previous","Претходни"
"You're currently reading page","You're currently reading page"
"Next","Следеће"
"Delete Revision and Version","Обриши Ревисион анд Версион"
"Publish Revision","Објави Ревисион"
"Pages","Странице"
"CMS Page Hierarchy","ЦМС Страница Хиерарцхy"
"Enable Hierarchy Functionality","Омогући Хиерарцхy Фунцтионалитy"
"Enable Hierarchy Metadata","Омогући Хиерарцхy Метадата"
"Default Layout for Hierarchy Menu","Подразумевано Лаyоут фор Хиерарцхy Мену"
"CMS Hierarchy","CMS Hierarchy"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"Template","Шаблон"
"CMS Page Link Block Template","Шаблон Блок Линкова на ЦМС Страници"
"CMS Page Link Inline Template","Шаблон Линкова у Реду на ЦМС Страници"
"All Store Views","Сви прегледи продавница"
"Add selected page(s) to the tree.","Додај селецтед паге(с) то тхе трее."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Власник"
"Access Level","Access Level"
"Quantity","Количина"
"Created","Креиран"
"Versions","Versions"
"Are you sure?","Да ли сте сигурни?"
"N/A","Н/А - није доступно"
"Are you sure you want to delete this revision?","Да ли сте сигурни желите да делете тхис ревисион?"
"Publish","Објави"
"Save and publish.","Сачувај анд публисх."
"Save in a new version.","Сачувај ин а неw версион."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Молимо наведите а валид наме."
"Edit Page '%1' Revision #%2","Измени Страница '%1' Ревисион #%2"
"Edit Page '%1' New Revision","Измени Страница '%1' Ново Ревисион"
"Revision Information","Ревисион Информације"
