"Delete Current Hierarchy","現在の階層の削除"
"Copy","コピー"
"Pages Hierarchy","ページヒエラルキー"
"Page Properties","ページプロパティ"
"Title","タイトル"
"URL Key","URLキー"
"Preview","プレビュー"
"Preview is not available.","プレビューは利用できません。"
"Render Metadata in HTML Head.","HTMLヘッドのメタデータをレンダリングする"
"First","最初"
"Next/Previous","次/前"
"Enable Chapter/Section","チャプター/セクションを有効にする"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","このノード、また、そのサブノードおよびページのチャプター/セクション機能を有効にします。"
"Chapter/Section","チャプター/セクション"
"Defines this node as Chapter/Section","このノードをChapter / Sectionとして定義します。"
"Pagination Options for Nested Pages","階層化したページのページングオプション"
"Enable Pagination","ページングを有効にする"
"Frame","フレーム"
"Set the number of links to display at one time.","一度に表示するリンクの数を設定します。"
"Frame Skip","フレームスキップ"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","現在のページングナビ表示範囲が大半のページをカバーしていない場合、この値を加算・減算したページ番号を表示します。"
"Page Navigation Menu Options","ページナビゲーションメニューオプション"
"Exclude from Navigation Menu","ナビゲーションメニューから除外する"
"Show in navigation menu.","ナビゲーションメニューに表示します。"
"Menu Layout","メニューレイアウト"
"Only Children","子要素のみ"
"Neighbours and Children","隣接コンテンツと子コンテンツ"
"Menu Detalization","メニューデータ化"
"Maximal Depth","最小深度"
"Node Levels to Include","包含するノードレベル"
"List Type","リストタイプ"
"List Style","リストスタイル"
"Main Navigation Menu Options","メインナビゲーションメニューオプション"
"Add selected page(s) to the tree","選択したページをツリーに追加する"
"Remove from tree.","ツリーから削除します。"
"Cancel","キャンセル"
"Save","保存"
"Add Node...","ノード追加..."
"Add to tree.","ツリーに追加。"
"Update","更新"
"Node Properties","ノードプロパティ"
"Page ID","ページID"
"Manage Hierarchies","階層の管理"
"Hierarchy","ヒエラルキー"
"Home","ホーム"
"Go to Home Page","ホームページへ"
"You copied the pages hierarchy to the selected scopes.","選択したスコープにページ階層をコピーしました。"
"Something went wrong while copying the hierarchy.","階層のコピー中に何か問題が発生しました。"
"Please correct the scope.","スコープを修正してください。"
"You deleted the pages hierarchy from the selected scopes.","選択したスコープからページ階層を削除しました。"
"Something went wrong while deleting the hierarchy.","階層を削除する際に何か問題が発生しました。"
"CMS","CMS"
"CMS Page Trees","CMSページツリー"
"You have saved the hierarchy.","階層を保存しました。"
"Something went wrong while saving the hierarchy.","階層を保存しているうちに何か問題が発生しました。"
"Manage Pages","ページ管理"
"Private","プライベート"
"Protected","編集中"
"Public","公開"
"Delete Multiple Hierarchies","複数の階層を削除する"
"Please correct the node data.","ノードデータを修正してください。"
"CMS Node with id ""%1"" does not exist.","ID ""%1""のCMSノードは存在しません。"
"Tree Viewed","ツリー表示"
"No","いいえ"
"Chapter","チャプター"
"Section","セクション"
"Both","両方"
"Use default","標準を使用"
"Default","標準"
"Numbers (1, 2, 3, ...)","数字 (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","小文字のアルファベット(a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","大文字のアルファベット(A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","小文字のローマ数字 (i, ii, iii, ...)"
