"Delete Current Hierarchy","Obriši Current Hierarchy"
"Copy","Kopiraj"
"Pages Hierarchy","Stranice Hierarchy"
"Page Properties","Stranica Properties"
"Title","Naslov"
"URL Key","URL Ključ"
"Preview","Pregled"
"Preview is not available.","Pregled is not available."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
"First","Prvi"
"Next/Previous","Sledeći/Prethodni"
"Enable Chapter/Section","Omogući Chapter/Section"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Enables Chapter/Section functionality for this node, its sub-nodes and pages"
"Chapter/Section","Chapter/Section"
"Defines this node as Chapter/Section","Defines this node as Chapter/Section"
"Pagination Options for Nested Pages","Pagination Options for Nested Stranice"
"Enable Pagination","Omogući Pagination"
"Frame","Frame"
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Stranice, will render Link to Current Position plus/minus this Vrednost"
"Page Navigation Menu Options","Stranica Navigation Menu Options"
"Exclude from Navigation Menu","Isključi from Navigation Menu"
"Show in navigation menu.","Prikaži in navigation menu."
"Menu Layout","Menu Layout"
"Only Children","Only Children"
"Neighbours and Children","Neighbours and Children"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Maksimalna dubina"
"Node Levels to Include","Node Levels to Uključi"
"List Type","Lista Tip"
"List Style","Lista Style"
"Main Navigation Menu Options","Main Navigation Menu Options"
"Add selected page(s) to the tree","Dodaj selected page(s) to the tree"
"Remove from tree.","Ukloni from tree."
"Cancel","Odustani"
"Save","Sačuvaj"
"Add Node...","Dodaj Node..."
"Add to tree.","Dodaj to tree."
"Update","Ažuriraj"
"Node Properties","Node Properties"
"Page ID","Stranica ID"
"Manage Hierarchies","Manage Hierarchies"
"Hierarchy","Hierarchy"
"Home","Početna"
"Go to Home Page","Idi na početnu stranicu"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Nešto nije u redu while copying the hierarchy."
"Please correct the scope.","Molimo ispravite the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Nešto nije u redu while deleting the hierarchy."
"CMS","CMS"
"CMS Page Trees","CMS Stranica Trees"
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Nešto nije u redu while saving the hierarchy."
"Manage Pages","Upravljaj Stranicama"
"Private","Privatno"
"Protected","Protected"
"Public","Javno"
"Delete Multiple Hierarchies","Obriši Multiple Hierarchies"
"Please correct the node data.","Molimo ispravite the node data."
"CMS Node with id ""%1"" does not exist.","CMS čvor sa ID ""%1"" ne postoji."
"Tree Viewed","Tree Viewed"
"No","Ne"
"Chapter","Chapter"
"Section","Section"
"Both","Oba"
"Use default","Use default"
"Default","Podrazumevani"
"Numbers (1, 2, 3, ...)","Numbers (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Circle","Circle"
"Disc","Disc"
"Square","Square"
"Unordered","Unordered"
"Ordered","Porućeno"
"Use Parent","Use Parent"
"Yes","Da"
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","Da li ste sigurni želite da delete current hierarchy?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","This page ne može be added, because a node or page with the same URL Key already exists in this tree part."
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","CMS stranice"
"Please select a website or store view.","Molimo izaberite a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Da li ste sigurni želite da copy the current hierarchy to the selected destinations?"
"Are you sure you want to delete the selected hierarchies?","Da li ste sigurni želite da delete the selected hierarchies?"
"Delete","Obrisati"
"Please select one or more hierarchies to delete.","Molimo izaberite one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Root","Početak"
"No nodes are available","Ne nodes are available"
"Single Hierarchy for All Store Views","Single Hierarchy for Sve Prodavnica Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Prodavnica Pregled"
"CMS Hierarchy for","CMS Hierarchy for"
"Anchor Custom Text","Sidro Odabranog Teksta"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Sidro Odabranog Naziva"
"Node","Node"
"Not Selected","Nije izabrano"
"Select a page or node.","Izaberi a page or node."
"Parent page","Parent page"
"Website Root","Veb sajt Root"
"Page:","Stranica:"
"Page","Stranica"
"Previous","Prethodni"
"You're currently reading page","You're currently reading page"
"Next","Sledeće"
"Delete Revision and Version","Obriši Revision and Version"
"Publish Revision","Objavi Revision"
"Pages","Stranice"
"CMS Page Hierarchy","CMS Stranica Hierarchy"
"Enable Hierarchy Functionality","Omogući Hierarchy Functionality"
"Enable Hierarchy Metadata","Omogući Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Podrazumevano Layout for Hierarchy Menu"
"CMS Hierarchy","CMS Hierarchy"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"Template","Šablon"
"CMS Page Link Block Template","Šablon Blok Linkova na CMS Stranici"
"CMS Page Link Inline Template","Šablon Linkova u Redu na CMS Stranici"
"All Store Views","Svi pregledi prodavnica"
"Add selected page(s) to the tree.","Dodaj selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Vlasnik"
"Access Level","Access Level"
"Quantity","Količina"
"Created","Kreiran"
"Versions","Versions"
"Are you sure?","Da li ste sigurni?"
"N/A","N/A - nije dostupno"
"Are you sure you want to delete this revision?","Da li ste sigurni želite da delete this revision?"
"Publish","Objavi"
"Save and publish.","Sačuvaj and publish."
"Save in a new version.","Sačuvaj in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Molimo navedite a valid name."
"Edit Page '%1' Revision #%2","Izmeni Stranica '%1' Revision #%2"
"Edit Page '%1' New Revision","Izmeni Stranica '%1' Novo Revision"
"Revision Information","Revision Informacije"
"Save as new version.","Sačuvaj as new version."
"New Revision...","Novo Revision..."
"Save and continue edit.","Sačuvaj and continue edit."
"Edit Page '%1' Version '%2'","Izmeni Stranica '%1' Version '%2'"
"Version Information","Version Informacije"
"Revision","Revision"
"Author","Author"
"Edit Page","Izmeni stranicu"
"New Page","Nova Stranica"
"Please select version(s).","Molimo izaberite version(s)."
"A total of %1 record(s) have been deleted.","Ukupno %1 zapis(a) je uklonjeno."
"Something went wrong while deleting these versions.","Nešto nije u redu while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Nešto nije u redu while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We nije mogao load the specified revision."
"Edit Revision","Izmeni Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Nešto nije u redu while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Izmeni Version"
"Please select revision(s).","Molimo izaberite revision(s)."
"Something went wrong while deleting the revisions.","Nešto nije u redu while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 nije mogao be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS revizija sa ID ""%1"" ne postoji."
"Please enter a version label.","Molimo unesite a version label."
"Cannot change version access level because it is the last public version for its page.","Ne može change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Verzija ""%1"" ne može biti uklonjena jer je poslednja javna verzija stranice."
"Version ""%1"" cannot be removed because its revision is published.","Verzija ""%1"" ne može biti uklonjena jer je njena revizija objavljena."
"CMS Version with id ""%1"" does not exist.","CMS verzija sa ID ""%1"" ne postoji."
"Published","Published"
"[No Owner]","[Ne Owner]"
"Enabled by Default","Omogućeno po difoltu"
"Disabled by Default","Onemogućeno po difoltu"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Neka greška"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Da li ste sigurni želite da continue?"
"Loading...","Učitavanje..."
"Please wait...","Molimo sačekajte..."
"Choose Revision","Izaberi Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Izaberi Prodavnica Pregled:"
"Revision #","Revision #"
"New Revision","Novo Revision"
"Author:","Author:"
"Created:","Kreiran:"
"Version:","Version:"
"This Page Belongs To","This Stranica Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Stranica Podrazumevano Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","CMS čvor sa ID ""%1"" ne postoji."
