"Delete Current Hierarchy","වත්මන් ධුරාවලිය මකන්න"
"Copy","පිටපත් කරන්න"
"Pages Hierarchy","පිටු ධුරාවලිය"
"Page Properties","පිටු ගුණාංග"
"Title","ශීර්ෂය"
"URL Key","URL යතුර"
"Preview","පෙරදසුන"
"Preview is not available.","පෙරදසුන නොමැත."
"Render Metadata in HTML Head.","HTML Head හි පාරදත්ත Render කරන්න."
"First","පළමුවන"
"Next/Previous","ඊළඟ/පෙර"
"Enable Chapter/Section","පරිච්ඡේදය/කොටස සබල කරන්න"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","මෙම නෝඩය, එහි උප නෝඩ් සහ පිටු සඳහා පරිච්ඡේද/කොටස් ක්‍රියාකාරීත්වය සබල කරයි"
"Chapter/Section","පරිච්ඡේදය / කොටස"
"Defines this node as Chapter/Section","මෙම නෝඩය පරිච්ඡේද/කොටස ලෙස අර්ථ දක්වයි"
"Pagination Options for Nested Pages","කැදලි පිටු සඳහා පිටුකරණ විකල්ප"
"Enable Pagination","Pagination සබල කරන්න"
"Frame","රාමුව"
"Set the number of links to display at one time.","එක් වරකදී පෙන්වීමට සබැඳි ගණන සකසන්න."
"Frame Skip","රාමු මඟ හරින්න"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","වත්මන් රාමු ස්ථානය උපරිම පිටු ආවරණය නොකරන්නේ නම්, වත්මන් ස්ථානයට සබැඳිය මෙම අගය එකතු/අඩු කරයි"
"Page Navigation Menu Options","පිටු සංචාලන මෙනු විකල්ප"
"Exclude from Navigation Menu","සංචාලන මෙනුවෙන් බැහැර කරන්න"
"Show in navigation menu.","සංචාලන මෙනුවේ පෙන්වන්න."
"Menu Layout","මෙනු පිරිසැලසුම"
"Only Children","ළමයි විතරයි"
"Neighbours and Children","අසල්වැසියන් සහ දරුවන්"
"Menu Detalization","මෙනු විස්තර කිරීම"
"Maximal Depth","උපරිම ගැඹුර"
"Node Levels to Include","ඇතුළත් කිරීමට නෝඩ් මට්ටම්"
"List Type","ලැයිස්තු වර්ගය"
"List Style","ලැයිස්තු විලාසය"
"Main Navigation Menu Options","ප්‍රධාන සංචාලන මෙනු විකල්ප"
"Add selected page(s) to the tree","ගසට තෝරාගත් පිටු(ය) එක් කරන්න"
"Remove from tree.","ගසෙන් ඉවත් කරන්න."
"Cancel","අවලංගු කරන්න"
"Save","සුරකින්න"
"Add Node...","නෝඩ් එක් කරන්න..."
"Add to tree.","ගසට එකතු කරන්න."
"Update","යාවත්කාලීන කරන්න"
"Node Properties","නෝඩ් ගුණාංග"
"Page ID","පිටු හැඳුනුම්පත"
"Manage Hierarchies","ධූරාවලිය කළමනාකරණය කරන්න"
"Hierarchy","ධුරාවලිය"
"Home","නිවස"
"Go to Home Page","මුල් පිටුවට යන්න"
"You copied the pages hierarchy to the selected scopes.","ඔබ තෝරාගත් විෂය පථයන් වෙත පිටු ධුරාවලිය පිටපත් කර ඇත."
"Something went wrong while copying the hierarchy.","ධුරාවලිය පිටපත් කිරීමේදී යම් දෙයක් වැරදී ඇත."
"Please correct the scope.","කරුණාකර විෂය පථය නිවැරදි කරන්න."
"You deleted the pages hierarchy from the selected scopes.","ඔබ තෝරාගත් විෂය පථවලින් පිටු ධුරාවලිය මකා ඇත."
"Something went wrong while deleting the hierarchy.","ධුරාවලිය මකා දැමීමේදී යම් දෙයක් වැරදී ඇත."
"CMS","CMS"
"CMS Page Trees","CMS පිටු ගස්"
"You have saved the hierarchy.","ඔබ ධුරාවලිය සුරැකී ඇත."
"Something went wrong while saving the hierarchy.","ධුරාවලිය සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"Manage Pages","පිටු කළමනාකරණය කරන්න"
"Private","පුද්ගලික"
"Protected","ආරක්ෂා කළා"
"Public","මහජන"
"Delete Multiple Hierarchies","බහු ධූරාවලිය මකන්න"
"Please correct the node data.","කරුණාකර නෝඩ් දත්ත නිවැරදි කරන්න."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","ගස බැලුවා"
"No","නැත"
"Chapter","පරිච්ඡේදය"
"Section","අංශය"
"Both","දෙකම"
"Use default","පෙරනිමි භාවිතාකරන්න"
"Default","පෙරනිමිය"
"Numbers (1, 2, 3, ...)","අංක (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","පහළ ඇල්ෆා (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","ඉහළ ඇල්ෆා (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","පහළ රෝම (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","ඉහළ රෝම (I, II, III, ...)"
"Circle","කවය"
"Disc","තැටි"
"Square","චතුරස්රය"
"Unordered","ඇණවුම් නොකළ"
"Ordered","ඇණවුම් කළා"
"Use Parent","මාපිය භාවිතා කරන්න"
"Yes","ඔව්"
"Use the parent node hierarchy.","මාපිය නෝඩ් ධුරාවලිය භාවිතා කරන්න."
"Are you sure you want to delete current hierarchy?","ඔබට වත්මන් ධුරාවලිය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","මෙම පිටුව එක් කළ නොහැක, මන්ද එම URL යතුර සහිත නෝඩයක් හෝ පිටුවක් දැනටමත් මෙම ගස් කොටසෙහි පවතී."
"This URL key is already in use.","මෙම URL යතුර දැනටමත් භාවිතයේ පවතී."
"CMS Pages","CMS පිටු"
"Please select a website or store view.","කරුණාකර වෙබ් අඩවියක් හෝ ගබඩා දසුනක් තෝරන්න."
"Are you sure you want to copy the current hierarchy to the selected destinations?","ඔබට වත්මන් ධුරාවලිය තෝරාගත් ගමනාන්ත වෙත පිටපත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
