"Delete Current Hierarchy","Изтриване на текущата йерархия"
"Copy","Копирай"
"Pages Hierarchy","Йерархия на страници"
"Page Properties","Свойства на страница"
"Title","Заглавиe"
"URL Key","URL ключ"
"Preview","преглед"
"Preview is not available.","Визуализацията не е достъпна."
"Render Metadata in HTML Head.","Отдайте метаданните в HTML глава."
"First","Първи"
"Next/Previous","Следващата/предишната"
"Enable Chapter/Section","Разреши глава/раздел"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Позволява глава/раздел функционалност на този възел, монтажни възли и страници"
"Chapter/Section","Глава/раздел"
"Defines this node as Chapter/Section","Този възел се определя като глава/раздел"
"Pagination Options for Nested Pages","Опции за страниране за вложени страници"
"Enable Pagination","Разреши пагинация"
"Frame","Рамка"
"Set the number of links to display at one time.","Задайте броя на връзки за показване в даден момент."
"Frame Skip","Пропускане на рамката"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Ако текущата позиция на рамката не обхваща изключително страници, ще направи връзка към текущата позиция плюс/минус тази стойност"
"Page Navigation Menu Options","Страница навигация меню опции"
"Exclude from Navigation Menu","Изключи от навигационното меню"
"Show in navigation menu.","Показвай в менюто за навигация."
"Menu Layout","Меню: оформление"
"Only Children","Само деца"
"Neighbours and Children","Съседи и деца"
"Menu Detalization","Меню детайлизацията"
"Maximal Depth","Максимална дълбочина"
"Node Levels to Include","Нива на възел за включване"
"List Type","Тип списък"
"List Style","Стил на списък"
"Main Navigation Menu Options","Основна навигация меню опции"
"Add selected page(s) to the tree","Добави избраните страници на дървото"
"Remove from tree.","Премахване от дървото."
"Cancel","Отказ"
"Save","Запиши"
"Add Node...","Добавяне на възел..."
"Add to tree.","Добави към дървото."
"Update","Обновяване"
"Node Properties","Свойства на възел"
"Page ID","Страница ИД"
"Manage Hierarchies","Управление на йерархия"
"Hierarchy","Йерархия"
"Home","Основна страница"
"Go to Home Page","Отиди на основата страница"
"You copied the pages hierarchy to the selected scopes.","Копирали сте йерархията на страници в избраните обхвати."
"Something went wrong while copying the hierarchy.","Нещо се обърка, докато копирахте на йерархията."
"Please correct the scope.","Коригирайте обхвата."
"You deleted the pages hierarchy from the selected scopes.","Изтрили сте йерархията на страници от избрания обхватите."
"Something went wrong while deleting the hierarchy.","Нещо се обърка при изтриване на йерархията."
"CMS","CMS"
"CMS Page Trees","CMS страница дървета"
"You have saved the hierarchy.","Записали сте йерархията."
"Something went wrong while saving the hierarchy.","Нещо се обърка, докато копирахте йерархията."
"Manage Pages","Управление на страниците"
"Private","Частен"
"Protected","Защитено"
"Public","Публичен"
"Delete Multiple Hierarchies","Изтриване на няколко йерархии"
"Please correct the node data.","Коригирайте данните на възел."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
