"Back","Назад"
"Save and Continue","Сачувај и настави"
"Save Configuration","Сачувај Конфигурација"
"%1","%1"
"Default","Подразумевани"
"Themes","Теме"
"Save and Continue Edit","Сачувај и настави уређивање"
"Are you sure you want to delete this theme?","Да ли сте сигурни желите да делете тхис тхеме?"
"Theme: %1","Тема: %1"
"New Theme","Нова Тема"
"Theme CSS","ЦСС теме"
"Theme CSS Assets","Тема ЦСС Ассетс"
"Custom CSS","Custom CSS"
"Select CSS File to Upload","Изабери ЦСС Датотека то Отпреми"
"Upload CSS File","Отпреми ЦСС фајл"
"Download CSS File","Преузми ЦСС Датотека"
"Manage","Управљај"
"Upload Images","Убаци Слике"
"Images Assets","Images Assets"
"Upload Fonts","Отпреми Фонтс"
"Fonts Assets","Fonts Assets"
"Edit custom.css","Измени цустом.цсс"
"Allowed file types *.css.","Allowed file types *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Max file size to upload %1M"
"Something is wrong with the file upload settings.","Something is wrong with the file upload settings."
"CSS Editor","CSS Editor"
"Theme Settings","Подешавања теме"
"Parent Theme","Родитељска тема"
"Theme Path","Путања теме"
"Theme Title","Наслов теме"
"Theme Preview Image","Преглед слике теме"
"General","Опште"
"Copy of %1","Копирај оф %1"
"Max image size %1M","Max image size %1M"
"Theme JavaScript","ЈаваСцрипт теме"
"Select JS Files to Upload","Изабери ЈС Филес то Отпреми"
"Upload JS Files","Отпреми ЈС фајлове"
"JS Editor","JS Editor"
"Allowed file types *.js.","Allowed file types *.js."
"Theme","Тема"
"Media Storage","Складиште Медиа садржаја"
"Create Folder","Креирај директоријум"
"Delete Folder","Избришите фасциклу"
"Delete File","Избриши датотеку"
"Insert File","Убаци Датотека"
"New Folder Name:","Нови Назив Фолдера:"
"Are you sure you want to delete this folder?","Да ли сте сигурни да желите да избришете овај фолдер?"
"Are you sure you want to delete this file?","Да ли сте сигурни да желите да обришете ову датотеку?"
"Storage Root","Storage Root"
"welcome","welcome"
"Global","Глобално"
"Design Configuration","Конфигурација дизајна"
"You saved the configuration.","Сачували сте конфигурацију."
"Something went wrong while saving this configuration:","Дошло је до грешке приликом чувања ове конфигурације:"
"You deleted the theme.","Обрисали сте тему."
"We cannot delete the theme.","Не можемо обрисати тему."
"File not found: ""%1"".","Датотека није пронађена: ""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","Не можемо пронаћи тему ""%1""."
"We cannot find the theme.","Не можемо пронаћи тему."
"This theme is not editable.","Ова тема није за уређивање."
"You saved the theme.","Сачували сте тему."
"We can't upload the CSS file right now.","Не можемо отпремити ЦСС фајл тренутно."
"We cannot find a theme with id ""%1"".","Не можемо пронаћи тему са ИД ""%1""."
"We can't upload the JS file right now.","Не можемо отпремити ЈС фајл тренутно."
"Sorry, something went wrong. That's all we know.","Соррy, нешто није у реду. Тхат'с алл wе кноw."
"Invalid type","Неисправан тип"
"Invalid scope or scope id","Неисправан опсег или ИД опсега"
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"Invalid regular expression: ""%1"".","Неважећи регуларни израз: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
