"Back","Atrás"
"Save and Continue","Guardar y Continuar"
"Save Configuration","Guardar configuración"
"%1","%1"
"Default","Predeterminado"
"Themes","Temas"
"Save and Continue Edit","Guardar y continuar editando"
"Are you sure you want to delete this theme?","¿Está seguro de que desea eliminar este tema?"
"Theme: %1","Tema: %1"
"New Theme","Nuevo tema"
"Theme CSS","Tema CSS"
"Theme CSS Assets","Recursos CSS del tema"
"Custom CSS","CSS personalizado"
"Select CSS File to Upload","Selecciona archivo CSS para subir"
"Upload CSS File","Subir archivo CSS"
"Download CSS File","Descargar archivo CSS"
"Manage","Administrar"
"Upload Images","Subir imagenes"
"Images Assets","Activos de imágenes"
"Upload Fonts","Subir fuentes"
"Fonts Assets","Activos de fuentes"
"Edit custom.css","Editar custom.css"
"Allowed file types *.css.","Tipos de archivo permitidos *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Este archivo reemplazará el archivo actual custom.css y no puede ser de más de 2 MB."
"Max file size to upload %1M","Tamaño máximo del archivo a subir %1M"
"Something is wrong with the file upload settings.","Algo está mal con la configuración de carga de archivos."
"CSS Editor","Editor CSS"
"Theme Settings","Ajustes de tema"
"Parent Theme","Tema Padre"
"Theme Path","Ruta de tema"
"Theme Title","Título de tema"
"Theme Preview Image","Vista previa del tema"
"General","General"
"Copy of %1","Copia de %1"
"Max image size %1M","Tamaño de imagen máximo %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Selecciona archivo JS para subir"
"Upload JS Files","Subir archivos JS"
"JS Editor","Editor de JS"
"Allowed file types *.js.","Tipos de archivo permitidos *.js."
"Theme","Plantilla"
"Media Storage","Almacenamiento de medios"
"Create Folder","Crear carpeta"
"Delete Folder","Eliminar carpeta"
"Delete File","Eliminar archivo"
"Insert File","Insertar archivo"
"New Folder Name:","Nombre de la nueva carpeta:"
"Are you sure you want to delete this folder?","¿Estás seguro de que deseas eliminar esta carpeta?"
"Are you sure you want to delete this file?","¿Estás seguro de que deseas eliminar este archivo?"
"Storage Root","Raíz de almacenamiento"
"welcome","bienvenido"
"Global","General"
"Design Configuration","Configuración de diseño"
"You saved the configuration.","Ha guardado la configuración."
"Something went wrong while saving this configuration:","Algo salió mal al guardar esta configuración:"
"You deleted the theme.","Has eliminado el tema."
"We cannot delete the theme.","No podemos eliminar el tema."
"File not found: ""%1"".","No se encontró el archivo: ""%1""."
"We can't find file.","No podemos encontrar el archivo."
"We cannot find theme ""%1"".","No podemos encontrar el tema ""%1""."
"We cannot find the theme.","No podemos encontrar el tema."
"This theme is not editable.","El tema no es editable."
"You saved the theme.","Guardaste el tema."
"We can't upload the CSS file right now.","No podemos subir el archivo CSS en este momento."
"We cannot find a theme with id ""%1"".","No podemos encontrar un tema con el id ""%1""."
"We can't upload the JS file right now.","No podemos subir el archivo JS en este momento."
"Sorry, something went wrong. That's all we know.","Lo sentimos, algo salió mal. Eso es todo lo que sabemos."
"Invalid type","Tipo no válido"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 no contiene el campo '%2'"
"Invalid regular expression: ""%1"".","Expresión regular inválida: ""%1""."
"%1 does not contain field 'file'","%1 no contiene el campo 'archivo'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","etiqueta"
"-- Please Select --","-- Selecciona --"
"The start date can't follow the end date.","La fecha de inicio no puede ir después de la fecha de finalización."
"The date range for this design change overlaps another design change for the specified store.","El intervalo de fechas para este cambio de diseño superpone a otro cambio de diseño para la tienda especificada."
"Copy","Copiar"
"Theme id should be set","Id de tema debe establecerse"
"Circular-reference in theme inheritance detected for ""%1""","Referencia circular en herencia de tema detectada para ""%1"""
"The CSS file must be less than %1M.","El archivo CSS debe ser menor que %1M."
"The JS file must be less than %1M.","El archivo JS debe ser menor que %1M."
"We can't upload the file right now.","No podemos subir el archivo en este momento."
"Use only standard alphanumeric, dashes and underscores.","Use solo alfanuméricos estándar, guiones y guiones bajos."
"We found a directory with the same name.","Encontramos un directorio con el mismo nombre."
"We cannot find a directory with this name.","No podemos encontrar un directorio con este nombre."
"We can't delete root directory %1 right now.","No podemos eliminar el directorio raíz %1 en este momento."
