"Back","Powrót"
"Save and Continue","Zapisz i kontynuuj"
"Save Configuration","Zapisz konfigurację"
"%1","%1"
"Default","Domyślny"
"Themes","Motywy"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Are you sure you want to delete this theme?","Czy na pewno chcesz usunąć ten motyw?"
"Theme: %1","Temat: %1"
"New Theme","Nowy temat"
"Theme CSS","Temat CSS"
"Theme CSS Assets","Zestaw plików CSS motywu"
"Custom CSS","Własny CSS"
"Select CSS File to Upload","Wybierz plik CSS do załadowania"
"Upload CSS File","Wgraj plik CSS"
"Download CSS File","Pobierz plik CSS"
"Manage","Zarządzaj"
"Upload Images","Prześlij obrazek"
"Images Assets","Zestaw obrazków"
"Upload Fonts","Wgraj czcionki"
"Fonts Assets","Zestaw czcionek"
"Edit custom.css","Edytuj custom.css"
"Allowed file types *.css.","Dozwolone typy pliku *.js."
"This file will replace the current custom.css file and can't be more than 2 MB.","Ten plik zastąpi obecny plik custom.css i nie może być większy niż 2 MB."
"Max file size to upload %1M","Maksymalny rozmiar pliku %1M"
"Something is wrong with the file upload settings.","Coś jest nie tak z ustawieniami przesyłania plików."
"CSS Editor","Edytor CSS"
"Theme Settings","Ustawienia motywu"
"Parent Theme","Motyw nadrzędny"
"Theme Path","Scieżka motywu"
"Theme Title","Tytuł motywu"
"Theme Preview Image","Zdjęcie podglądu motywu"
"General","Ogólne"
"Copy of %1","Kopia %1"
"Max image size %1M","Maksymalny rozmiar obrazka %1M"
"Theme JavaScript","JavaScript motywu"
"Select JS Files to Upload","Wybierz plik JS to wysłania"
"Upload JS Files","Wgraj pliki JS"
"JS Editor","Edytor JS"
"Allowed file types *.js.","Dozwolone typy pliku *.js."
"Theme","Temat"
"Media Storage","Składowanie mediów"
"Create Folder","Utwórz katalog"
"Delete Folder","Usuń folder"
"Delete File","Usuń plik"
"Insert File","Wstaw plik"
"New Folder Name:","Nazwa nowego folderu:"
"Are you sure you want to delete this folder?","Czy na pewno chcesz usunąć ten folder?"
"Are you sure you want to delete this file?","Czy na pewno chcesz usunąć ten plik?"
"Storage Root","Baza składowania"
"welcome","witamy"
"Global","Globalny"
"Design Configuration","Konfiguracja wyglądu"
"Page not found.","Page not found."
"You saved the configuration.","Konfiguracja zapisana."
"Something went wrong while saving this configuration:","Podczas zapisywania tej konfiguracji coś poszło nie tak:"
"We cannot find a theme with id ""%1"".","Nie możemy znaleźć motywu o id ""%1""."
"You deleted the theme.","Usunąłeś motyw."
"We cannot delete the theme.","Nie możemy usunąć motywu."
"Theme not found: ""%1"".","Theme not found: ""%1""."
"File not found: ""%1"".","Nie znaleziono pliku: ""%1""."
"We can't find file.","Nie można znaleźć pliku."
"We cannot find theme ""%1"".","Nie możemy znaleźć motywu ""%1""."
"We cannot find the theme.","Nie możemy znaleźć motywu."
"This theme is not editable.","Ten motyw nie jest edytowalny."
"You saved the theme.","Zapisałeś motyw."
"We can't upload the CSS file right now.","Nie możemy teraz wgrać pliku CSS."
"We can't upload the JS file right now.","Nie możemy teraz wgrać pliku JS."
"Sorry, something went wrong. That's all we know.","Przepraszamy, coś poszło nie tak."
"Invalid type","Nieprawidłowy typ"
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
