"Back","ආපසු"
"Save and Continue","සුරකින්න සහ දිගටම කරගෙන යන්න"
"Save Configuration","වින්‍යාසය සුරකින්න"
"%1","%1"
"Default","පෙරනිමිය"
"Themes","තේමා"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Are you sure you want to delete this theme?","ඔබට මෙම තේමාව මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Theme: %1","තේමාව: %1"
"New Theme","නව තේමාව"
"Theme CSS","තේමාව CSS"
"Theme CSS Assets","තේමාව CSS වත්කම්"
"Custom CSS","අභිරුචි CSS"
"Select CSS File to Upload","උඩුගත කිරීමට CSS ගොනුව තෝරන්න"
"Upload CSS File","CSS ගොනුව උඩුගත කරන්න"
"Download CSS File","CSS ගොනුව බාගන්න"
"Manage","කළමනාකරණය කරන්න"
"Upload Images","පින්තූර උඩුගත කරන්න"
"Images Assets","රූප වත්කම්"
"Upload Fonts","අකුරු උඩුගත කරන්න"
"Fonts Assets","අකුරු වත්කම්"
"Edit custom.css","custom.css සංස්කරණය කරන්න"
"Allowed file types *.css.","අවසර ලත් ගොනු වර්ග *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","මෙම ගොනුව වත්මන් custom.css ගොනුව ප්‍රතිස්ථාපනය කරන අතර 2 MB ට වඩා වැඩි විය නොහැක."
"Max file size to upload %1M","උඩුගත කිරීමට උපරිම ගොනු ප්‍රමාණය %1M"
"Something is wrong with the file upload settings.","ගොනු උඩුගත කිරීමේ සැකසීම් සමඟ යම් දෙයක් වැරදියි."
"CSS Editor","CSS සංස්කාරකය"
"Theme Settings","තේමා සැකසුම්"
"Parent Theme","මාපිය තේමාව"
"Theme Path","තේමා මාර්ගය"
"Theme Title","තේමා මාතෘකාව"
"Theme Preview Image","තේමා පෙරදසුන් රූපය"
"General","ජනරාල්"
"Copy of %1","%1හි පිටපත"
"Max image size %1M","උපරිම රූප ප්‍රමාණය %1M"
"Theme JavaScript","තේමාව JavaScript"
"Select JS Files to Upload","උඩුගත කිරීමට JS ගොනු තෝරන්න"
"Upload JS Files","JS ගොනු උඩුගත කරන්න"
"JS Editor","JS සංස්කාරකය"
"Allowed file types *.js.","අවසර ලත් ගොනු වර්ග *.js."
"Theme","තේමාව"
"Media Storage","මාධ්ය ගබඩාව"
"Create Folder","ෆෝල්ඩරය නිර්මාණය"
"Delete Folder","ෆෝල්ඩරය මකන්න"
"Delete File","ගොනුව මකා"
"Insert File","ගොනුව ඇතුළු කරන්න"
"New Folder Name:","නව ෆෝල්ඩර නම:"
"Are you sure you want to delete this folder?","ඔබට මෙම ෆෝල්ඩරය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure you want to delete this file?","ඔබට මෙම ගොනුව මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Storage Root","ගබඩා මූල"
"welcome","සාදරයෙන් පිළිගනිමු"
"Global","ගෝලීය"
"Design Configuration","සැලසුම් වින්යාසය"
"You saved the configuration.","ඔබ වින්‍යාසය සුරකින ලදී."
"Something went wrong while saving this configuration:","මෙම වින්‍යාසය සුරැකීමේදී යම් දෙයක් වැරදී ඇත:"
"You deleted the theme.","ඔබ තේමාව මකා ඇත."
"We cannot delete the theme.","අපට තේමාව මකා දැමිය නොහැක."
"File not found: ""%1"".","ගොනුව හමු නොවීය: ""%1""."
"We can't find file.","අපට ගොනුව සොයාගත නොහැක."
"We cannot find theme ""%1"".","අපට ""%1"" තේමාව සොයාගත නොහැක."
"We cannot find the theme.","අපට තේමාව සොයාගත නොහැක."
"This theme is not editable.","මෙම තේමාව සංස්කරණය කළ නොහැක."
"You saved the theme.","ඔබ තේමාව සුරකින ලදී."
"We can't upload the CSS file right now.","අපට දැන් CSS ගොනුව උඩුගත කළ නොහැක."
"We cannot find a theme with id ""%1"".","""%1"" id සහිත තේමාවක් අපට සොයාගත නොහැක."
"We can't upload the JS file right now.","අපට දැන් JS ගොනුව උඩුගත කළ නොහැක."
"Sorry, something went wrong. That's all we know.","සමාවෙන්න, කිසියම් වරදක් සිදු වී ඇත. අපි දන්නේ එච්චරයි."
"Invalid type","වලංගු නොවන වර්ගය"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 හි '%2' ක්ෂේත්‍රය අඩංගු නොවේ"
"Invalid regular expression: ""%1"".","වලංගු නොවන නිත්‍ය ප්‍රකාශනය: ""%1""."
"%1 does not contain field 'file'","%1 හි 'ගොනුව' ක්ෂේත්‍රය අඩංගු නොවේ"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","ලේබලය"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"The start date can't follow the end date.","ආරම්භක දිනය අවසන් දිනය අනුගමනය කළ නොහැක."
"The date range for this design change overlaps another design change for the specified store.","මෙම සැලසුම් වෙනස් කිරීම සඳහා වන දින පරාසය සඳහන් කළ ගබඩාව සඳහා තවත් සැලසුම් වෙනසක් අතිච්ඡාදනය කරයි."
"Copy","පිටපත් කරන්න"
"Theme id should be set","තේමා හැඳුනුම්පත සැකසිය යුතුය"
"Circular-reference in theme inheritance detected for ""%1""","""%1"" සඳහා තේමා උරුමයේ චක්‍රලේඛ-යොමුව අනාවරණය විය"
"The CSS file must be less than %1M.","CSS ගොනුව %1M ට වඩා අඩු විය යුතුය."
"The JS file must be less than %1M.","JS ගොනුව %1M ට වඩා අඩු විය යුතුය."
"We can't upload the file right now.","අපට දැන් ගොනුව උඩුගත කළ නොහැක."
"Use only standard alphanumeric, dashes and underscores.","සම්මත අක්ෂරාංක, ඉරි සහ යටි ඉරි පමණක් භාවිතා කරන්න."
"We found a directory with the same name.","එකම නම සහිත නාමාවලියක් අපට හමු විය."
"We cannot find a directory with this name.","මෙම නම සහිත නාමාවලියක් අපට සොයාගත නොහැක."
"We can't delete root directory %1 right now.","අපට දැන් root බහලුම %1 මකා දැමිය නොහැක."
"Theme isn't deletable.","තේමාව මකා දැමිය නොහැක."
"Exception message","ව්යතිරේක පණිවිඩය"
"localized exception","දේශීය ව්යතිරේකය"
"Message","පණිවුඩය"
"Test Label","පරීක්ෂණ ලේබලය"
"Phrase","වාක්‍ය ඛණ්ඩය"
"testMessage","පරීක්ෂණ පණිවිඩය"
"Edit","සංස්කරණය කරන්න"
"We found no files.","අපට ගොනු කිසිවක් හමු නොවීය."
"Browse Files","ගොනු බ්‍රවුස් කරන්න"
"Scope:","විෂය පථය:"
"Remove","ඉවත් කරන්න"
"Help Us Keep Magento Healthy","Magento සෞඛ්‍ය සම්පන්නව තබා ගැනීමට අපට උදවු කරන්න"
"Report All Bugs","සියලුම දෝෂ වාර්තා කරන්න"
"Welcome, %1!","සාදරයෙන් පිළිගනිමු, %1!"
"Toggle Nav","Nav ටොගල් කරන්න"
"JavaScript seems to be disabled in your browser.","ඔබගේ බ්‍රවුසරයේ JavaScript අක්‍රිය කර ඇති බව පෙනේ."
"For the best experience on our site, be sure to turn on Javascript in your browser.","අපගේ වෙබ් අඩවියේ හොඳම අත්දැකීම සඳහා, ඔබගේ බ්‍රවුසරයේ Javascript ක්‍රියාත්මක කිරීමට වග බලා ගන්න."
"Local Storage seems to be disabled in your browser.","ඔබගේ බ්‍රවුසරයේ ස්ථානීය ආචයනය අබල කර ඇති බව පෙනේ."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","අපගේ වෙබ් අඩවියේ හොඳම අත්දැකීම සඳහා, ඔබගේ බ්‍රවුසරයේ දේශීය ආචයනය ක්‍රියාත්මක කිරීමට වග බලා ගන්න."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","අයිතම %3 න් %1 සිට %2 දක්වා"
"%1 Item","%1 අයිතමය"
"%1 Item(s)","%1 අයිතම(ය)"
"Page","පිටුව"
"Previous","කලින්"
