"Back","Trở lại"
"Save and Continue","Lưu và tiếp tục"
"Save Configuration","Lưu cấu hình"
"%1","%1"
"Default","Mặc định"
"Themes","Giao diện"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Are you sure you want to delete this theme?","Bạn có chắc bạn muốn xoá bỏ chủ đề này?"
"Theme: %1","Chủ đề: %1"
"New Theme","Chủ đề mới"
"Theme CSS","Chủ đề CSS"
"Theme CSS Assets","Chủ đề CSS tài sản"
"Custom CSS","CSS tùy biến"
"Select CSS File to Upload","Chọn tập tin CSS để tải lên"
"Upload CSS File","Tải lên tập tin CSS"
"Download CSS File","Tải về tập tin CSS"
"Manage","Quản lý"
"Upload Images","Tải hình"
"Images Assets","Hình ảnh tài sản"
"Upload Fonts","Tải phông chữ"
"Fonts Assets","Phông chữ tài sản"
"Edit custom.css","Chỉnh sửa custom.css"
"Allowed file types *.css.","Cho phép các tập tin loại *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","File này sẽ thay thế tệp custom.css hiện tại và không thể lớn hơn 2 MB."
"Max file size to upload %1M","Tối đa kích thước tập tin để tải lên %1M"
"Something is wrong with the file upload settings.","Có gì đó đã sai với các cài đặt tải lên tập tin."
"CSS Editor","Biên tập CSS"
"Theme Settings","Thiết đặt chủ đề"
"Parent Theme","Chủ đề mẹ"
"Theme Path","đường dẫn Chủ đề"
"Theme Title","Tiêu đề chủ đề"
"Theme Preview Image","Hình ảnh xem trước Chủ đề"
"General","Chung"
"Copy of %1","Bản sao của %1"
"Max image size %1M","Tối đa kích thước hình ảnh %1M"
"Theme JavaScript","Chủ đề JavaScript"
"Select JS Files to Upload","Chọn JS tập tin để tải lên"
"Upload JS Files","Tải lên tập tin JS"
"JS Editor","Trình soạn thảo JS"
"Allowed file types *.js.","Cho phép các tập tin loại *.js."
"Theme","Chủ đề"
"Media Storage","Phương tiện lưu trữ"
"Create Folder","Tạo thư mục"
"Delete Folder","Xoá thư mục"
"Delete File","Xoá tập tin"
"Insert File","Chèn tệp"
"New Folder Name:","Tên thư mục mới:"
"Are you sure you want to delete this folder?","Bạn có chắc bạn muốn xóa bỏ thư mục này không?"
"Are you sure you want to delete this file?","Bạn có chắc bạn muốn xóa tệp này không?"
"Storage Root","Gốc lưu trữ"
"welcome","chào mừng"
"Global","Toàn cầu"
"Design Configuration","Thiết kế cấu hình"
"You saved the configuration.","Bạn đã lưu lại cấu hình."
"Something went wrong while saving this configuration:","Một cái gì đó đã đi sai trong khi lưu điều kiện này:"
"You deleted the theme.","Bạn đã xoá chủ đề."
"We cannot delete the theme.","Chúng tôi không thể xoá bỏ chủ đề."
"File not found: ""%1"".","Không tìm thấy tệp: ""%1""."
"We can't find file.","Chúng tôi không tìm thấy tệp."
"We cannot find theme ""%1"".","Chúng tôi không thể tìm thấy chủ đề ""%1""."
"We cannot find the theme.","Chúng tôi không thể tìm thấy chủ đề."
"This theme is not editable.","Chủ đề này không phải là có thể chỉnh sửa."
"You saved the theme.","Bạn đã lưu các chủ đề."
"We can't upload the CSS file right now.","Chúng tôi không thể tải lên các tập tin CSS ngay bây giờ."
"We cannot find a theme with id ""%1"".","Chúng tôi không thể tìm thấy một chủ đề với id ""%1""."
"We can't upload the JS file right now.","Chúng tôi không thể tải lên các tập tin JS ngay bây giờ."
"Sorry, something went wrong. That's all we know.","Xin lỗi, đã có lỗi xảy ra. Đó là tất cả những gì chúng tôi biết."
"Invalid type","Loại không hợp lệ"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 không chứa trường '%2'"
"Invalid regular expression: ""%1"".","Biểu hiện thường xuyên không hợp lệ: ""%1""."
"%1 does not contain field 'file'","%1 không có trường 'tập tin'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","nhãn"
"-- Please Select --","-- Vui lòng chọn --"
"The start date can't follow the end date.","Ngày bắt đầu không thể sau ngày kết thúc."
"The date range for this design change overlaps another design change for the specified store.","Phạm vi ngày để thay đổi thiết kế này trùng lặp một thiết kế thay đổi cho các cửa hàng được chỉ định."
"Copy","Sao chép"
"Theme id should be set","Chủ đề id sẽ được thiết lập"
"Circular-reference in theme inheritance detected for ""%1""","Thông tư-tài liệu tham khảo trong chủ đề kế thừa được phát hiện cho ""%1"""
"The CSS file must be less than %1M.","Các tập tin CSS phải nhỏ hơn %1M."
"The JS file must be less than %1M.","Các tập tin JS phải nhỏ hơn %1M."
"We can't upload the file right now.","Hiện tại không thể tải lên các tập tin."
