"Back","بازگشت"
"Save and Continue","ذخیره و ادامه"
"Save Configuration","ذخیره پیکره بندی"
"%1","%1"
"Default","پیش فرض"
"Themes","تم‌ها"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Are you sure you want to delete this theme?","آیا مطمئن هستید که میخواهید این تم را حذف کنید?"
"Theme: %1","تم:%1"
"New Theme","تم جدید"
"Theme CSS","CSS تم"
"Theme CSS Assets","دارایی CSS تم"
"Custom CSS","CSS سفارشی"
"Select CSS File to Upload","انتخاب فایل CSS برای آپلود"
"Upload CSS File","بارگذاری فایل CSS"
"Download CSS File","دانلود فایل CSS"
"Manage","مدیریت"
"Upload Images","آپلود تصویر ها"
"Images Assets","دارایی های عکس"
"Upload Fonts","آپلود فونت ها"
"Fonts Assets","داراییهای فونت"
"Edit custom.css","ویرایش custom.css"
"Allowed file types *.css.","نوع فایل مجاز *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","این فایل custom.css را جایگزین فایل فعلی کرده و می تواند بیش از 2 مگابایت باشد."
"Max file size to upload %1M","حداکثر اندازه فایل برای آپلود %1M"
"Something is wrong with the file upload settings.","تنظیمات آپلود فایل اشتباه است."
"CSS Editor","ویرایشگر CSS"
"Theme Settings","تنظیمات قالب"
"Parent Theme","تم اصلی (پدر)"
"Theme Path","مسیر تم"
"Theme Title","عنوان تم"
"Theme Preview Image","پیش نمایش تصویر تم"
"General","عمومی"
"Copy of %1","کپی از %1"
"Max image size %1M","حداکثر اندازه تصویر %1M"
"Theme JavaScript","تم جاوا اسکریپت"
"Select JS Files to Upload","فایل ها JS را برای آپلود انتخاب کنید"
"Upload JS Files","آپلود فایلهای JS"
"JS Editor","ویرایشگر JS"
"Allowed file types *.js.","نوع فایل مجاز *.js."
"Theme","تم"
"Media Storage","محل ذخیره سازی رسانه"
"Create Folder","ایجاد پوشه"
"Delete Folder","حذف پوشه"
"Delete File","حذف فایل"
"Insert File","گذاشتن فایل"
"New Folder Name:","نام پوشه‌ی جدید:"
"Are you sure you want to delete this folder?","ايا شما از خذف اين پوشه اطمينان داريد?"
"Are you sure you want to delete this file?","آيا شما از حذف اين فايل اطمينان داريد?"
"Storage Root","ریشه‌ی مخزن"
"welcome","خوش آمدید"
"Global","سراسری"
"Design Configuration","پیکربندی طراحی"
"You saved the configuration.","پیکربندی را ذخیره کردید."
"Something went wrong while saving this configuration:","هنگام ذخیره این پیکربندی مشکلی پیش آمد:"
"You deleted the theme.","تم را حذف کردید."
"We cannot delete the theme.","ما نمی توانیم تم را حذف کنیم."
"File not found: ""%1"".","پرونده یافت نشد: ""%1""."
"We can't find file.","ما نمیتوانیم فایل را پیدا کنیم."
"We cannot find theme ""%1"".","ما نمیتوانیم تم ""%1"" را پیدا کنیم."
"We cannot find the theme.","ما نمی توانیم موضوع را پیدا کنیم."
"This theme is not editable.","این تم قابل ویرایش نیست."
"You saved the theme.","شما موضوع را ذخیره کردید."
"We can't upload the CSS file right now.","اکنون نمیتوانیم فایل CSS را آپلود کنیم."
"We cannot find a theme with id ""%1"".","ما نمیتوانیم تم با شناسه ""%1"" پیدا کنیم."
"We can't upload the JS file right now.","ما اکنون نمیتوانیم فایل JS را آپلود کنیم."
"Sorry, something went wrong. That's all we know.","با عرض پوزش، چیزی اشتباه رفت این تمام چیزی است که ما میدانیم."
"Invalid type","نوع نامعتبر است"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 حاوی فیلد %2 نیست"
"Invalid regular expression: ""%1"".","عبارت منظم نامعتبر: ""%1""."
"%1 does not contain field 'file'","%1 حاوی فیلد 'file' نیست"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","برچسب"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"The start date can't follow the end date.","تاریخ شروع نمی تواند تاریخ پایان را دنبال کند."
"The date range for this design change overlaps another design change for the specified store.","محدوده تاریخ برای این تغییر طراحی، یک تغییر طراحی دیگر را برای فروشگاه مشخص شده همپوشانی می کند."
"Copy","کپی"
"Theme id should be set","شناسه تم باید تنظیم شود"
"Circular-reference in theme inheritance detected for ""%1""","مرجع دایره ای در وراثت تم برای ""%1"" شناسایی شده است"
"The CSS file must be less than %1M.","فایل CSS باید کمتر از %1 M باشد."
"The JS file must be less than %1M.","فایل JS باید کمتر از %1 M باشد."
"We can't upload the file right now.","اکنون نمیتوانیم فایل را بارگیری کنیم."
"Use only standard alphanumeric, dashes and underscores.","فقط از الفبایی عددی، خط تیره و خط زیر استفاده کنید."
"We found a directory with the same name.","ما یک دایرکتوری با همین نام پیدا کردیم."
"We cannot find a directory with this name.","ما نمی توانیم یک پوشه با این نام پیدا کنیم."
"We can't delete root directory %1 right now.","ما اکنون نمی توانیم ریشه دایرکتوری %1 را حذف کنیم."
"Theme isn't deletable.","تم قابل حذف نیست."
"Exception message","پیغام استثنا"
"localized exception","استثنا محلی"
"Message","پیام"
"Test Label","برچسب تست"
"Phrase","عبارت"
"testMessage","پیام تست"
"Edit","ويرايش"
"We found no files.","هیچ فایلی نیافتیم."
"Browse Files","مرور فایل ها"
"Scope:","محدوده:"
"Remove","برداشتن"
"Help Us Keep Magento Healthy","به ما در سالم نگه داشتن مجنتو کمک کنید"
"Report All Bugs","گزارش همه‌ی باگ‌ها"
"Welcome, %1!","خوش آمدید %1!"
"Toggle Nav","تعویض ناوبری"
"JavaScript seems to be disabled in your browser.","به نظر می رسد جاوا اسکریپت در مرورگر شما غیر فعال است."
"For the best experience on our site, be sure to turn on Javascript in your browser.","برای بهترین تجربه در سایت ما، باید جاوا اسکریپت را در مرورگر خود فعال کنید."
"Local Storage seems to be disabled in your browser.","به نظر میرسد ذخیره محلی در مرورگر شما غیر فعال شده است."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","برای بهترین تجربه در سایت ما، مطمئن شوید که ذخیره سازی محلی را در مرورگر خود فعال باشد."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","موارد %1تا %2از مجموع %3"
"%1 Item","%1مورد"
"%1 Item(s)","%1مورد(ها)"
"Page","صفحه‌ی"
"Previous","قبلی"
"You're currently reading page","شما در حال خواندن صفحه هستید"
"Next","بعدی"
"Show","نمایش"
"per page","تا بر صفحه"
"About the calendar","درباره‌ی تقویم"
"Close","بستن"
"Go Today","برو به امروز"
"WK","هفته"
"Time","زمان"
"Hour","ساعت"
"Minute","دقیقه"
"%name,","%name"
"Welcome to %store_name.","به %store_name خوش آمدید."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","برای ورود به سایت از این مشخصات برای احراز هویت در قسمت پرداخت نهایی یا صفحه <a href=""%customer_url"">حساب کاربری</a> استفاده کنید:"
"Email:","ایمیل:"
"Password:","کلمه عبور:"
"Password you set when creating account","کلمه عبوری که هنگام ایجاد حساب کاربری تعیین کردید"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","کلمه عبور حساب کاربری خود را فراموش کرده اید؟ را برای تنظیم مجدد آن <a href=""٪reset_url""> اینجا </a> کلیک کنید."
"When you sign in to your account, you will be able to:","وقتی وارد حساب کاربری خود شدید، می توانید:"
"Proceed through checkout faster","سریع تر پرداخت کنید"
"Check the status of orders","وضعیت سفارشات را بررسی کنید"
"View past orders","مشاهده سفارشات قبلی"
"Store alternative addresses (for shipping to multiple family members and friends)","آدرس های جایگزین فروشگاه (برای ارسال به اعضای خانواده و دوستان)"
"We could not detect a size.","ما نمی توانیم اندازه را تشخیص دهیم."
"We don't recognize this file extension.","ما نمی توانیم این نوع فایل را شناسایی یا پشتیبانی کنیم."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","خالی"
"1 column","1 ستونی"
"Configuration","پیکربندی"
"Default welcome msg!","پیام خوش آمد گویی پیش فرض!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","کلیه حقوق مادی و معنوی این سایت متعلق به شرکت Magento 2013 است. کلیه حقوق محفوظ است."
"Design Config Grid","طراحی پیکربندی شبکه"
"Rebuild design config grid index","بازسازی طرح پیکربندی شاخص شبکه"
"Admin empty","مدیریت (خالی)"
"Admin 1column","مدیر 1 ستون"
"Theme Information","اطلاعات تم"
"Other Settings","دیگر تنظیمات"
"HTML Head","ابتدای HTML"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon آیکون"
"Default Page Title","عنوان پیش فرض صفحه"
"Page Title Prefix","پیشوند عنوان صفحه"
"Page Title Suffix","پسوند عنوان صفحه"
"Default Meta Description","توضیحات متا پیش فرض"
"Default Meta Keywords","پیش فرض کلمات کلیدی متا"
"This will be included before head closing tag in page HTML.","این پیش از بستن تگ head در صفحه‌ی HTML را شامل خواهد بود."
"Scripts and Style Sheets","اسکریپت ها و ورق های سبک"
"Display Demo Store Notice","نمایش اخطار نمونه‌ی نمایشی فروشگاه"
"Header","سربرگ"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","تصویر لوگو"
"Logo Attribute Width","عرض ویژگی آرم"
"Logo Attribute Height","ارتفاع ویژگی آرم"
"Welcome Text","متن خوش‌آمدگویی"
"Logo Image Alt","متن جایگزین تصویر لوگو"
"Footer","فوتر"
"This will be displayed just before the body closing tag.","این درست قبل از بستن تگ بادی نمایش داده خواهد شد."
"Miscellaneous HTML","HTML گوناگون"
"Copyright","حق نشر"
"Default Robots","روبوت‌های پیش فرض"
"Edit custom instruction of robots.txt File","دستورالعمل سفارشی فایل robots.txt را ویرایش کنید"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","این عمل دستورالعمل های سفارشی شما را حذف و فایل robots.txt را به تنظیمات پیش فرض سیستم بازنشانی می کند."
"Reset To Defaults","تنظیم مجدد به صورت پیش فرض"
"Website","وب سایت"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Skip to Content","پرش به محتوا"
