"Back","Kembali"
"Theme id should be set","Id tema harus ditetapkan"
"Circular-reference in theme inheritance detected for ""%1""","Edaran-referensi dalam pewarisa tema terdeteksi untuk ''%1''"
"The CSS file must be less than %1M.","Berkas CSS harus kurang dari %1M."
"The JS file must be less than %1M.","Berkas JS harus kurang dari %1M."
"We can't upload the file right now.","Kami tidak dapat mengunggah berkas sekarang."
"Use only standard alphanumeric, dashes and underscores.","Gunakan hanya alfanumerik standar, tanda hubung dan garis bawah."
"We found a directory with the same name.","Kami menemukan sebuah direktori dengan nama yang sama."
"We cannot find a directory with this name.","Kami tidak dapat menemukan direktori dengan nama ini."
"We can't delete root directory %1 right now.","Kita tidak dapat menghapus direktori root %1 sekarang."
"Theme isn't deletable.","Tema tidak bisa dihapus."
"Exception message","Pesan pengecualian"
"localized exception","pengecualian lokal"
"Message","Pesan"
"Test Label","Label uji"
"Phrase","Frasa"
"testMessage","uji pesan"
"Edit","Ubah"
"We found no files.","Kami tidak menemukan berkas."
"Browse Files","Telusuri berkas"
"Scope:","Cakupan:"
"Remove","Menghapus"
"Help Us Keep Magento Healthy","Bantu kami jaga agar Magento sehat"
"Report All Bugs","Laporkan semua bugs"
"Welcome, %1!","Selamat datang, %1!"
"Toggle Nav","Toggle nav"
"JavaScript seems to be disabled in your browser.","Javascript tampaknya dinonaktifkan di browser anda."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Untuk pengalaman terbaik di situs kami, pastikan untuk mengaktifkan javascript di browser anda."
"Local Storage seems to be disabled in your browser.","Penyimpanan lokal sepertinya dinonaktifkan di browser anda."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Untuk pengalamn terbaik di situs kami, pastikan untuk mengaktifkan local storage di browser anda."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Item %1 sampai %2 dari total %3"
"%1 Item","%1 barang"
"%1 Item(s)","%1 item(s)"
"Page","Halaman"
"Previous","Sebelumnya"
"You're currently reading page","Anda saat ini sedang membaca halaman"
"Next","Lanjut"
"Show","Menunjukkan"
"per page","per halaman"
"About the calendar","Tentang kalender"
"Close","Tutup"
"Go Today","Pergi hari ini"
"WK","Minggu"
"Time","Waktu"
"Hour","Jam"
"Minute","Menit"
"%name,","%nama"
"Welcome to %store_name.","Selamat datang di% store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Untuk masuk ke situs kami, gunakan kredensial ini saat checkout atau di halaman <a href=""%customer_url""> Akun Saya </a>:"
"Email:","E-mail:"
"Password:","Kata sandi:"
"Password you set when creating account","Password yang anda set saat membuat akun"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Lupa kata sandi akun anda? Klik <a href=""%reset_url""> di sini </a> untuk mengatur ulangnya."
"When you sign in to your account, you will be able to:","Ketika anda masuk ke akun anda, anda akan dapat:"
"Proceed through checkout faster","Lanjutkan melalui checkout lebih cepat"
"Check the status of orders","Memeriksa keadaan pesanan"
"View past orders","Lihat pesanan terakhir"
"Store alternative addresses (for shipping to multiple family members and friends)","Alamat alternatif toko (untuk pengiriman ke beberapa anggota keluarga dan teman)"
"We could not detect a size.","Kami tidak bisa mendeteksi ukurannya."
"We don't recognize this file extension.","Kami tidak mengenali ekstensi berkas ini."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Kosong"
"1 column","1 kolom"
"Configuration","Konfigurasi"
"Default welcome msg!","Pesan selamat datang default!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Design config grid"
"Rebuild design config grid index","Membangun kembali desain konfigurasi indeks grid"
"Admin empty","Admin kosong"
"Admin 1column","Admin 1 kolom"
"Theme Information","Informasi tema"
"Other Settings","Pengaturan lainnya"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Ikon favicon"
"Default Page Title","Judul halaman default"
"Page Title Prefix","Awalan judul halaman"
"Page Title Suffix","Halaman judul akhiran"
"Default Meta Description","Deskripsi meta default"
"Default Meta Keywords","Kata kunci default default"
"This will be included before head closing tag in page HTML.","Ini disertakan sebelum tag penutup kepala di HTML halaman."
"Scripts and Style Sheets","Script dan style sheets"
"Display Demo Store Notice","Tampilkan pemberitahuan demo toko"
"Header","Tajuk"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Gambar Logo"
"Logo Attribute Width","Lebar atribut logo"
"Logo Attribute Height","Tinggi atribut logo"
"Welcome Text","Text selamat datang"
"Logo Image Alt","Gambar Logo Alt"
"Footer","Footer"
"This will be displayed just before the body closing tag.","Ini akan ditampilkan tepat sebelum tag penutup tubuh."
"Miscellaneous HTML","Miscellaneous HTML"
"Copyright","Hak cipta"
"Default Robots","Robot standar"
"Edit custom instruction of robots.txt File","Edit perintah kustom dari berkas robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Tindakan ini kan menghapus intruksi khusus anda dan me-reset berkas robots.txt ke pengaturan default sistem."
"Reset To Defaults","Setel ulang ke pengaturan awal"
"Website","Situs web"
"Store","Toko"
"Store View","Tampilan toko"
"Skip to Content","Lewati ke konten"
"Menu","Menu"
"Account","Akun"
"Settings","Pengaturan"
"2 columns with left bar","2 kolom dengan bar kiri"
"2 columns with right bar","2 kolom dengan bar kanan"
"3 columns","3 kolom"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Lihat"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","Nomor"
