"Back","Indietro"
"Save and Continue","Salva e Continua"
"Save Configuration","Salva configurazione"
"%1","%1"
"Default","Predefinito"
"Themes","Temi"
"Save and Continue Edit","Salva e continua modifica"
"Are you sure you want to delete this theme?","Sei sicuro di voler eliminare questo tema?"
"Theme: %1","Tema: %1"
"New Theme","Nuovo tema"
"Theme CSS","CSS Tema"
"Theme CSS Assets","Assets CSS Tema"
"Custom CSS","CSS personalizzato"
"Select CSS File to Upload","Selezionare File CSS da caricare"
"Upload CSS File","Carica File CSS"
"Download CSS File","Scarica i file CSS"
"Manage","Gestisci"
"Upload Images","Carica immagine"
"Images Assets","Assets immagini"
"Upload Fonts","Carica i font"
"Fonts Assets","Assets Font"
"Edit custom.css","Modifica custom.css"
"Allowed file types *.css.","Tipi di file permessi *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Questo file andrà a sostituire il file custom.css corrente e non può essere più grande di 2 MB."
"Max file size to upload %1M","Dimensione massima del file da caricare di %1M"
"Something is wrong with the file upload settings.","C'è qualcosa di sbagliato nelle impostazioni di upload dei file."
"CSS Editor","Editor CSS"
"Theme Settings","Impostazioni del tema"
"Parent Theme","Tema parente"
"Theme Path","Percorso tema"
"Theme Title","Titolo tema"
"Theme Preview Image","Immagine di anteprima tema"
"General","Generale"
"Copy of %1","Copia di %1"
"Max image size %1M","Dimensione massima dell'immagine %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Selezion file JS per l'Upload"
"Upload JS Files","Carica i file JS"
"JS Editor","Editor JS"
"Allowed file types *.js.","Tipi di file permessi *.js."
"Theme","Tema"
"Media Storage","Archivio file multimediali"
"Create Folder","Crea cartella"
"Delete Folder","Elimina cartella"
"Delete File","Elimina File"
"Insert File","Inserire File"
"New Folder Name:","Nome della nuova cartella:"
"Are you sure you want to delete this folder?","Sei sicuro di che voler eliminare questa cartella?"
"Are you sure you want to delete this file?","Sei sicuro di che voler cancellare questo file?"
"Storage Root","Root Storage"
"welcome","Benvenuto"
"Global","Globale"
"Design Configuration","Configurazione Design"
"You saved the configuration.","Hai salvato la configurazione."
"Something went wrong while saving this configuration:","Qualcosa è andato storto durante il salvataggio di questa configurazione:"
"You deleted the theme.","Hai eliminato il tema."
"We cannot delete the theme.","Non è possibile eliminare il tema."
"File not found: ""%1"".","File non trovato: ""%1""."
"We can't find file.","Non è possibile trovare il file."
"We cannot find theme ""%1"".","Non è possibile trovare il tema ""%1""."
"We cannot find the theme.","Non è possibile trovare il tema."
"This theme is not editable.","Questo tema non è modificabile."
"You saved the theme.","Hai salvato il tema."
"We can't upload the CSS file right now.","Non è possibile caricare il file css in questo momento."
"We cannot find a theme with id ""%1"".","Non è possibile trovare un tema con id ""%1""."
"We can't upload the JS file right now.","Non è possibile caricare il file JS in questo momento."
"Sorry, something went wrong. That's all we know.","Qualcosa è andato storto. Questo è tutto quello che sappiamo."
"Invalid type","Tipo non valido"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 non contiene il campo '%2'"
"Invalid regular expression: ""%1"".","Espressione regolare non valida: ""%1""."
"%1 does not contain field 'file'","%1 non contiene il campo 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","etichetta"
"-- Please Select --","-- Seleziona --"
"The start date can't follow the end date.","La data di inizio non può seguire la data di fine."
"The date range for this design change overlaps another design change for the specified store.","L'intervallo di date per questa modifica di design si sovrappone con un'altra modifica di design per lo store specificato."
"Copy","Copia"
"Theme id should be set","L'id del tema deve essere impostato"
"Circular-reference in theme inheritance detected for ""%1""","Riferimento circolare all'ereditarietà del tema rilevato per ""%1"""
"The CSS file must be less than %1M.","Il file CSS deve essere minore di %1M."
"The JS file must be less than %1M.","Il file JS deve essere inferiore a %1M."
"We can't upload the file right now.","Al momento è impossibile caricare il file."
"Use only standard alphanumeric, dashes and underscores.","Usa solo alfanumerico standard, trattini e underscore."
"We found a directory with the same name.","Abbiamo trovato una directory con lo stesso nome."
"We cannot find a directory with this name.","Non è stata trovata una directory con questo nome."
"We can't delete root directory %1 right now.","Al momento è impossibile eliminare la directory di root %1."
"Theme isn't deletable.","Il tema non è cancellabile."
"Exception message","Messaggio di eccezione"
"localized exception","eccezione localizzata"
"Message","Messaggio"
"Test Label","Etichetta di prova"
"Phrase","Frase"
"testMessage","testMessage"
"Edit","Modifica"
"We found no files.","Non abbiamo trovato nessun file."
"Browse Files","Sfoglia i File"
"Scope:","Ambito:"
"Remove","Elimina"
