"Back","Terug"
"Save and Continue","Toepassen"
"Save Configuration","Configuratie opslaan"
"%1","%1"
"Default","Standaard"
"Themes","Thema's"
"Save and Continue Edit","Toepassen"
"Are you sure you want to delete this theme?","Weet u zeker dat u dit artikel wil verwijderen?"
"Theme: %1","Thema: %1"
"New Theme","Nieuw thema"
"Theme CSS","Thema CSS"
"Theme CSS Assets","Theme CSS Assets"
"Custom CSS","Aangepaste CSS"
"Select CSS File to Upload","Selecteer CSS bestand om te uploaden"
"Upload CSS File","Upload CSS bestand"
"Download CSS File","Download CSS bestand"
"Manage","Beheren"
"Upload Images","Upload afbeeldingen"
"Images Assets","Assets afbeeldingen"
"Upload Fonts","Uploaden van lettertypen"
"Fonts Assets","Assest lettertypes"
"Edit custom.css","Bewerk custom.css"
"Allowed file types *.css.","Toegestane file types *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Dit bestand zal de huidige custom.css overschrijven en mag niet groter zijn dan 2 MB."
"Max file size to upload %1M","Maximale upload bestandsgrootte %1M"
"Something is wrong with the file upload settings.","Er is iets mis met de bestand upload instellingen."
"CSS Editor","CSS-Editor"
"Theme Settings","Thema instellingen"
"Parent Theme","Bovenliggend Thema"
"Theme Path","Thema pad"
"Theme Title","Thema titel"
"Theme Preview Image","Voorvertoning thema-afbeelding"
"General","Algemeen"
"Copy of %1","Kopie van %1"
"Max image size %1M","Maximale afbeeldingsgrootte %1M"
"Theme JavaScript","Thema JavaScript"
"Select JS Files to Upload","Selecteer JS bestanden om te uploaden"
"Upload JS Files","Upload JS bestanden"
"JS Editor","JS Editor"
"Allowed file types *.js.","Toegestane bestandtypes *.js."
"Theme","Thema"
"Media Storage","Media opslag"
"Create Folder","Map toevoegen"
"Delete Folder","Map verwijderen"
"Delete File","Bestand verwijderen"
"Insert File","Bestand invoegen"
"New Folder Name:","Nieuwe mapnaam"
"Are you sure you want to delete this folder?","Weet u zeker dat u deze map wilt verwijderen?"
"Are you sure you want to delete this file?","Weet u zeker dat u dit bestand wilt verwijderen?"
"Storage Root","Opslag root"
"welcome","welkom"
"Global","Systeem"
"Design Configuration","Ontwerpconfiguratie"
"You saved the configuration.","U heeft de configuratie opgeslagen."
"Something went wrong while saving this configuration:","Er ging iets mis bij het opslaan van deze configuratie:"
"You deleted the theme.","U heeft het thema verwijderd."
"We cannot delete the theme.","We kunnen het thema niet verwijderen."
"File not found: ""%1"".","Bestand niet gevonden: ""%1""."
"We can't find file.","We kunnen het bestand niet vinden."
"We cannot find theme ""%1"".","We kunnen het thema ""%1"" niet vinden."
"We cannot find the theme.","We kunnen het thema niet vinden."
"This theme is not editable.","Dit thema kan niet worden bewerkt."
"You saved the theme.","U heeft het thema opgeslagen."
"We can't upload the CSS file right now.","We kunnen het CSS bestand momenteel niet uploaden."
"We cannot find a theme with id ""%1"".","We kunnen geen thema vinden met id ""%1""."
"We can't upload the JS file right now.","We kunnen het JS bestand momenteel niet uploaden."
"Sorry, something went wrong. That's all we know.","Er ging iets mis. Verder is er geen informatie."
"Invalid type","Ongeldig type"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 bevat geen veld '%2'"
"Invalid regular expression: ""%1"".","Ongeldige reguliere expressie: ""%1""."
"%1 does not contain field 'file'","%1 bevat geen veld 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","label"
"-- Please Select --","-- Selecteer --"
"The start date can't follow the end date.","De begindatum moet eerder zijn dan de einddatum."
"The date range for this design change overlaps another design change for the specified store.","Het datumbereik voor deze layout wijziging overlapt een andere layout wijziging voor de opgegeven winkel."
"Copy","Kopieer"
"Theme id should be set","Thema id moet worden ingesteld"
"Circular-reference in theme inheritance detected for ""%1""","Kringverwijzing in thema overerving waargenomen voor ""%1"""
"The CSS file must be less than %1M.","Het CSS bestand moet kleiner zijn dan %1M."
"The JS file must be less than %1M.","Het JS bestand moet kleiner zijn dan %1M."
"We can't upload the file right now.","Wij kunnen het bestand nu niet uploaden."
"Use only standard alphanumeric, dashes and underscores.","Gebruik enkel alfanumerieke tekens, streepjes en liggende streepjes."
"We found a directory with the same name.","We vonden een map met dezelfde naam."
"We cannot find a directory with this name.","Wij kunnen een map met deze naam niet vinden."
"We can't delete root directory %1 right now.","Wij kunnen de hoofddirectory %1 nu niet verwijderen."
"Theme isn't deletable.","Thema is niet verwijderbaar."
"Exception message","Foutmelding"
"localized exception","gelokaliseerde uitzondering"
"Message","Bericht"
"Test Label","Test Label"
"Phrase","Zin"
"testMessage","testMessage"
"Edit","Bewerken"
"We found no files.","We vonden geen bestanden."
"Browse Files","Door bestanden bladeren"
"Scope:","Bereik:"
"Remove","Verwijder"
"Help Us Keep Magento Healthy","Help ons Magento gezond te houden"
"Report All Bugs","Rapporteer alle bugs."
"Welcome, %1!","Welkom, %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript lijkt te zijn uitgeschakeld in uw browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Voor de beste gebruikerservaring, zorg ervoor dat javascript ingeschakeld is voor uw browser."
"Local Storage seems to be disabled in your browser.","Lokale opslag lijkt te zijn uitgeschakeld in uw browser."
