"Back","رجوع"
"Save and Continue","حفظ و إستمرار"
"Save Configuration","حفظ الضبط"
"%1","home"
"Default","الافتراضي"
"Themes","مواضيع"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Are you sure you want to delete this theme?","هل أنت متأكد أنك تريد حذف هذه الواجهة؟"
"Theme: %1","الواجهة: %1"
"New Theme","واجهة جديدة"
"Theme CSS","قالب CSS"
"Theme CSS Assets","Theme CSS Assets"
"Custom CSS","CSS مخصص"
"Select CSS File to Upload","اختر ملف CSS لرفعه"
"Upload CSS File","رفع ملف CSS"
"Download CSS File","تحميل ملف CSS"
"Manage","إدارة"
"Upload Images","رفع صور"
"Images Assets","Images Assets"
"Upload Fonts","رفع الخطوط"
"Fonts Assets","Fonts Assets"
"Edit custom.css","تعديل custom.css"
"Allowed file types *.css.","يسمح بالملفات بالامتداد *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","هذا الملف سيتم استبدال الملف custom.css الحالي ولا يمكن أن يكون أكثر من 2 ميغا بايت."
"Max file size to upload %1M","الحد الأقصى لحجم الملف للرفع %1M"
"Something is wrong with the file upload settings.","هناك خطأ في إعدادات رفع الملف."
"CSS Editor","محرر CSS"
"Theme Settings","إعدادات الثيم"
"Parent Theme","الثيم الأصل"
"Theme Path","مسار الثيم"
"Theme Title","عنوان الثيم"
"Theme Preview Image","صورة معاينة الثيم"
"General","عام"
"Copy of %1","نسخة من %1"
"Max image size %1M","الحد الأقصى لحجم الصورة %1M"
"Theme JavaScript","الجافا سكريبت للثيم"
"Select JS Files to Upload","حدد ملفات الجافا سكربت لرفعها"
"Upload JS Files","رفع ملفات الجافا سكربت"
"JS Editor","محرر الجافا سكربت"
"Allowed file types *.js.","يسمح بالملفات بالامتداد *.js."
"Theme","الثيم"
"Media Storage","وسائط التخزين"
"Create Folder","إنشاء مجلد"
"Delete Folder","حذف مجلد"
"Delete File","حذف ملف"
"Insert File","إدراج ملف"
"New Folder Name:","اسم المجلد الجديد:"
"Are you sure you want to delete this folder?","هل أنت متأكد من أنك تريد حذف هذا المجلد؟"
"Are you sure you want to delete this file?","هل أنت متأكد من أنك تريد حذف هذا الملف؟"
"Storage Root","جذر التخزين"
"welcome","اهلا وسهلا"
"Global","عالمي"
"Design Configuration","ضبط التصميم"
"You saved the configuration.","قمت بحفظ الضبط."
"Something went wrong while saving this configuration:","حدث خطأ أثناء حفظ هذا التكوين:"
"You deleted the theme.","قمت بحذف الثيم."
"We cannot delete the theme.","لا يمكن حذف الثيم."
"File not found: ""%1"".","لم يتم العثور على الملف: ""%1""."
"We can't find file.","لا يمكننا العثور على الملف."
"We cannot find theme ""%1"".","لا يمكن العثور على الثيم ""%1""."
"We cannot find the theme.","لا يمكن ايجاد الثيم."
"This theme is not editable.","هذا الثيم غير قابل للتعديل."
"You saved the theme.","تم حفظ الثيم."
"We can't upload the CSS file right now.","لا يمكننا تحميل ملف CSS الآن."
"We cannot find a theme with id ""%1"".","لا يمكن العثور على الثيم مع معرف ""%1""."
"We can't upload the JS file right now.","لا يمكننا رفع ملف جافا سكريبت الآن."
