"Back","Retour"
"Save and Continue","Sauvegarder et continuer"
"Save Configuration","Enregistrer la Configuration"
"%1","%1"
"Default","Par défaut"
"Themes","Thèmes"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Are you sure you want to delete this theme?","Êtes-vous sûr de vouloir supprimer ce thème ?"
"Theme: %1","Thème : %1"
"New Theme","Nouveau thème"
"Theme CSS","Thème CSS"
"Theme CSS Assets","Eléments CSS du thème"
"Custom CSS","En-tête"
"Select CSS File to Upload","Sélectionnez fichier CSS à charger"
"Upload CSS File","Uploader le fichier CSS"
"Download CSS File","Télécharger le fichier CSS"
"Manage","Gérer"
"Upload Images","Uploader les images"
"Images Assets","Eléments d'images"
"Upload Fonts","Envoyer polices de caractères"
"Fonts Assets","Eléments de polices de caractères"
"Edit custom.css","Editer custom.css"
"Allowed file types *.css.","Type de fichier autorisé *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Taille de fichier maximale à charger %1M"
"Something is wrong with the file upload settings.","Quelque chose ne va pas avec les paramètres de fichiers à charger."
"CSS Editor","Editeur CSS"
"Theme Settings","Paramètres du thème"
"Parent Theme","Thème parent"
"Theme Path","Chemin du thème"
"Theme Title","Titre du thème"
"Theme Preview Image","Image de prévisualisation du thème"
"General","Général"
"Copy of %1","Copie de %1"
"Max image size %1M","Taille image maxi %1M"
"Theme JavaScript","JavaScript du thème"
"Select JS Files to Upload","Sélectionnez fichier JS à charger"
"Upload JS Files","Charger fichiers JS"
"JS Editor","Editeur JS"
"Allowed file types *.js.","Type de fichier autorisé *.js."
"Theme","Nom de fichier du flux TheFind"
"Media Storage","Stockage des medias"
"Create Folder","Créer un dossier"
"Delete Folder","Supprimer le dossier"
"Delete File","Supprimer le fichier"
"Insert File","Insérer le fichier"
"New Folder Name:","Nouveau nom de dossier :"
"Are you sure you want to delete this folder?","Êtes-vous sûr de vouloir supprimer ce dossier ?"
"Are you sure you want to delete this file?","Êtes-vous certain(e) de vouloir supprimer ce fichier ?"
"Storage Root","Racine du stockage"
"welcome","bienvenue"
"Global","Global"
"Design Configuration","Configuration de design"
"You saved the configuration.","Vous avez enregistré la configuration."
"Something went wrong while saving this configuration:","Une erreur s'est produite lors de l'enregistrement de cette configuration :"
"You deleted the theme.","Vous avez supprimé le thème."
"We cannot delete the theme.","Nous ne pouvons pas supprimer le thème."
"File not found: ""%1"".","Fichier non trouvé: «%1 »."
"We can't find file.","Nous ne pouvons pas trouver le fichier."
"We cannot find theme ""%1"".","Nous ne trouvons pas de thème «%1 »."
"We cannot find the theme.","Nous ne pouvons pas trouver le thème."
