"Back","Tillbaka"
"Save and Continue","Spara och Fortsätt"
"Save Configuration","Spara Konfiguration"
"%1","%1"
"Default","Förvald"
"Themes","Teman"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Are you sure you want to delete this theme?","Är du säker på att du vill ta bort detta tema?"
"Theme: %1","Tema: %1"
"New Theme","Nytt tema"
"Theme CSS","Tema CSS"
"Theme CSS Assets","Tema CSS resurser"
"Custom CSS","Anpassad CSS"
"Select CSS File to Upload","Välj CSS-fil att Ladda upp"
"Upload CSS File","Ladda upp CSS-fil"
"Download CSS File","Hämta CSC-fil"
"Manage","Hantera"
"Upload Images","Ladda upp bilder"
"Images Assets","Bildresurser"
"Upload Fonts","Ladda upp teckensnitt"
"Fonts Assets","Teckensnitt Resurser"
"Edit custom.css","Redigera custom.css"
"Allowed file types *.css.","Tillåtna filtyper *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Maximal filstorlek att ladda upp %1M"
"Something is wrong with the file upload settings.","Något är fel med inställningarna för filuppladdning."
"CSS Editor","CSS-Redigerare"
"Theme Settings","Inställningarna för tema"
"Parent Theme","Förälder Tema"
"Theme Path","Sökväg för tema"
"Theme Title","Titel för tema"
"Theme Preview Image","Tema förhandsgranskningsbild"
"General","Allmänt"
"Copy of %1","Kopia av %1"
"Max image size %1M","Max bildstorlek %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Välj JS-filer att ladda upp"
"Upload JS Files","Ladda upp JS filer"
"JS Editor","JS Redigerare"
"Allowed file types *.js.","Tillåtna filtyper *.js."
"Theme","Tema"
"Media Storage","Medialagring"
"Create Folder","Skapa mapp"
"Delete Folder","Ta bort mapp"
"Delete File","Radera fil"
"Insert File","Infoga fil"
"New Folder Name:","Nytt mappnamn:"
"Are you sure you want to delete this folder?","Är du säker att du vill ta bort den här mappen?"
"Are you sure you want to delete this file?","Är du säker att du vill ta bort den här filen?"
"Storage Root","Lagringsrot"
"welcome","välkommen"
"Global","Global"
"Design Configuration","Designkonfiguration"
"You saved the configuration.","Du sparade konfigurationen."
"Something went wrong while saving this configuration:","Något gick fel när den här konfigurationen sparades:"
"You deleted the theme.","Du tog bort temat."
"We cannot delete the theme.","Vi kan inte ta bort temat."
"File not found: ""%1"".","Filen hittades inte: ""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","Vi kan inte hitta tema ""%1""."
"We cannot find the theme.","Vi kan inte hitta temat."
"This theme is not editable.","Detta tema är inte redigerbart."
"You saved the theme.","Du sparat temat."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We cannot find a theme with id ""%1"".","Vi kan inte hitta ett tema med id ""%1""."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Ogiltig typ"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 innehåller inte fältet '%2'"
"Invalid regular expression: ""%1"".","Ogiltigt reguljärt uttryck: ""%1""."
"%1 does not contain field 'file'","%1 innehåller inte fältet 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","etikett"
"-- Please Select --","--Vänligen välj--"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","Intervallet för denna designändring överlappar en annan designförändring för den angivna affären."
"Copy","Kopiera"
"Theme id should be set","Tema-id ska anges"
"Circular-reference in theme inheritance detected for ""%1""","Cirkulär referens i tema arv upptäckts för ""%1"""
"The CSS file must be less than %1M.","CSS-filen måste vara mindre än %1M."
"The JS file must be less than %1M.","JS-filen måste vara mindre än %1M."
"We can't upload the file right now.","We can't upload the file right now."
"Use only standard alphanumeric, dashes and underscores.","Använd endast tecken som är standard alfanumeriska, bindestreck eller understreck."
"We found a directory with the same name.","Vi hittade en katalog med samma namn."
"We cannot find a directory with this name.","Vi kan inte hitta en katalog med detta namn."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Theme isn't deletable."
"Exception message","Undantagsmeddelandet"
"localized exception","lokaliserade undantag"
"Message","Meddelande"
"Test Label","Test etikett"
"Phrase","Fras"
"testMessage","testMeddelande"
"Edit","Redigera"
"We found no files.","Vi hittade inga filer."
"Browse Files","Bläddra bland filer"
"Scope:","Omfattning:"
"Remove","Ta bort"
"Help Us Keep Magento Healthy","Hjälp oss att hålla Magento friska"
"Report All Bugs","Rapportera alla buggar"
"Welcome, %1!","Välkommen, %1!"
"Toggle Nav","Växla Nav"
"JavaScript seems to be disabled in your browser.","JavaScript verkar vara inaktiverat i din webbläsare."
"For the best experience on our site, be sure to turn on Javascript in your browser.","För den bästa upplevelsen på vår webbplats, bör du aktivera Javascript i din webbläsare."
"Local Storage seems to be disabled in your browser.","Lokal lagring verkar vara inaktiverat i din webbläsare."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","För den bästa upplevelsen på vår webbplats, bör du aktivera lokal lagring i din webbläsare."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Artiklar %1 till %2 av %3 totala"
"%1 Item","%1 Artikel"
"%1 Item(s)","%1 objekt"
