"Back","Zpět"
"Save and Continue","Uložit a pokračovat"
"Save Configuration","Uložit nastavení"
"%1","%1"
"Default","Výchozí"
"Themes","Témata"
"Save and Continue Edit","Použít"
"Are you sure you want to delete this theme?","Skutečně chcete toto téma odstranit?"
"Theme: %1","Téma: %1"
"New Theme","Nové téma"
"Theme CSS","CSS tématu"
"Theme CSS Assets","CSS soubory tématu"
"Custom CSS","Vlastní CSS"
"Select CSS File to Upload","Zvolte CSS soubor k importu"
"Upload CSS File","Nahrát CSS soubor"
"Download CSS File","Stáhnout CSS soubor"
"Manage","Spravovat"
"Upload Images","Nahrát obrázky"
"Images Assets","Soubory obrázků"
"Upload Fonts","Nahrát písma"
"Fonts Assets","Soubory písma"
"Edit custom.css","Upravit custom.css"
"Allowed file types *.css.","Povolené typy souborů *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Tento soubor nahradí současný custom.css soubor a nesmí být větší než 2 MB."
"Max file size to upload %1M","Max. velikost nahrávaného souboru je %1M"
"Something is wrong with the file upload settings.","Při nastavení nahrávání souboru nastala chyba."
"CSS Editor","CSS editor"
"Theme Settings","Nastavení tématu"
"Parent Theme","Nadřazené téma"
"Theme Path","Cesta tématu"
"Theme Title","Název tématu"
"Theme Preview Image","Obrázek náhledu tématu"
"General","Obecné"
"Copy of %1","Kopie z %1"
"Max image size %1M","Maximální velikost obrázku %1M"
"Theme JavaScript","Javaskript tématu"
"Select JS Files to Upload","Zvolte JS soubory k importu"
"Upload JS Files","Nahrát JS soubory"
"JS Editor","JS editor"
"Allowed file types *.js.","Povolené typy souborů *.js."
"Theme","Téma"
"Media Storage","Úložiště médií"
"Create Folder","Vytvořit adresář"
"Delete Folder","Odstranit adresář"
"Delete File","Smazat soubor"
"Insert File","Vložit soubor"
"New Folder Name:","Název nového adresáře:"
"Are you sure you want to delete this folder?","Skutečně chcete tento adresář odstranit?"
"Are you sure you want to delete this file?","Skutečně chcete tento soubor odstranit?"
"Storage Root","Hlavní adresář"
"welcome","welcome"
"Global","Globální"
"Design Configuration","Nastavení vzhledu"
"Page not found.","Page not found."
"You saved the configuration.","Nastavení bylo uloženo."
"Something went wrong while saving this configuration:","Při ukládání tohoto nastavení nastala chyba:"
"We cannot find a theme with id ""%1"".","Téma s ID ""%1"" nelze najít."
"You deleted the theme.","Téma bylo odstraněno."
"We cannot delete the theme.","Téma nelze odstranit."
"Theme not found: ""%1"".","Theme not found: ""%1""."
"File not found: ""%1"".","Soubor nebyl nalezen: ""%1""."
"We can't find file.","Soubor nelze najít."
"We cannot find theme ""%1"".","Téma ""%1"" nelze najít."
"We cannot find the theme.","Téma nelze najít."
"This theme is not editable.","Toto téma nelze upravovat."
"You saved the theme.","Téma bylo uloženo."
"We can't upload the CSS file right now.","CSS soubor nelze momentálně nahrát."
"We can't upload the JS file right now.","JS soubor nelze momentálně nahrát."
"Sorry, something went wrong. That's all we know.","Omlouváme se, něco se pokazilo. To je vše, co víme."
"Invalid type","Neplatný typ"
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"Invalid regular expression: ""%1"".","Neplatný regulární výraz: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"label","označení"
"-- Please Select --","-- Vyberte --"
"The start date can't follow the end date.","Počáteční datum nemůže následovat po koncovém datu."
"The date range for this design change overlaps another design change for the specified store.","Nastavené období této změny vzhledu se překrývá s další uloženou změnou vzhledu obchodu."
"Copy","Kopírovat"
"Theme id should be set","ID tématu musí být nastaveno"
"Circular-reference in theme inheritance detected for ""%1""","V tématu byla zjištěna dědičnost pro ""%1"""
"The CSS file must be less than %1M.","Velikost CSS souboru nesmí přesáhnout %1M."
"The JS file must be less than %1M.","Velikost JS souboru nesmí přesáhnout %1M."
"We can't upload the file right now.","Momentálně soubor nelze nahrát."
"Use only standard alphanumeric, dashes and underscores.","Pouze standardní alfanumerické znaky, pomlčky a podtržítka."
