"Back","戻る"
"Save and Continue","保存して続ける"
"Save Configuration","設定を保存"
"%1","%1"
"Default","標準"
"Themes","テーマ"
"Save and Continue Edit","保存して編集を続ける"
"Are you sure you want to delete this theme?","このテーマを削除しますか?"
"Theme: %1","テーマ: %1"
"New Theme","新しいテーマ"
"Theme CSS","テーマ CSS"
"Theme CSS Assets","テーマ CSS アセット"
"Custom CSS","カスタム CSS"
"Select CSS File to Upload","アップロードするCSS Fileを選択してください"
"Upload CSS File","CSSファイルをアップロード"
"Download CSS File","CSSファイルをダウンロード"
"Manage","管理"
"Upload Images","画像をアップロード"
"Images Assets","画像アセット"
"Upload Fonts","フォントをアップロード"
"Fonts Assets","フォントアセット"
"Edit custom.css","custom.css編集"
"Allowed file types *.css.","許可されたファイル・タイプは *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","このファイルは現在のcustom.cssファイルを置き換えて2MB以上にできません"
"Max file size to upload %1M","アップロードできるファイルの最大サイズは%1M"
"Something is wrong with the file upload settings.","ファイルアップロード設定に問題があります"
"CSS Editor","CSS エディター"
"Theme Settings","テーマ設定"
"Parent Theme","親設定"
"Theme Path","テーマパス"
"Theme Title","テーマタイトル"
"Theme Preview Image","テーマプレビュー画像"
"General","全般"
"Copy of %1","%1のコピー"
"Max image size %1M","最大画像サイズ %1M"
"Theme JavaScript","テーマ JavaScript"
"Select JS Files to Upload","アップロードするJSファイルを選択してください"
"Upload JS Files","JSファイルアップロード"
"JS Editor","JSエディター"
"Allowed file types *.js.","許可されたファイルタイプ *.js."
"Theme","テーマ"
"Media Storage","メディアストレージ"
"Create Folder","フォルダーを作成する"
"Delete Folder","フォルダを削除"
"Delete File","ファイルを削除"
"Insert File","ファイル挿入"
"New Folder Name:","新しいフォルダ名:"
"Are you sure you want to delete this folder?","本当にこのフォルダを削除しますか?"
"Are you sure you want to delete this file?","本当にこのファイルを削除しますか?"
"Storage Root","ストレージルート"
"welcome","ようこそ"
"Global","グローバル"
"Design Configuration","デザイン設定"
"You saved the configuration.","設定を保存しました"
"Something went wrong while saving this configuration:","この設定を保存中に問題が発生しました:"
"You deleted the theme.","テーマを削除しました"
"We cannot delete the theme.","テーマを削除できません"
"File not found: ""%1"".","ファイルが見つかりません: ""%1""."
"We can't find file.","ファイルが見つかりません"
"We cannot find theme ""%1"".","テーマが見つかりません ""%1""."
"We cannot find the theme.","テーマが見つかりません"
"This theme is not editable.","このテーマは編集できません"
"You saved the theme.","テーマを保存しました"
"We can't upload the CSS file right now.","現在CSSファイルをアップロードできません"
"We cannot find a theme with id ""%1"".","id ""%1""のテーマがみつかりません"
"We can't upload the JS file right now.","現在JSファイルをアップロードできません"
"Sorry, something went wrong. That's all we know.","申し訳ありません、エラーが発生いたしました。原因調査中です。"
"Invalid type","不正なタイプ"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1はフィールド'%2'を含みません"
"Invalid regular expression: ""%1"".","不正なレギュラー表現: ""%1""."
"%1 does not contain field 'file'","%1はフィールド'file'を含みません"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","ラベル"
"-- Please Select --","-- 選択してください --"
"The start date can't follow the end date.","開始日は終了日よりあとの日付を指定できません。"
"The date range for this design change overlaps another design change for the specified store.","このデザイン変更の日付の範囲は、指定したストアの別のデザイン変更と重複します。"
"Copy","コピー"
"Theme id should be set","テーマidをセットしてください"
"Circular-reference in theme inheritance detected for ""%1"""," ""%1""のテーマ継承にサーキュラーリファレンスを検知しました"
"The CSS file must be less than %1M.","CSSファイルは%1M以下でなければなりません"
"The JS file must be less than %1M.","JSファイルは%1M以下でなければなりません"
