"Back","Πίσω"
"Save and Continue","Αποθήκευση και Συνέχεια"
"Save Configuration","Αποθήκευση Ρυθμίσεων"
"%1","%1"
"Default","Προεπιλογή"
"Themes","Θέματα"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Are you sure you want to delete this theme?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το θέμα;"
"Theme: %1","Θέμα: %1"
"New Theme","Νέο Θέμα"
"Theme CSS","CSS Θέματος"
"Theme CSS Assets","Στοιχεία Θέματος CSS"
"Custom CSS","Προσαρμοσμένο CSS"
"Select CSS File to Upload","Επιλέξτε CSS αρχείο για να φορτώσετε"
"Upload CSS File","Ανεβάστε CSS αρχείο"
"Download CSS File","Κατεβάστε το αρχείο CSS"
"Manage","Διαχείριση"
"Upload Images","Ανέβασμα Εικόνων"
"Images Assets","Στοιχεία Εικόνων"
"Upload Fonts","Μεταφόρτωση γραμματοσειρών"
"Fonts Assets","Στοιχεία γραμματοσειρών"
"Edit custom.css","Επεξεργαστείτε το custom.css"
"Allowed file types *.css.","Επιτρέπονται τύποι αρχείων *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Αυτό το αρχείο θα αντικαταστήσει το τρέχον αρχείο custom.css και δεν μπορεί να είναι περισσότερα από 2 MB."
"Max file size to upload %1M","Μέγιστο μέγεθος αρχείου για να ανεβάσετε %1M"
"Something is wrong with the file upload settings.","Κάτι είναι λάθος με τις ρυθμίσεις του αρχείου μεταφόρτωσης."
"CSS Editor","Πρόγραμμα επεξεργασίας CSS"
"Theme Settings","Ρυθμίσεις Θέματος"
"Parent Theme","Γονικό θέμα"
"Theme Path","Διαδρομή Θέματος"
"Theme Title","Τίτλος Θέματος"
"Theme Preview Image","Εικόνα Προεπισκόπησης Θέματος"
"General","Γενικά"
"Copy of %1","Αντίγραφο του %1"
"Max image size %1M","Μέγιστο μέγεθος εικόνας %1M"
"Theme JavaScript","JavaScript Θέματος"
"Select JS Files to Upload","Επιλέξτε JS αρχεία για Μεταφόρτωση"
"Upload JS Files","Ανεβάστε JS Αρχεία"
"JS Editor","Πρόγραμμα επεξεργασίας JS"
"Allowed file types *.js.","Επιτρέπονται τύποι αρχείων *.js."
"Theme","Θέμα"
"Media Storage","Μέσα αποθήκευσης"
"Create Folder","Δημιουργία Φακέλου"
"Delete Folder","Διαγραφή Φακέλου"
"Delete File","Διαγραφή Αρχείου"
"Insert File","Εισαγωγή Αρχείου"
"New Folder Name:","Όνομα Νέου Φακέλου:"
"Are you sure you want to delete this folder?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτόν το φάκελο;"
"Are you sure you want to delete this file?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το αρχείο;"
"Storage Root","Ρίζα Αποθήκευσης"
"welcome","Καλως Ήλθατε"
"Global","Παγκόσμια"
"Design Configuration","Ρύθμιση παραμέτρων σχεδιασμού"
"You saved the configuration.","Έχετε αποθηκεύσει τις ρυθμίσεις παραμέτρων."
"Something went wrong while saving this configuration:","Κάτι πήγε στραβά κατά την αποθήκευση αυτής της ρύθμισης παραμέτρων:"
"You deleted the theme.","Διαγράψατε το θέμα."
"We cannot delete the theme.","Δεν μπορούμε να διαγράψουμε το θέμα."
"File not found: ""%1"".","Το αρχείο δεν βρέθηκε: ""%1""."
"We can't find file.","Δεν μπορούμε να βρούμε το αρχείο."
"We cannot find theme ""%1"".","Δεν μπορούμε να βρούμε το θέμα ""%1""."
"We cannot find the theme.","Δεν μπορούμε να βρούμε το θέμα."
"This theme is not editable.","Αυτό το θέμα δεν είναι επεξεργάσιμο."
"You saved the theme.","Αποθηκεύσατε το θέμα."
"We can't upload the CSS file right now.","Δεν είναι δυνατή η αποστολή του αρχείου CSS αυτήν τη στιγμή."
"We cannot find a theme with id ""%1"".","Δεν μπορούμε να βρούμε ένα θέμα με id ""%1""."
"We can't upload the JS file right now.","Δεν είναι δυνατή η αποστολή του αρχείου JS αυτήν τη στιγμή."
