"Back","पीछे	"
"Save and Continue","सहेजें और जारी रखें"
"Save Configuration","कॉन्फ़िगरेशन सहेजें"
"%1","%1"
"Default","चूक"
"Themes","विषय-वस्तु"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"Are you sure you want to delete this theme?","क्या आप वाकई इस विषय को हटाना चाहते हैं?"
"Theme: %1","थीम: %1"
"New Theme","नया थीम"
"Theme CSS","थीम सीएसएस"
"Theme CSS Assets","थीम सीएसएस संपत्ति"
"Custom CSS","कस्टम सीएसएस"
"Select CSS File to Upload","अपलोड करने के लिए सीएसएस फ़ाइल का चयन करें"
"Upload CSS File","सीएसएस फ़ाइल अपलोड करें"
"Download CSS File","डाउनलोड सीएसएस फ़ाइल"
"Manage","प्रबंधित"
"Upload Images","तश्वीरें अपलोड करो"
"Images Assets","छवियाँ एसेट्स"
"Upload Fonts","फ़ॉन्ट्स अपलोड करें"
"Fonts Assets","फ़ॉन्ट्स संपत्ति"
"Edit custom.css","Custom.css संपादित करें"
"Allowed file types *.css.","अनुमत फ़ाइल प्रकार * .css"
"This file will replace the current custom.css file and can't be more than 2 MB.","यह फ़ाइल वर्तमान custom.css फ़ाइल को बदल देगी और 2 MB से अधिक नहीं हो सकती।"
"Max file size to upload %1M","%1M अपलोड करने के लिए अधिकतम फ़ाइल आकार"
"Something is wrong with the file upload settings.","फ़ाइल अपलोड सेटिंग में कुछ गड़बड़ है।"
"CSS Editor","सीएसएस संपादक"
"Theme Settings","विषय सेटिंग"
"Parent Theme","मूल विषय"
"Theme Path","थीम पथ"
"Theme Title","थीम शीर्षक"
"Theme Preview Image","थीम पूर्वावलोकन छवि"
"General","सामान्य"
"Copy of %1","%1 की कॉपी"
"Max image size %1M","अधिकतम छवि आकार %1M"
"Theme JavaScript","थीम जावास्क्रिप्ट"
"Select JS Files to Upload","अपलोड करने के लिए JS Files को चुनें"
"Upload JS Files","जेएस फाइलें अपलोड करें"
"JS Editor","जेएस संपादक"
"Allowed file types *.js.","अनुमत फ़ाइल प्रकार * .js।"
"Theme","विषय"
"Media Storage","मीडिया का भंडारण"
"Create Folder","फोल्डर बनाएं"
"Delete Folder","फोल्डर हटा दें"
"Delete File","फ़ाइल को हटाएं"
"Insert File","फ़ाइल डालें"
"New Folder Name:","नया फ़ोल्डर नाम:"
"Are you sure you want to delete this folder?","क्या आप वाकई इस फ़ोल्डर को हटाना चाहते हैं?"
"Are you sure you want to delete this file?","क्या आप द्वारा इस फाइल को हटाया जाना सुनिश्चित है?"
"Storage Root","भंडारण जड़"
"welcome","स्वागत हे"
"Global","वैश्विक"
"Design Configuration","डिजाइन विन्यास"
"You saved the configuration.","आपने कॉन्फ़िगरेशन सहेज लिया है।"
"Something went wrong while saving this configuration:","इस कॉन्फ़िगरेशन को सहेजते समय कुछ गड़बड़ हुई:"
"You deleted the theme.","आपने थीम हटा दी।"
"We cannot delete the theme.","हम विषय को हटा नहीं सकते।"
"File not found: ""%1"".","फ़ाइल नहीं मिली: ""%1""।"
"We can't find file.","हमें फ़ाइल नहीं मिली।"
"We cannot find theme ""%1"".","हमें थीम ""%1"" नहीं मिल रही है।"
"We cannot find the theme.","हम विषय नहीं खोज सकते।"
"This theme is not editable.","यह विषय संपादन योग्य नहीं है।"
"You saved the theme.","आपने थीम सेव कर ली।"
"We can't upload the CSS file right now.","हम अभी CSS फ़ाइल अपलोड नहीं कर सकते हैं।"
"We cannot find a theme with id ""%1"".","हम आईडी ""%1"" के साथ एक विषय नहीं खोज सकते।"
"We can't upload the JS file right now.","हम अभी JS फाइल अपलोड नहीं कर सकते हैं।"
"Sorry, something went wrong. That's all we know.","क्षमा करें, कुछ गलत हो गया। बस हमें यही पता है।"
"Invalid type","अमान्य प्रकार"
"Invalid scope or scope id","अमान्य स्कोप या स्कोप आईडी"
"%1 does not contain field '%2'","%1 में फ़ील्ड '%2' शामिल नहीं है"
"Invalid regular expression: ""%1"".","अमान्य नियमित अभिव्यक्ति: ""%1""।"
"%1 does not contain field 'file'","%1 में फ़ील्ड 'फ़ाइल' नहीं है"
"Backend model is not specified for %1","बैकएंड मॉडल %1 के लिए निर्दिष्ट नहीं है"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","%templateName में गलत कॉन्फ़िगरेशन है। टेम्पलेट का एक संदर्भ है। या तो संदर्भ निकालें या बदलें।"
"Can not save empty config","खाली कॉन्‍फ़िगर नहीं बचा सकता"
"label","लेबल"
"-- Please Select --","-- कृपया चुने --"
"The start date can't follow the end date.","प्रारंभ तिथि अंतिम तिथि का पालन नहीं कर सकती है।"
"The date range for this design change overlaps another design change for the specified store.","इस डिज़ाइन परिवर्तन के लिए तिथि सीमा निर्दिष्ट स्टोर के लिए एक और डिज़ाइन परिवर्तन को ओवरलैप करती है।"
"Copy","प्रतिलिपि"
"Theme id should be set","थीम आईडी सेट की जानी चाहिए"
"Circular-reference in theme inheritance detected for ""%1""","""%1"" के लिए थीम वंशानुक्रम में परिपत्र-संदर्भ पाया गया"
"The CSS file must be less than %1M.","CSS फ़ाइल %1M से कम होनी चाहिए।"
"The JS file must be less than %1M.","JS फ़ाइल %1M से कम होनी चाहिए।"
"We can't upload the file right now.","हम अभी फाइल अपलोड नहीं कर सकते हैं।"
"Use only standard alphanumeric, dashes and underscores.","केवल मानक अल्फ़ान्यूमेरिक, डैश और अंडरस्कोर का उपयोग करें।"
"We found a directory with the same name.","हमें उसी नाम से एक निर्देशिका मिली।"
"We cannot find a directory with this name.","हम इस नाम के साथ एक निर्देशिका नहीं ढूँढ सकते।"
"We can't delete root directory %1 right now.","हम अभी रूट डायरेक्टरी %1 को हटा नहीं सकते हैं।"
"Theme isn't deletable.","थीम हटाने योग्य नहीं है।"
"Exception message","अपवाद संदेश"
"localized exception","स्थानीयकृत अपवाद"
"Message","संदेश "
"Test Label","टेस्ट लेबल"
"Phrase","मुहावरा"
"testMessage","परीक्षण संदेश"
"Edit","संपादित करें"
"We found no files.","हमें कोई फाइल नहीं मिली।"
"Browse Files","फाइलों में खोजें"
"Scope:","स्कोप:"
"Remove","निकालें"
"Help Us Keep Magento Healthy","Magento को स्वस्थ रखने में हमारी सहायता करें"
"Report All Bugs","रिपोर्ट सभी कीड़े"
"Welcome, %1!","स्वागत है, %1!"
"Toggle Nav","नव को टॉगल करें"
"JavaScript seems to be disabled in your browser.","लग रहा है कि जावास्क्रिप्ट आपके ब्राउज़र में अक्षम है।"
"For the best experience on our site, be sure to turn on Javascript in your browser.","हमारी साइट पर सबसे अच्छा अनुभव के लिए, अपने ब्राउज़र में जावास्क्रिप्ट को चालू करना सुनिश्चित करें।"
"Local Storage seems to be disabled in your browser.","आपके ब्राउज़र में स्थानीय संग्रहण अक्षम होना प्रतीत होता है।"
"For the best experience on our site, be sure to turn on Local Storage in your browser.","हमारी साइट पर सबसे अच्छे अनुभव के लिए, अपने ब्राउज़र में स्थानीय संग्रहण चालू करना सुनिश्चित करें।"
"This is demo store. No orders will be fulfilled.","यह डेमो स्टोर है। कोई भी आदेश पूरा नहीं होगा।"
"Items %1 to %2 of %3 total","आइटम %3 कुल %1 से %2"
"%1 Item","%1 समान"
"%1 Item(s)","%1 आइटम"
"Page","पृष्ठ"
"Previous","पिछला"
"You're currently reading page","आप वर्तमान में पृष्ठ पढ़ रहे हैं"
"Next","अगला"
"Show","प्रदर्शन"
"per page","प्रति पृष्ठ"
"About the calendar","कैलेंडर के बारे में"
"Close","बंद करें"
"Go Today","आज जाओ"
"WK","WK"
"Time","समय"
"Hour","घंटा"
"Minute","मिनट"
"%name,","%नाम,"
"Welcome to %store_name.","%store_name में आपका स्वागत है।"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","हमारी साइट पर साइन इन करने के लिए, चेकआउट के दौरान या <a href=""%customer_url""> मेरा खाता </a> पृष्ठ पर इन क्रेडेंशियल्स का उपयोग करें:"
"Email:","ईमेल:"
"Password:","पारण शब्द:"
"Password you set when creating account","खाता बनाते समय आपके द्वारा निर्धारित पासवर्ड"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","अपना खाता पासवर्ड भूल गए? इसे रीसेट करने के लिए <a href=""%reset_url""> यहां </a> क्लिक करें।"
"When you sign in to your account, you will be able to:","जब आप अपने खाते में साइन इन करते हैं, तो आप निम्न में सक्षम होंगे:"
"Proceed through checkout faster","तेजी से चेकआउट के माध्यम से आगे बढ़ें"
"Check the status of orders","आदेशों की स्थिति की जाँच करें"
"View past orders","पिछले आदेश देखें"
"Store alternative addresses (for shipping to multiple family members and friends)","वैकल्पिक पते स्टोर करें (कई परिवार के सदस्यों और दोस्तों के लिए शिपिंग के लिए)"
"We could not detect a size.","हम एक आकार का पता नहीं लगा सके।"
"We don't recognize this file extension.","हम इस फ़ाइल एक्सटेंशन को नहीं पहचानते हैं।"
"Home","घर"
"Go to Home Page","होमपेज पर जाये"
"Empty","खाली"
"1 column","1 कॉलम"
"Configuration","विन्यास"
"Default welcome msg!","डिफ़ॉल्ट स्वागत संदेश!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","कॉपीराइट © 2013-वर्तमान Magento, इंक। सभी अधिकार सुरक्षित।"
"Design Config Grid","डिजाइन विन्यास ग्रिड"
"Rebuild design config grid index","डिज़ाइन कॉन्फिग ग्रिड इंडेक्स का पुनर्निर्माण करें"
"Admin empty","खाली प्रशासित करें"
"Admin 1column","व्यवस्थापक 1 कॉलम"
"Theme Information","थीम सूचना"
"Other Settings","अन्य सेटिंग"
"HTML Head","HTML प्रमुख"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","अनुमत फ़ाइल प्रकार: ico, png, gif, jpg, jpeg, apng। सभी ब्राउज़र इन सभी स्वरूपों का समर्थन नहीं करते हैं!"
"Favicon Icon","फ़ेविकॉन आइकन"
"Default Page Title","डिफ़ॉल्ट पृष्ठ शीर्षक"
"Page Title Prefix","पृष्ठ का शीर्षक उपसर्ग"
"Page Title Suffix","पृष्ठ का शीर्षक प्रत्यय"
"Default Meta Description","डिफ़ॉल्ट मेटा विवरण"
"Default Meta Keywords","डिफ़ॉल्ट मेटा कीवर्ड"
"This will be included before head closing tag in page HTML.","यह पृष्ठ HTML में हेड क्लोजिंग टैग से पहले शामिल किया जाएगा।"
"Scripts and Style Sheets","लिपियों और शैली पत्रक"
"Display Demo Store Notice","डेमो स्टोर नोटिस"
"Header","हैडर"
"Allowed file types: png, gif, jpg, jpeg.","अनुमत फ़ाइल प्रकार: png, gif, jpg, jpeg।"
"Logo Image","लोगो छवि"
"Logo Attribute Width","लोगो विशेषता चौड़ाई"
"Logo Attribute Height","लोगो विशेषता ऊंचाई"
"Welcome Text","स्वागत पाठ"
"Logo Image Alt","लोगो छवि Alt"
"Footer","फ़ुटबाल"
"This will be displayed just before the body closing tag.","यह बॉडी क्लोजिंग टैग से ठीक पहले प्रदर्शित किया जाएगा।"
"Miscellaneous HTML","विविध HTML"
"Copyright","कॉपीराइट"
"Default Robots","डिफ़ॉल्ट रोबोट"
"Edit custom instruction of robots.txt File","Robots.txt फ़ाइल का कस्टम निर्देश संपादित करें"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","यह क्रिया आपके कस्टम निर्देशों को हटाएगी और robots.txt फ़ाइल को सिस्टम की डिफ़ॉल्ट सेटिंग्स पर रीसेट करेगी।"
"Reset To Defaults","डिफ़ॉल्ट पर पुनः सेट करें"
"Website","वेबसाइट"
"Store","स्टोर"
"Store View","स्टोर दृश्य"
"Skip to Content","इसे छोड़कर सामग्री पर बढ़ने के लिए"
"Menu","मेन्यू"
"Account","लेखा"
"Settings","समायोजन"
"2 columns with left bar","बाईं पट्टी के साथ 2 कॉलम"
"2 columns with right bar","दाहिने पट्टी के साथ 2 कॉलम"
"3 columns","3 कॉलम"
"Exception does not contain field '%1'","अपवाद में फ़ील्ड '%1' शामिल नहीं है"
"exception","अपवाद"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","अनुमत फ़ाइल प्रकार: ICO, PNG, GIF, JPG, JPEG, APNG, SVG। सभी ब्राउज़र इन सभी स्वरूपों का समर्थन नहीं करते हैं!"
"Default Title","डिफ़ॉल्ट शीर्षक"
"Title Prefix","शीर्षक उपसर्ग"
"Title Suffix","शीर्षक प्रत्यय"
"Default Description","डिफ़ॉल्ट विवरण"
"Default Keywords","डिफ़ॉल्ट कीवर्ड"
"Miscellaneous Scripts","विविध लिपियों"
"Search Engine Robots","खोज इंजन रोबोट"
"Reset to Defaults","डिफ़ॉल्ट पर पुनः सेट करें"
"Logo Image Width","लोगो छवि चौड़ाई"
"Logo Image Height","लोगो छवि ऊंचाई"
"This will be displayed just before body closing tag.","यह बॉडी क्लोजिंग टैग से ठीक पहले प्रदर्शित किया जाएगा।"
"Copyright © 2015 Magento. All rights reserved.","कॉपीराइट © 2015 Magento। सभी अधिकार सुरक्षित।"
"Wrong request.","गलत अनुरोध।"
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","कॉपीराइट © 2013-2017 मैगेंटो, इंक। सभी अधिकार सुरक्षित।"
"Copyright © 2017 Magento, Inc. All rights reserved.","कॉपीराइट © 2017 Magento, Inc. सभी अधिकार सुरक्षित।"
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","अनुमत फ़ाइल प्रकार: ico, png, gif, jpg, jpeg, apng, svg। सभी ब्राउज़र इन सभी स्वरूपों का समर्थन नहीं करते हैं!"
"Allowed file types: png, gif, jpg, jpeg, svg.","अनुमत फ़ाइल प्रकार: png, gif, jpg, jpeg, svg।"
"Copyright © 2016 Magento. All rights reserved.","कॉपीराइट © 2016 Magento। सभी अधिकार सुरक्षित।"
"Display Report Bugs Link","रिपोर्ट कीड़े लिंक प्रदर्शित करें"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","अनुमत फ़ाइल प्रकार: ICO, PNG, GIF, JPG, JPEG, APNG। सभी ब्राउज़र इन सभी स्वरूपों का समर्थन नहीं करते हैं!"
"Page not found.","पृष्ठ नहीं मिला ।"
"The scope or scope ID is invalid. Verify both and try again.","स्कोप या स्कोप आईडी अमान्य है। दोनों को सत्यापित करें और फिर से प्रयास करें।"
"The backend model isn't specified for ""%1"".","बैकएंड मॉडल ""%1"" के लिए निर्दिष्ट नहीं है।"
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","""%templateName"" टेम्प्लेट में एक गलत कॉन्फ़िगरेशन होता है, जिसका संदर्भ स्वयं होता है। संदर्भ निकालें या बदलें, फिर पुनः प्रयास करें।"
"The config can't be saved because it's empty. Complete the config and try again.","खाली होने के कारण कॉन्फ़िगर को सहेजा नहीं जा सकता। कॉन्फ़िगरेशन को पूरा करें और फिर से प्रयास करें।"
"View","राय"
"This is a demo store. No orders will be fulfilled.","यह डेमो स्टोर है। कोई भी आदेश पूरा नहीं होगा।"
"Not all browsers support all these formats!","सभी ब्राउज़र इन सभी स्वरूपों का समर्थन नहीं करते हैं!"
"ID","आईडी"
