"Back","Geri"
"Save and Continue","Kaydet ve Devam et"
"Save Configuration","Yapılandırmayı kaydet"
"%1","%1"
"Default","Varsayılan"
"Themes","Temalar"
"Save and Continue Edit","Kaydet ve Devam Et"
"Are you sure you want to delete this theme?","Bu öğeyi silmek istediğinizden emin misiniz?"
"Theme: %1","Tema: %1"
"New Theme","Yeni Tema"
"Theme CSS","Tema CSS"
"Theme CSS Assets","Tema CSS varlıkları"
"Custom CSS","Özel CSS"
"Select CSS File to Upload","Yüklenecek CSS dosyası seçin"
"Upload CSS File","CSS dosyası yükleme"
"Download CSS File","CSS dosyası indir"
"Manage","Yönet"
"Upload Images","Resim yükle"
"Images Assets","Görüntü varlıkları"
"Upload Fonts","Yazı tipleri yükleme"
"Fonts Assets","Yazı tipleri varlıkları"
"Edit custom.css","Custom.css Düzenle"
"Allowed file types *.css.","İzin verilen dosya türleri *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Bu dosya geçerli custom.css dosyasının yerini alacak ve 2 MB'den fazla olamaz."
"Max file size to upload %1M","%1M yüklemek için en büyük dosya boyutu"
"Something is wrong with the file upload settings.","Karşıya dosya yükleme ayarları ile ilgili bir hata oluştu."
"CSS Editor","CSS editörü"
"Theme Settings","Tema ayarları"
"Parent Theme","Ana Tema"
"Theme Path","Tema yolu"
"Theme Title","Tema adı"
"Theme Preview Image","Tema önizleme görüntüsü"
"General","Genel"
"Copy of %1","%1 kopyası"
"Max image size %1M","Max görüntü boyutu %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Yüklenecek JS dosyalarını seçin"
"Upload JS Files","JS dosyalarını yükle"
"JS Editor","JS editörü"
"Allowed file types *.js.","İzin verilen dosya türleri *.js."
"Theme","Tema"
"Media Storage","Medya Deposu"
"Create Folder","Klasör Oluştur"
"Delete Folder","Klasör Sil"
"Delete File","Dosya Sil"
"Insert File","Dosya Ekle"
"New Folder Name:","Yeni Klasör Adı:"
"Are you sure you want to delete this folder?","Bu klasörü silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this file?","Bu dosyayı silmek istediğinizden emin misiniz?"
"Storage Root","Depolama Kök Dizini"
"welcome","Hoş geldiniz"
"Global","Genel"
"Design Configuration","Tasarım yapılandırma"
"You saved the configuration.","Yapılandırma kaydedildi."
"Something went wrong while saving this configuration:","Bu yapılandırma kaydedilirken bir hata oluştu:"
"You deleted the theme.","Tema silindi."
