"Back","પાછા"
"Save and Continue","સાચવો અને ચાલુ રાખો"
"Save Configuration","રૂપરેખાંકન સાચવો"
"%1","%1"
"Default","ડિફૉલ્ટ"
"Themes","થીમ્સ"
"Save and Continue Edit","સાચવો અને સંપાદન ચાલુ રાખો"
"Are you sure you want to delete this theme?","શું તમે ખરેખર આ થીમને કાઢી નાખવા માંગો છો?"
"Theme: %1","થીમ:%1"
"New Theme","નવી થીમ"
"Theme CSS","થીમ સીએસએસ"
"Theme CSS Assets","થીમ સીએસએસ એસેટ્સ"
"Custom CSS","કસ્ટમ CSS"
"Select CSS File to Upload","અપલોડ કરવા માટે સીએસએસ ફાઇલ પસંદ કરો"
"Upload CSS File","અપલોડ કરો સીએસએસ ફાઇલ"
"Download CSS File","સીએસએસ ફાઇલ ડાઉનલોડ કરો"
"Manage","મેનેજ કરો"
"Upload Images","છબીઓ અપલોડ કરો"
"Images Assets","છબીઓ અસ્કયામતો"
"Upload Fonts","ફોન્ટ અપલોડ કરો"
"Fonts Assets","ફોન્ટ અસ્કયામતો"
"Edit custom.css","વૈવિધ્યપૂર્ણ.css સંપાદિત કરો"
"Allowed file types *.css.","મંજૂર ફાઇલ પ્રકાર *. CSS."
"This file will replace the current custom.css file and can't be more than 2 MB.","આ ફાઇલ વર્તમાન custom.css ફાઇલને બદલશે અને 2 MB કરતાં વધુ હોઈ શકશે નહીં."
"Max file size to upload %1M","મહત્તમ ફાઇલ કદ%1M અપલોડ કરવા"
"Something is wrong with the file upload settings.","ફાઇલ અપલોડ સેટિંગ્સમાં કંઈક ખોટું છે."
"CSS Editor","સીએસએસ સંપાદક"
"Theme Settings","થીમ સેટિંગ્સ"
"Parent Theme","પિતૃ થીમ"
"Theme Path","થીમ પાથ"
"Theme Title","થીમ શીર્ષક"
"Theme Preview Image","થીમ પૂર્વદર્શન છબી"
"General","જનરલ"
"Copy of %1","%1 ની કૉપિ"
"Max image size %1M","મહત્તમ છબી કદ%1M"
"Theme JavaScript","થીમ જાવાસ્ક્રિપ્ટ"
"Select JS Files to Upload","અપલોડ કરવા માટે જેએસ ફાઇલો પસંદ કરો"
"Upload JS Files","જેએસ ફાઇલો અપલોડ કરો"
"JS Editor","જેએસ એડિટર"
"Allowed file types *.js.","મંજૂર ફાઇલ પ્રકાર * .js."
"Theme","થીમ"
"Media Storage","મીડિયા સ્ટોરેજ"
"Create Folder","ફોલ્ડર બનાવો"
"Delete Folder","ફોલ્ડર કાઢી નાખો"
"Delete File","ફાઇલ કાઢી નાખો"
"Insert File","ફાઇલ શામેલ કરો"
"New Folder Name:","નવું ફોલ્ડર નામ:"
"Are you sure you want to delete this folder?","શું તમે ખરેખર આ ફોલ્ડરને કાઢી નાખવા માંગો છો?"
"Are you sure you want to delete this file?","શું તમે ખરેખર આ ફાઇલને કાઢી નાખવા માંગો છો?"
"Storage Root","સંગ્રહ રુટ"
"welcome","સ્વાગત છે"
"Global","વૈશ્વિક"
"Design Configuration","ડિઝાઇન રૂપરેખાંકન"
"You saved the configuration.","તમે ગોઠવણી સાચવી."
"Something went wrong while saving this configuration:","આ ગોઠવણી સાચવતી વખતે કંઈક ખોટું થયું:"
"You deleted the theme.","તમે થીમ કાઢી નાખી."
"We cannot delete the theme.","અમે થીમ કાઢી નાખી શકતા નથી."
"File not found: ""%1"".","ફાઇલ મળી નથી: ""%1""."
"We can't find file.","અમે ફાઇલ શોધી શકતા નથી."
"We cannot find theme ""%1"".","અમે થીમ ""%1"" શોધી શકતા નથી."
"We cannot find the theme.","અમે થીમ શોધી શકતા નથી."
"This theme is not editable.","આ થીમ સંપાદનયોગ્ય નથી."
"You saved the theme.","તમે થીમ સાચવી."
"We can't upload the CSS file right now.","અમે હમણાં જ સીએસએસ ફાઇલ અપલોડ કરી શકતા નથી."
"We cannot find a theme with id ""%1"".","અમે id ""%1"" સાથે કોઈ થીમ શોધી શકતા નથી."
"We can't upload the JS file right now.","અમે હાલમાં જેએસ ફાઇલ અપલોડ કરી શકતા નથી."
"Sorry, something went wrong. That's all we know.","માફ કરશો, કંઈક ખોટું થયું હતું. આ બધું આપણે જાણીએ છીએ."
"Invalid type","અમાન્ય પ્રકાર"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 માં '%2' ફીલ્ડ શામેલ નથી"
"Invalid regular expression: ""%1"".","અમાન્ય નિયમિત અભિવ્યક્તિ: ""%1""."
"%1 does not contain field 'file'","%1 માં 'ફાઈલ' શામેલ નથી"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","લેબલ"
"-- Please Select --","-- મહેરબાની કરી, પસંદ કરો --"
"The start date can't follow the end date.","પ્રારંભ તારીખ સમાપ્તિ તારીખને અનુસરતી નથી."
"The date range for this design change overlaps another design change for the specified store.","આ ડિઝાઇન માટેની તારીખ શ્રેણી બદલાયેલ સ્ટોર માટેના અન્ય ડિઝાઇન ફેરફારોને ઓવરલેપ કરે છે."
"Copy","કૉપિ કરો"
"Theme id should be set","થીમ આઈડી સેટ થવી જોઈએ"
"Circular-reference in theme inheritance detected for ""%1""","""%1"" માટે થીમ વારસોમાં પરિપત્ર સંદર્ભ"
"The CSS file must be less than %1M.","CSS ફાઇલ%1M કરતા ઓછી હોવી આવશ્યક છે."
"The JS file must be less than %1M.","જેએસ ફાઇલ%1 એમ કરતા ઓછી હોવી આવશ્યક છે."
"We can't upload the file right now.","અમે અત્યારે ફાઇલ અપલોડ કરી શકતા નથી."
"Use only standard alphanumeric, dashes and underscores.","ફક્ત માનક આલ્ફાન્યુમેરિક, ડૅશ અને અંડરસ્કોર્સનો ઉપયોગ કરો."
"We found a directory with the same name.","અમને સમાન નામવાળી ડિરેક્ટરી મળી."
"We cannot find a directory with this name.","અમે આ નામ સાથે ડિરેક્ટરી શોધી શકતા નથી."
"We can't delete root directory %1 right now.","અમે અત્યારે રૂટ ડાયરેક્ટરી%1 ને કાઢી શકતા નથી."
"Theme isn't deletable.","થીમ કાઢી નાખવા યોગ્ય નથી."
"Exception message","અપવાદ સંદેશ"
"localized exception","સ્થાનિક અપવાદ"
"Message","સંદેશ"
"Test Label","ટેસ્ટ લેબલ"
"Phrase","શબ્દસમૂહ"
"testMessage","ટેસ્ટમેસેજ"
"Edit","ફેરફાર કરો"
"We found no files.","અમને કોઈ ફાઇલો મળી નથી."
"Browse Files","ફાઇલો બ્રાઉઝ કરો"
"Scope:","અવકાશ"
"Remove","દૂર કરો"
"Help Us Keep Magento Healthy","અમને Magento સ્વસ્થ રાખો સહાય કરો"
"Report All Bugs","બધી બગ્સની જાણ કરો"
"Welcome, %1!","સ્વાગત છે,%1!"
"Toggle Nav","એનએવી ટૉગલ કરો"
"JavaScript seems to be disabled in your browser.","જાવાસ્ક્રિપ્ટ તમારા બ્રાઉઝરમાં અક્ષમ હોવાનું જણાય છે."
"For the best experience on our site, be sure to turn on Javascript in your browser.","અમારી સાઇટ પરના શ્રેષ્ઠ અનુભવ માટે, તમારા બ્રાઉઝરમાં જાવાસ્ક્રિપ્ટ ચાલુ કરવાની ખાતરી કરો."
