"Back","Tilbake"
"Save and Continue","Lagre og fortsett"
"Save Configuration","Lagre konfigurasjon"
"%1","%1"
"Default","Standard"
"Themes","Temaer"
"Save and Continue Edit","Lagre og fortsett redigering"
"Are you sure you want to delete this theme?","Er du sikker på at du vil slette dette temaet?"
"Theme: %1","Tema: %1"
"New Theme","Nytt tema"
"Theme CSS","Tema CSS"
"Theme CSS Assets","Tema CSS eiendeler"
"Custom CSS","Egendefinert CSS"
"Select CSS File to Upload","Velg CSS-fil til laste opp"
"Upload CSS File","Last opp CSS-fil"
"Download CSS File","Last ned CSS-filen"
"Manage","Administrere"
"Upload Images","Last opp bilder"
"Images Assets","Bilder eiendeler"
"Upload Fonts","Laste opp skrifter"
"Fonts Assets","Skrifter eiendeler"
"Edit custom.css","Redigere custom.css"
"Allowed file types *.css.","Tillatte file typer *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Maks filstørrelse å laste opp %1M"
"Something is wrong with the file upload settings.","Noe er galt med filen laste innstillingene."
"CSS Editor","CSS Editor"
"Theme Settings","Temainnstillinger"
"Parent Theme","Overordnet tema"
"Theme Path","Tema Sti"
"Theme Title","Tema Tittel"
"Theme Preview Image","Tema Forhåndsvis Bilde"
"General","Generelt"
"Copy of %1","Kopi av %1"
"Max image size %1M","Max bilde størrelse %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Velg JS filer å laste opp"
"Upload JS Files","Last opp JS Filer"
"JS Editor","JS Editor"
"Allowed file types *.js.","Tillatte filtyper *.js."
"Theme","Tema"
"Media Storage","Lagringsmedier"
"Create Folder","Opprett mappe"
"Delete Folder","Slett mappe"
"Delete File","Slett fil"
"Insert File","Sett inn fil"
"New Folder Name:","Nytt mappenavn:"
"Are you sure you want to delete this folder?","Er du sikker på at du vil slette denne mappen?"
"Are you sure you want to delete this file?","Er du sikker på at du vil slette denne filen?"
"Storage Root","Storage Root"
"welcome","velkommen"
"Global","Global"
"Design Configuration","Design Konfigurasjon"
"You saved the configuration.","Du lagret konfigurasjonen."
"Something went wrong while saving this configuration:","Noe gikk galt under lagringen av denne konfigurasjonen:"
"You deleted the theme.","Du slettet temaet."
"We cannot delete the theme.","Vi kan ikke fjerne dette temaet."
"File not found: ""%1"".","Filen ikke funnet: ""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","Vi kan ikke finne temaet ""%1""."
"We cannot find the theme.","Vi kan ikke finne temaet."
"This theme is not editable.","Dette temaet er ikke redigerbart."
"You saved the theme.","Du lagret temaet."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We cannot find a theme with id ""%1"".","Vi kan ikke finne temaet med id ""%1""."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Ugyldig type"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
