"Back","Kembali"
"Save and Continue","Simpan dan Lanjutkan"
"Save Configuration","Simpan Konfigurasi"
"%1","% 1"
"Default","Bawaan"
"Themes","Tema"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Are you sure you want to delete this theme?","Yakin ingin menghapus tema ini?"
"Theme: %1","Tema: %1"
"New Theme","Tema baru"
"Theme CSS","Tema CSS"
"Theme CSS Assets","Aset Tema CSS"
"Custom CSS","Custom CSS"
"Select CSS File to Upload","Pilih Berkas CSS untuk Diunggah"
"Upload CSS File","Unggah Berkas CSS"
"Download CSS File","Mengunduh Berkas CSS"
"Manage","Kelola"
"Upload Images","Unggah gambar"
"Images Assets","Gambar Aset"
"Upload Fonts","Unggah font"
"Fonts Assets","Aset Font"
"Edit custom.css","Sunting custom.css"
"Allowed file types *.css.","Jenis file yang diizinkan *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","File ini akan menggantikan file custom.css saat ini dan tidak boleh lebih dari 2 MB."
"Max file size to upload %1M","Ukuran file maks untuk mengunggah %1M"
"Something is wrong with the file upload settings.","Ada yang salah dengan pengaturan upload file."
"CSS Editor","Editor CSS"
"Theme Settings","Pengaturan tema"
"Parent Theme","Tema Orangtua"
"Theme Path","Jalur Tema"
"Theme Title","Judul tema"
"Theme Preview Image","Gambar Pratinjau Tema"
"General","Umum"
"Copy of %1","Salinan %1"
"Max image size %1M","Ukuran gambar maks %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Pilih File JS untuk Upload"
"Upload JS Files","Unggah Berkas JS"
"JS Editor","Editor JS"
"Allowed file types *.js.","Jenis file yang diizinkan *.js."
"Theme","Tema"
"Media Storage","Penyimpanan media"
"Create Folder","Buat Folder"
"Delete Folder","Hapus Folder"
"Delete File","Hapus File"
"Insert File","Sisipkan File"
"New Folder Name:","Nama Folder Baru:"
"Are you sure you want to delete this folder?","Anda yakin ingin menghapus folder ini?"
"Are you sure you want to delete this file?","Yakin ingin menghapus file ini?"
"Storage Root","Penyimpanan root"
"welcome","selamat datang"
"Global","Global"
"Design Configuration","Konfigurasi desain"
"You saved the configuration.","Anda menyimpan konfigurasi."
"Something went wrong while saving this configuration:","Ada yang tidak beres saat menyimpan konfigurasi ini:"
"You deleted the theme.","Anda menghapus tema."
"We cannot delete the theme.","Kami tidak dapat menghapus tema."
"File not found: ""%1"".","File tidak ditemukan: ""%1""."
"We can't find file.","Kami tidak dapat menemukan file."
"We cannot find theme ""%1"".","Kami tidak dapat menemukan tema ""%1""."
"We cannot find the theme.","Kami tidak dapat menemukan temanya."
"This theme is not editable.","Tema ini tidak bisa diedit."
"You saved the theme.","Anda menyimpan tema."
"We can't upload the CSS file right now.","Kami tidak dapat mengunggah file CSS sekarang."
"We cannot find a theme with id ""%1"".","Kami tidak dapat menemukan tema dengan id ""%1""."
"We can't upload the JS file right now.","Kami tidak dapat mengunggah file JS sekarang juga."
"Sorry, something went wrong. That's all we know.","Maaf, ada yang tidak beres. Hanya itu yang kita tahu."
"Invalid type","Tipe tidak valid"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 tidak berisi bidang '%2'"
"Invalid regular expression: ""%1"".","Ekspresi reguler tidak valid: ""%1""."
"%1 does not contain field 'file'","%1 tidak berisi 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","label"
"-- Please Select --","-- Silahkan pilih --"
"The start date can't follow the end date.","Tanggal mulai tidak bisa mengikuti tanggal akhir."
"The date range for this design change overlaps another design change for the specified store.","Rentang tanggal untuk perubahan desain ini tumpang tindih dengan perubahan desain lain untuk toko yang ditentukan."
