"Cart Price Rules","Cenová pravidla košíku"
"Add New Rule","Přidat nové pravidlo"
"Delete","Smazat"
"Are you sure you want to delete this?","Skutečně chcete toto odstranit?"
"Reset","Obnovit"
"Save and Continue Edit","Použít"
"Save","Uložit"
"Actions","Akce"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Použít pravidlo pouze na položky v košíku odpovídající následujícím podmínkám (na všechny položky nechte prázdné)"
"Apply To","Platí pro"
"Conditions","Podmínky"
"Apply the rule only if the following conditions are met (leave blank for all products).","Nastavení podmínek (pro platnost na všechny produkty filtr nenastavujte)."
"Manage Coupon Codes","Správa kódů kupónu"
"Coupon Qty","Počet kupónů"
"Code Length","Délka kódu"
"Excluding prefix, suffix and separators.","Bez předpony, přípony a oddělovacích znaků."
"Code Format","Formát kódu"
"Code Prefix","Předpona kódu"
"Code Suffix","Přípona kódu"
"Dash Every X Characters","Vynechat každý X znak"
"If empty no separation.","Pro nerozdělený kód nechte údaj prázdný."
"Generate","Vytvořit"
"Coupon Code","Slevový kód"
"Created","Vytvořeno"
"Uses","Uses"
"No","Ne"
"Yes","Ano"
"Times Used","Kolikrát použito"
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete the selected coupon(s)?","Skutečně chcete zvolené kupóny odstranit?"
"Labels","Označení"
"Store View Specific Labels","Specifická označení zobrazení obchodu"
"ID","ID"
"Rule","Pravidlo"
"Start","Od data"
"End","Do data"
"Status","Stav"
"%1 - Discounts and Coupons","%1 - slevy a kupóny"
"Coupons/Discounts","Kupóny/slevy"
"Promotions","Pravidla"
"You deleted the rule.","Pravidlo bylo odstraněno."
"We can't delete the rule right now. Please review the log and try again.","Pravidlo nelze odstranit. Zkontrolujte protokol a zkuste to znovu."
"We can't find a rule to delete.","Pravidlo k odstranění nelze najít."
"This rule no longer exists.","Toto pravidlo již neexistuje."
"Edit Rule","Upravit pravidlo"
"New Rule","Nové pravidlo"
"New Cart Price Rule","Nové cenové pravidlo košíku"
"Rule is not defined","Pravidlo není definováno"
"%1 coupon(s) have been generated.","Bylo vygenerováno %1 kupónů."
"Invalid data provided","Neplatná data k dispozici"
"Something went wrong while generating coupons. Please review the log and try again.","Při generování kupónů nastala chyba. Zkontrolujte protokol a zkuste to znovu."
"Catalog","Katalog"
"The wrong rule is specified.","Špatně zadané pravidlo."
"You saved the rule.","Pravidlo bylo uloženo."
"Something went wrong while saving the rule data. Please review the error log.","Při ukládání pravidla nastala chyba. Podrobnosti naleznete v protokolu chyb."
"Alphanumeric","Alfanumericky"
"Alphabetical","Abecedně"
"Numeric","Numericky"
"We cannot create the requested Coupon Qty. Please check your settings and try again.","Požadované množství kupónů nelze vytvořit. Zkontrolujte nastavení a zkuste to znovu."
"Specified rule does not allow coupons","Zadané pravidlo neumožňuje použití kupónů"
"Specified rule only allows auto generated coupons","Zadané pravidlo umožňuje použití pouze autogenerovaných kupónů"
"Specified rule does not allow auto generated coupons","Zadané pravidlo neumožňuje použití autogenerovaných kupónů"
"Error occurred when saving coupon: %1","Nastala chyba při ukládání kupónu: %1"
"Discount (%1)","Sleva (%1)"
"Discount","Sleva"
"Coupon with the same code","Kupón se stejným kódem"
"No Coupon","Žádný kupón"
"Specific Coupon","Určitý kupón"
"Auto","Automaticky"
"Can't acquire coupon.","Kupón nelze získat."
"Update the Product","Upravit produkt"
"Special Price","Akční cena"
"To Fixed Value","Nastavit na pevnou hodnotu"
"To Percentage","Nastavit na procentuální hodnotu"
"By Fixed value","Snížit o pevnou hodnotu"
"By Percentage","Snížit o procentuální hodnotu"
"Update product's %1 %2: %3","Aktualizace produktu %1 %2: %3"
"Subtotal","Mezisoučet"
"Total Items Quantity","Celkové množství položek"
"Total Weight","Celková hmotnost"
"Shipping Method","Způsob dopravy"
"Shipping Postcode","PSČ doručení"
"Shipping Region","Region doručení"
"Shipping State/Province","Kraj / region doručení"
"Shipping Country","Země doručení"
"Product attribute combination","Kombinace atributů produktu"
"Products subselection","Cílený výběr produktů"
"Conditions combination","Kombinace podmínek"
"Cart Attribute","Atributy košíku"
"Quantity in cart","Množství v košíku"
"Price in cart","Cena v košíku"
"Row total in cart","Celkem za položku v košíku"
"Conditions Combination","Kombinace podmínek"
"Cart Item Attribute","Atribut položky v košíku"
"Product Attribute","Atribut produktu"
"FOUND","NALEZENÝ"
"NOT FOUND","NENALEZENÝ"
"If an item is %1 in the cart with %2 of these conditions true:","Pokud v košíku %1 produkt splňuje %2 z těchto podmínek:"
"total quantity","Celkové množství"
"total amount","Celková částka"
"is","je"
"is not","není"
"equals or greater than","je rovno nebo větší než"
"equals or less than","je rovno nebo menší než"
"greater than","je větší než"
"less than","je menší než"
"is one of","je jedním z"
"is not one of","není jedním z"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Pokud košík obsahuje produkty o %1, které %2 %3 for a splňují %4 z těchto podmínek:"
"Percent of product price discount","Snížit o procentuální hodnotu cenu produktů"
"Fixed amount discount","Snížit o pevnou hodnotu cenu produktů"
"Fixed amount discount for whole cart","Snížit o pevnou hodnotu součet celého košíku"
"Buy X get Y free (discount amount is Y)","Za každých X kusů je Y kusů zdarma"
"Active","Aktivní"
"Inactive","Neaktivní"
"Specified rule does not allow automatic coupon generation","Zadané pravidlo neumožňuje automatické generování kupónů"
"Error occurred when generating coupons: %1","Nastala chyba při generování kupónů: %1"
"Some coupons are invalid.","Některé kupóny jsou neplatné."
"Item totals are not set for the rule.","Součty za položku nejsou pro pravidlo nastaveny."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","Cenové pravidlo košíku %1 závislé na atributu ""%2"" bylo zakázáno."
"Apply Discount Code","Použít slevový kód"
"Enter discount code","Zadejte kód"
"Apply Discount","Použít"
"Cancel coupon","Zrušit slevový kód"
"Your coupon was successfully removed.","Slevový kód byl odebrán."
"Your coupon was successfully applied.","Slevový kód byl použit."
"Promotion","Cenová pravidla"
"Auto Generated Specific Coupon Codes","Automaticky generované kódy kupónu"
"Web Site","Web"
"Priority","Priorita"
"Cart Price Rule","Cenové pravidlo košíku"
"Back","Zpět"
"Currently Active","Currently Active"
"Rule Information","Nastavení pravidla"
"Rule Name","Název pravidla"
"Description","Popis"
"Websites","Weby"
"Customer Groups","Skupiny zákazníků"
"Coupon","Kupón"
"
                    If you select and save the rule you will be able to generate multiple coupon codes.
                ","
                    If you select and save the rule you will be able to generate multiple coupon codes.
                "
"Use Auto Generation","Použít automatické generování"
"Uses per Coupon","Počet použití na kupón"
"
                    Usage limit enforced for logged in customers only.
                ","
                    Usage limit enforced for logged in customers only.
                "
"Uses per Customer","Počet použití na zákazníka"
"From","Od"
"To","Pro"
"Public In RSS Feed","Zveřejnit v RSS zdroji"
"Apply","Použít"
"Discount Amount","Výše slevy"
"Maximum Qty Discount is Applied To","Maximální počet slev je použit na"
"Discount Qty Step (Buy X)","Krok počtu slev (Kup X)"
"Discount amount is applied to subtotal only","Sleva je aplikována pouze na mezisoučet"
"Discount amount is applied to subtotal and shipping amount separately","Sleva je aplikována na mezisoučet a dopravné zvlášť"
"Apply to Shipping Amount","Použít na přepravné"
"Discard subsequent rules","Zrušit následná pravidla"
"Default Rule Label for All Store Views","Výchozí označení pravidla ve všech zobrazení obchodu"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Coupons Information","Coupons Information"
"Default Label","Default Label"
"General Information","General Information"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Payment Method","Payment Method"
"Your coupon was successfully removed","Your coupon was successfully removed"
"Your coupon was successfully applied","Your coupon was successfully applied"
"
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    ","
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    "
"
                        Usage limit enforced for logged in customers only.
                    ","
                        Usage limit enforced for logged in customers only.
                    "
"Category (Parent only)","Category (Parent only)"
"Category (Children Only)","Category (Children Only)"
"(Parent Only)","(Parent Only)"
"(Children Only)","(Children Only)"
"Message is added to queue, wait to get your coupons soon","Message is added to queue, wait to get your coupons soon"
"Your coupons are ready","Your coupons are ready"
"You can check your coupons at sales rule page","You can check your coupons at sales rule page"
"Error during coupons generator process occurred","Error during coupons generator process occurred"
"Error during coupons generator process occurred. Please check logs for detail","Error during coupons generator process occurred. Please check logs for detail"
