"Cart Price Rules","Sepet fiyat kuralları"
"Add New Rule","Yeni Kural Ekle"
"Delete","Sil"
"Are you sure you want to delete this?","Bunu silmek istediğinizden emin misiniz?"
"Reset","Sıfırla"
"Save and Continue Edit","Kaydet ve Devam Et"
"Save","Kaydet"
"Actions","İşlemler"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Kuralı sadece aşağıdaki koşullarla eşleşen sepet öğelerine uygulayın (tüm öğeler için boş bırakın)."
"Apply To","Uygula"
"Conditions","Koşullar"
"Apply the rule only if the following conditions are met (leave blank for all products).","Kuralı yalnızca aşağıdaki koşullar yerine getirildiğinde uygulayın (tüm ürünler için boş bırakın)."
"Manage Coupon Codes","Kupon Kodlarını Yönet"
"Coupon Qty","Kupon Adedi"
"Code Length","Kod Uzunluğu"
"Excluding prefix, suffix and separators.","Önek, sonek ve ayraçlar hariç."
"Code Format","Kod Biçimi"
"Code Prefix","Kod Öneki"
"Code Suffix","Kod Soneki"
"Dash Every X Characters","Her X Karakterde bir tire (-) kullan"
"If empty no separation.","Boş bırakırsanız ayraç kullanılmaz."
"Generate","Üret"
"Coupon Code","Kupon Kodu"
"Created","Oluşturuldu"
"Uses","Uses"
"No","Hayır"
"Yes","Evet"
"Times Used","Kullanım Sayısı"
"CSV","Csv"
"Excel XML","Excel XML"
"Are you sure you want to delete the selected coupon(s)?","Seçilen kupon(ları) silmek istediğinizden emin misiniz?"
"Labels","Etiketler"
"Store View Specific Labels","Mağaza Görünümüne Özel Etiketler"
"ID","No"
"Rule","Kural"
"Start","Başla"
"End","Bitir"
"Status","Durum"
"%1 - Discounts and Coupons","%1 - İndirimler ve Kuponlar"
"Coupons/Discounts","Kuponlar/İndirimler"
"Promotions","Promosyonlar"
"You deleted the rule.","Kuralı sildiniz."
"We can't delete the rule right now. Please review the log and try again.","Şu anda kuralı silemiyoruz. Lütfen günlüğü gözden geçirin ve tekrar deneyin."
"We can't find a rule to delete.","Silinecek bir bir kural bulamıyoruz."
"This rule no longer exists.","Vergi kuralı bulunamıyor."
"Edit Rule","Kuralı Düzenle"
"New Rule","Yeni Kural"
"New Cart Price Rule","Yeni Sepet Fiyatı Kuralı"
"Rule is not defined","Kural ayarlanmadı"
"%1 coupon(s) have been generated.","%1 kupon oluşturuldu."
"Invalid data provided","Geçersiz veri sağlandı"
"Something went wrong while generating coupons. Please review the log and try again.","Afiş verilerinin silinmesi sırasında bir hata oluştu. Lütfen işlem günlüğünü gözden geçirin ve yeniden deneyin."
"Catalog","Katalog"
"The wrong rule is specified.","Yanlış mağaza belirtildi."
"You saved the rule.","Kural kaydedildi."
"Something went wrong while saving the rule data. Please review the error log.","Kaydederken bir şeyler ters gitti. Lütfen hata günlüğünü gözden geçirin."
"Alphanumeric","Alfasayısal"
"Alphabetical","Alfabetik"
"Numeric","Sayısal"
"We cannot create the requested Coupon Qty. Please check your settings and try again.","İstenen Kupon Miktarını oluşturamayız. Lütfen ayarlarınızı kontrol edin ve tekrar deneyin."
"Specified rule does not allow coupons","Belirtilen kural kuponlara izin vermiyor"
"Specified rule only allows auto generated coupons","Belirtilen kural yalnızca otomatik oluşturulmuş kuponlara izin verir"
"Specified rule does not allow auto generated coupons","Belirtilen kural otomatik olarak oluşturulmuş kuponlara izin vermiyor"
"Error occurred when saving coupon: %1","Kupon kaydedilirken hata oluştu: %1"
"Discount (%1)","İndirim (%1)"
"Discount","İndirim"
"Coupon with the same code","Aynı kod ile kupon"
"No Coupon","Kupon Yok"
"Specific Coupon","Özel Kupon"
"Auto","Otomatik"
"Can't acquire coupon.","Kupon elde edilemiyor."
"Update the Product","Ürünü Güncelle"
"Special Price","Özel Fiyat"
"To Fixed Value","Sabit Değere"
"To Percentage","Yüzde için"
"By Fixed value","Sabit değer ile"
"By Percentage","Yüzdeyle"
"Update product's %1 %2: %3","Ürünleri güncelleme %1%2: %3"
"Subtotal","Ara Toplam"
"Total Items Quantity","Toplam Ürün Miktarı"
"Total Weight","Toplam Ağırlık"
"Shipping Method","Teslimat Yöntemi"
"Shipping Postcode","Kargo Posta Kodu"
"Shipping Region","Kargo Bölgesi"
"Shipping State/Province","Kargo Eyalet/Şehir"
"Shipping Country","Kargo Ülkesi"
"Product attribute combination","Ürün özellik kombinasyonu"
"Products subselection","Ürün altseçimi"
"Conditions combination","Koşullar listesi"
"Cart Attribute","Sepet Özelliği"
"Quantity in cart","Sepetteki adet"
"Price in cart","Sepetteki Ücret"
"Row total in cart","Sepetteki satır toplamı"
"Conditions Combination","Koşullar listesi"
"Cart Item Attribute","Sepetteki ürün özelliği"
"Product Attribute","Ürün Özellikleri"
"FOUND","BULUNDU"
"NOT FOUND","BULUNAMADI"
"If an item is %1 in the cart with %2 of these conditions true:","Bir öğe, bu koşulların%2'sine sahip olan alışveriş sepetinde%1 ise doğrudur:"
"total quantity","toplam adet"
"total amount","Toplam Tutar"
"is"," "
"is not"," (değildir) "
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"greater than","daha büyük"
"less than","daha küçük"
"is one of","bunlardan biri"
"is not one of","bunlardan biri değil"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Bu koşulların%4'ü ile eşleşen öğelerin alt seçimi için%1%2%3 varsa:"
"Percent of product price discount","Ürün fiyat indirim yüzdesi"
"Fixed amount discount","Sabit tutarlı indirim"
"Fixed amount discount for whole cart","Siparişin tamamına sabit tutarlı indirim"
"Buy X get Y free (discount amount is Y)","X 'i alırsanız Y hediye (indirim tutarı Y 'nin fiyatıdır)"
"Active","Aktif"
"Inactive","Pasif"
"Specified rule does not allow automatic coupon generation","Belirtilen kural otomatik kupon oluşturulmasına izin vermiyor"
"Error occurred when generating coupons: %1","Kupon oluştururken hata oluştu:%1"
"Some coupons are invalid.","Bazı kuponlar geçersiz."
"Item totals are not set for the rule.","Kural için madde toplamları ayarlanmadı."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Sepet Fiyat Kuralları ""%2"" özelliğine dayanılarak devre dışı bırakıldı."
"Apply Discount Code","İndirim kodu kullanın"
"Enter discount code","Indirim kodunu gir"
"Apply Discount","İndirim uygulayın"
"Cancel coupon","Kuponu iptal et"
"Your coupon was successfully removed.","Kupon başarıyla kaldırıldı."
"Your coupon was successfully applied.","Kuponunuz başarıyla uygulandı."
"Promotion","Promosyon"
