"Cart Price Rules","Κανόνες Τιμών Καλαθιού"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"Delete","Διαγραφή"
"Are you sure you want to delete this?","Είστε βέβαιοι ότι θέλετε να το διαγράψετε αυτό;"
"Reset","Επαναφορά"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Save","Αποθήκευση"
"Actions","Ενέργειες"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Εφαρμόστε τον κανόνα μόνο στα αντικείμενα καλαθιού που ταιριάζουν με τις ακόλουθες συνθήκες (αφήστε κενό για όλα τα στοιχεία)."
"Apply To","Εφαρμογή Σε"
"Conditions","Συνθήκες"
"Apply the rule only if the following conditions are met (leave blank for all products).","Να εφαρμόσετε τον κανόνα μόνο εάν πληρούνται οι ακόλουθες προϋποθέσεις (αφήστε κενό για όλα τα προϊόντα)."
"Manage Coupon Codes","Διαχείριση Κωδικών Κουπονιών"
"Coupon Qty","Ποσ. Κουπονιού"
"Code Length","Μήκος Κωδικού"
"Excluding prefix, suffix and separators.","Εκτός από πρόθεμα, κατάληξη και διαχωριστικά."
"Code Format","Μορφή κωδικού"
"Code Prefix","Πρόθεμα κωδικού"
"Code Suffix","Επίθεμα κωδικού"
"Dash Every X Characters","Παύλα Κάθε X Χαρακτήρες"
"If empty no separation.","Αν είναι κενό χωρίς διαχωριστικό."
"Generate","Δημιουργία"
"Coupon Code","Κωδικός Κουπονιού"
"Created","Δημιουργήθηκε"
"Uses","Χρησιμοποιεί"
"No","Όχι"
"Yes","Ναί"
"Times Used","Φορές χρησιμοποιούνται"
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete the selected coupon(s)?","Είστε βέβαιοι ότι θέλετε να διαγράψετε το(α) επιλεγμένο(α) κουπόνι(α);"
"Labels","Ετικέτες"
"Store View Specific Labels","Προβολή Καταστήματος Ειδικές Ετικέτες"
"ID","ID"
"Rule","Κανόνας"
"Start","Έναρξη"
"End","Τέλος"
"Status","Κατάσταση"
"%1 - Discounts and Coupons","%1 - Εκπτώσεις και Κουπόνια"
"Coupons/Discounts","Κουπόνια/Εκπτώσεις"
"Promotions","Προωθητικές ενέργειες"
"You deleted the rule.","Διαγράψατε τον κανόνα."
"We can't delete the rule right now. Please review the log and try again.","Αυτή τη στιγμή δεν μπορεί να διαγραφεί ο κανόνας. Διαβάστε το αρχείο καταγραφών και προσπαθήστε ξανά."
"We can't find a rule to delete.","Δεν βρέθηκε κανόνας για διαγραφή."
"This rule no longer exists.","Ο κανόνας αυτός δεν υπάρχει πια."
"Edit Rule","Επεξεργασία Ρόλου"
"New Rule","Νέος Κανόνας"
"New Cart Price Rule","Νέος Κανόνας Τιμών Καλαθιού"
"Rule is not defined","Ο Κανόνας δεν έχει οριστεί"
"%1 coupon(s) have been generated.","%1 κουπόνι(α) έχει δημιουργηθεί."
"Invalid data provided","Μη έγκυρα δεδομένα παρέχονται"
"Something went wrong while generating coupons. Please review the log and try again.","Κάτι πήγε στραβά κατά τη δημιουργία κουπονιών. Παρακαλώ εξετάστε το αρχείο καταγραφής και προσπαθήστε ξανά."
"Catalog","Κατάλογος"
"The wrong rule is specified.","Ο λάθος κανόνας έχει καθοριστεί."
"You saved the rule.","Αποθηκεύσατε τον κανόνα."
"Something went wrong while saving the rule data. Please review the error log.","Κάτι πήγε στραβά κατά την αποθήκευση των δεδομένων του κανόνα. Παρακαλούμε ελέγξτε το αρχείο καταγραφής σφαλμάτων."
"Alphanumeric","Αλφαριθμητικό"
"Alphabetical","Αλφαβητικά"
"Numeric","Αριθμητικό"
"We cannot create the requested Coupon Qty. Please check your settings and try again.","Δεν μπορούμε να φτιάξουμε την ζητούμενη ποσότητα κουπόνιου. Παρακαλώ ελέγξτε τις ρυθμίσεις σας και ξαναπροσπαθήστε."
"Specified rule does not allow coupons","Ο καθορισμένος κανόνας δεν επιτρέπει κουπόνια"
"Specified rule only allows auto generated coupons","Ο καθορισμένος κανόνας επιτρέπει μόνο αυτόματη δημιουργία κουπονιών"
