"Url","Link"
"Title","Başlık"
"Description","Açıklama"
"Preview Image","Resim Önizleme"
"Get Video Information","Video Bilgileri Al"
"Hide from Product Page","Ürün Sayfasından gizle"
"Role","Yetki Sınıfı"
"YouTube and Vimeo supported.","YouTube ve Video destekleniyor."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo destekleniyor.<br /> Youtube videosu eklemek için lütfen <a href=""%1""> Youtube API anahtarı</a> girin."
"Protocol isn't allowed","Protokole izin verilmiyor"
"Disallowed file type.","İizn verilmeyen dosya türü."
"Could not get preview image information. Please check your connection and try again.","Görüntü önizleme bilgisi alınamadı. Lütfen bağlantınızı kontrol edin ve tekrar deneyin."
"Add Video","Video Ekle"
"Browse to find or drag image here","Resmi burada bulmak veya sürüklemek için gözat"
"Delete video","Videoyu sil"
"Delete image","Resmi sil"
"Hidden","Gizli"
"Alt Text","Alt Metin"
"Image Size","Görüntü boyutu"
"{size}","{boyut}"
"Image Resolution","Görüntü çözünürlüğü"
"{width}^{height} px","{genişlik} ^ {yükseklik} px"
"Title:","Başlık:"
"Uploaded:","Yüklendi:"
"Uploader:","Yükleyici:"
"Duration:","Süre:"
"Video Error","Video hatası"
"Unknown video type","Video türü bilinmiyor"
"Invalid video url","Geçersiz video url"
"Youtube API key is invalid","Youtube API anahtarı geçersiz"
"Video cant be shown due to the following reason: ","Aşağıdaki nedenlerden dolayı video gösterilemiyor: "
"Video not found","Video bulunamadı"
"New Video","Yeni Video"
"Save","Kaydet"
"Cancel","İptal"
"Delete","Sil"
"Edit Video","Videoyu Düzenle"
"Images and Videos","Görüntüler ve Videolar"
"Product Video","Ürün videosu"
"YouTube API Key","YouTube API Anahtarı"
"Autostart base video","Otomatik başlangıç videosu"
"Show related video","İlgili videoyu göster"
"Auto restart video","Videoyu otomatik olarak yeniden başlat"
"Images And Videos","Görüntüler Ve Videolar"
"Click here to add videos.","Videolar eklemek için buraya tıklayın."
"Add video","Video ekle"
"Click here or drag and drop to add images.","Buraya tıklayın ya da görüntü eklemek için sürükleyin ve bırakın."
"Make Base","Temel Oluştur"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
