"Url","Url-адрес"
"Title","Заглавиe"
"Description","Описание"
"Preview Image","Прегледайте изображението"
"Get Video Information","Вземи видео информация"
"Hide from Product Page","Скрий от страницата на продуктите"
"Role","Роля"
"YouTube and Vimeo supported.","YouTube и Vimeo поддържани."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo поддържа. < br / > да добавите видео YouTube, моля <a href=""%1""> Въведете YouTube API ключ</a> пръв."
"Protocol isn't allowed","Протокол не е позволен"
"Disallowed file type.","Неразрешен файлов тип."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","Добавяне на видео"
"Browse to find or drag image here","Прегледайте да намерите или плъзнете изображението тук"
"Delete video","Изтриване на видео"
"Delete image","Изтрий изображение"
"Hidden","Скрит"
"Alt Text","Алтернативен текст"
"Image Size","Размер на изображението"
"{size}","{size}"
"Image Resolution","Резолюция на изображението"
"{width}^{height} px","{width}^{height} px"
"Title:","Заглавиe:"
"Uploaded:","Качен:"
"Uploader:","Качил:"
"Duration:","Продължителност:"
"Video Error","Грешка във видеото"
"Unknown video type","Неизвестен тип на видео"
"Invalid video url","Невалиден Url адрес на видеото"
"Youtube API key is invalid","YouTube API ключ е невалиден"
"Video cant be shown due to the following reason: ","Видеото не може да бъде показано поради следната причина: "
"Video not found","Видео не е намерено"
"New Video","Ново видео"
"Save","Запиши"
"Cancel","Отказ"
"Delete","Изтрий"
"Edit Video","Редактиране на видео"
"Images and Videos","Снимки и видео"
"Product Video","Продуктово видео"
"YouTube API Key","YouTube API ключ"
"Autostart base video","Автостарт на базово видео"
"Show related video","Показване на свързани видеа"
"Auto restart video","Автоматично рестартиране на видео"
"Images And Videos","Снимки и видео"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Изтриване на изображение във всички изгледи на магазина"
"The preview image information is unavailable. Check your connection and try again.","Информацията за изображението за предварителен преглед не е налична. Проверете връзката си и опитайте отново."
