"Url","Đường dẫn"
"Title","Tiêu đề"
"Description","Mô tả"
"Preview Image","Xem trước hình ảnh"
"Get Video Information","Nhận thông tin về Video"
"Hide from Product Page","Ẩn từ trang sản phẩm"
"Role","Quyền hạn"
"YouTube and Vimeo supported.","Hỗ trợ YouTube và Vimeo."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Hỗ trợ Vimeo. <br /> để thêm video trên YouTube, vui lòng <a href=""%1""> nhập Youtube API Key </a> đầu tiên."
"Protocol isn't allowed","Protocol isn't allowed"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","Thêm Video"
"Browse to find or drag image here","Tìm hoặc kéo hình ảnh ở đây"
"Delete video","Xóa video"
"Delete image","Xóa hình ảnh"
"Hidden","ẩn"
"Alt Text","Văn bản thay thế"
"Image Size","Kích thước hình ảnh"
"{size}","{kích thước}"
"Image Resolution","Độ phân giải hình ảnh"
"{width}^{height} px","{width} ^{height} px"
"Title:","Tiêu đề:"
"Uploaded:","Đã tải lên:"
"Uploader:","Tải lên:"
"Duration:","Thời lượng:"
"Video Error","Lỗi video"
"Unknown video type","Loại video Không biết"
"Invalid video url","Video url không hợp lệ"
"Youtube API key is invalid","YouTube API key không hợp lệ"
"Video cant be shown due to the following reason: ","Video không thể hiển thị do lý do sau: "
"Video not found","Không tìm thấy Video"
"New Video","Video mới"
"Save","Lưu lại"
"Cancel","Hủy bỏ"
"Delete","Xóa bỏ"
"Edit Video","Chỉnh sửa Video"
"Images and Videos","Hình ảnh và video"
"Product Video","Sản phẩm Video"
"YouTube API Key","YouTube API key"
"Autostart base video","Tự khởi động cơ sở video"
"Show related video","Hiển thị video liên quan"
"Auto restart video","Tự động khởi động lại video"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
