"Url","网址"
"Title","标题"
"Description","描述"
"Preview Image","预览图像"
"Get Video Information","获取视频信息"
"Hide from Product Page","从产品页面隐藏"
"Role","职能"
"YouTube and Vimeo supported.","YouTube 和 Vimeo 支持。"
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","支持的 Vimeo。 < br / > 要添加 YouTube 视频，请 <a href=""%1""> 输入 YouTube API 密钥</a> 第一次。"
"Protocol isn't allowed","协议不被允许"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","添加视频"
"Browse to find or drag image here","浏览以找到或将图像拖到此处"
"Delete video","删除视频"
"Delete image","删除图像"
"Hidden","从产品页隐藏"
"Alt Text","Alt 文本"
"Image Size","图像大小"
"{size}","{尺寸}"
"Image Resolution","图像分辨率"
"{width}^{height} px"," {宽度} ^ {高度}px"
"Title:","标题："
"Uploaded:","已上传"
"Uploader:","上传："
"Duration:","持续时间︰"
"Video Error","视频错误"
"Unknown video type","未知的视频类型"
"Invalid video url","视频 url 无效"
"Youtube API key is invalid","Youtube API 密钥无效"
"Video cant be shown due to the following reason: ","由于以下原因，视频无法显示："
"Video not found","找不到视频"
"New Video","新视频"
"Save","保存"
"Cancel","取消"
"Delete","删除"
"Edit Video","编辑视频"
"Images and Videos","图像和视频"
"Product Video","产品视频"
"YouTube API Key","YouTube API 密钥"
"Autostart base video","Autostart 基本视频"
"Show related video","显示相关的视频"
"Auto restart video","自动重新启动视频"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
