"Reimburse Balance","Reembolsar Saldo"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Tem certeza de que deseja cancelar este pedido? O valor do pedido não será revertido para %1 porque a empresa não está ativa."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Tem certeza de que deseja cancelar este pedido? O valor do pedido não será revertido para %1 porque a empresa associada a esse cliente não existe."
"Page not found.","Página não encontrada."
"Something went wrong. Please try again later.","Algo deu errado. Por favor tente novamente mais tarde."
"History record no longer exists.","O registro de histórico não existe mais."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Não é possível recuperar as taxas de câmbio neste momento. Por favor, tente novamente mais tarde ou entre em contato com o administrador da loja."
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foi(ram) atualizado(s)."
"Unable to convert company credit. Please try again later or contact store administrator.","Não é possível converter o crédito da empresa. Por favor, tente novamente mais tarde ou entre em contato com o administrador da loja."
"Company Credit","Crédito da empresa"
"Order Payment should be provided","O pagamento do pedido deve ser fornecido"
"Order is canceled. We reverted %1 to the company credit.","O pedido foi cancelado. Revertemos %1 para o crédito da empresa."
"Order is canceled. The order amount is not reverted to the company credit.","O pedido foi cancelado. O valor do pedido não é revertido para o crédito da empresa."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","O pedido foi cancelado. O valor do pedido não é revertido para o crédito da empresa porque a empresa à qual esse cliente pertence não existe."
"unavailable.","indisponível."
"We can't save the credit memo because the company associated with this customer does not exist.","Não podemos salvar a nota de crédito porque a empresa associada a esse cliente não existe."
"We can't save the credit memo because the company associated with customer is not active.","Não podemos salvar a nota de crédito porque a empresa associada ao cliente não está ativa."
"Yes","Sim"
"No","Não"
"The requested Payment Method is not available.","O método de pagamento solicitado não está disponível."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","O pagamento na conta não pode ser usado para este pedido porque o valor do seu pedido excede o valor do seu crédito."
"Cannot process the request. Please check the operation type and try again.","Não é possível processar o pedido. Por favor, verifique o tipo de operação e tente novamente."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Valor de atributo inválido. Linha ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" é obrigatório. Entre e tente novamente."
"The selected currency is not available. Please select a different currency.","A moeda selecionada não está disponível. Por favor, selecione uma moeda diferente."
"Could not update history","Não foi possível atualizar o histórico"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Empresa solicitada não foi encontrada. ID de linha: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Não é possível eliminar o limite de crédito com o Id %1"
"Allocated","Alocados"
"Updated","Atualizado"
"Purchased","Comprado"
"Reimbursed","Reembolsados"
"Refunded","Reembolsado"
"Reverted","Revertido"
"Could not save history","Não foi possível salvar o histórico"
"Cannot delete history with id %1","Não é possível excluir o histórico com o Id %1"
"No such entity with %fieldName = %fieldValue","Não há tal entidade com %fieldName = %fieldValue"
"Could not save company credit limit","Não foi possível salvar o limite de crédito da empresa"
"Invalid value of ""%value"" provided for the %fieldName field.","Valor inválido ""%value"" fornecido para o campo %fieldName."
"Please enter a valid %1/%2 currency rate.","Por favor insira uma taxa de câmbio %1/%2 válida."
"Invoice created for %1","Fatura criada para %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","A moeda de crédito selecionada não é válida.
                        Os clientes não poderão fazer pedidos até você atualizar a moeda de crédito."
"Store Credit","Crédito na loja"
"Refund to Company Credit","Restituição de crédito da empresa"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","Uma fatura para quantidades parciais não pode ser emitida para este pedido. Para continuar, altere a quantidade especificada para a quantidade total."
"We refunded %1 online.","Nós reembolsamos %1 online."
"We refunded %1 offline.","Nós reembolsamos %1 offline."
"We refunded %1 to the company credit.","Reembolsamos %1 ao crédito da empresa."
"Exception message.","Mensagem de exceção."
"Exception Message","Mensagem de exceção"
