"Reimburse Balance","Rimborsa Saldo"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Sei sicuro di voler annullare quest'ordine? L'importo dell'ordine non sarà ripristinato a %1 perché l'azienda non è attiva."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Sei sicuro di voler annullare quest'ordine? L'importo dell'ordine non sarà ripristinato a %1 perché l'azienda associata a questo cliente non esiste."
"Page not found.","Pagina non trovata."
"Something went wrong. Please try again later.","Qualcosa è andato storto. Riprova di nuovo."
"History record no longer exists.","L'elemento non esiste più in cronologia."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Impossibile ripristinare i tassi di conversione valutaria al momento. Per favore prova nuovamente più tardi o contatta l'amministratore dello store."
"A total of %1 record(s) were updated.","Un totale di %1 record(s) sono stati aggiornati."
"Unable to convert company credit. Please try again later or contact store administrator.","Impossibile convertire i crediti aziendali. Per favore riprova più tardi o contatta l'amministratore dello store."
"Company Credit","Crediti Aziendali"
"Order Payment should be provided","Il Pagamento deve essere fornito per l'ordine"
"Order is canceled. We reverted %1 to the company credit.","Ordine cancellato. Abbiamo restituito %1 nel credito aziendale."
"Order is canceled. The order amount is not reverted to the company credit.","Ordine cancellato. L'importo dell'ordine non è stato rimborsato."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Ordine cancellato. L'importo dell'ordine non è stato rimborsato all'azienda perché l'azienda a cui appartiene il cliente non esiste più."
"unavailable.","non disponibile."
"We can't save the credit memo because the company associated with this customer does not exist.","Non possiamo salvare la nota di credito poiché l'azienda associata a questo cliente non esiste."
"We can't save the credit memo because the company associated with customer is not active.","Non possiamo salvare la nota di credito poiché l'azienda associata a questo cliente non è attiva."
"Yes","Sì"
"No","No"
"The requested Payment Method is not available.","Il metodo di pagamento richiesto non è disponibile."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Pagare col conto non può essere usato per questo ordine poiché l'importo eccede la disponibilità del tuo credito."
"Cannot process the request. Please check the operation type and try again.","Impossibile processare la richiesta. Per favore controlla il tipo di operazione e riprova."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Valore assegnato all'attributo non valido. ID Riga: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" è obbligatorio. Inseriscilo e riprova."
"The selected currency is not available. Please select a different currency.","La valuta selezionata non è disponibile. Per favore seleziona una valuta differente."
"Could not update history","Impossibile aggiornare la cronologia"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","L'azienda richiesta non è stata trovata. ID Riga: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Impossibile eliminare il limite al credito con id %1"
"Allocated","Assegnato"
"Updated","Aggiornato"
"Purchased","Acquistato"
"Reimbursed","Rimborsato"
"Refunded","Rimborsati"
"Reverted","Ripristinato"
"Could not save history","Impossibile salvare la cronologia"
"Cannot delete history with id %1","Impossibile eliminare cronologia con id %1"
"No such entity with %fieldName = %fieldValue","Nessun valore del tipo %fieldName = %fieldValue"
"Could not save company credit limit","Could not save company credit limit"
"Invalid value of ""%value"" provided for the %fieldName field.","Il valore ""%value"" fornito per il campo %fieldName non è valido."
"Please enter a valid %1/%2 currency rate.","Per favore inserisci un tasso di cambio valutare %1/%2 valido."
"Invoice created for %1","Fattura creata per %1"
