"Reimburse Balance","Rembourser le solde"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Êtes-vous certain de vouloir annuler cette commande ? Le montant de la commande ne sera pas reversé à %1, car la société n’est pas active."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Êtes-vous certain de vouloir annuler cette commande ? Le montant de la commande ne sera pas reversé à %1, car la société associée à ce client n'existe pas."
"Page not found.","Page introuvable."
"Something went wrong. Please try again later.","Une erreur s'est produite. Merci d'essayer ultérieurement."
"History record no longer exists.","L'historique de l'enregistrement n'existe plus."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Impossible de récupérer les taux de change en ce moment. Veuillez réessayer ultérieurement ou contactez l’administrateur du magasin."
"A total of %1 record(s) were updated.","%1 enregistrement(s) ont été mis à jour."
"Unable to convert company credit. Please try again later or contact store administrator.","Impossible de convertir le crédit de la société. Veuillez réessayer ultérieurement ou contactez l’administrateur du magasin."
"Company Credit","Crédit de la société"
"Order Payment should be provided","Un ordre de paiement devrait être fourni"
"Order is canceled. We reverted %1 to the company credit.","La commande est annulée. Nous avons reversé %1 au crédit de la société."
"Order is canceled. The order amount is not reverted to the company credit.","La commande est annulée. Le montant de la commande n'est pas reversé au crédit de la société."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","La commande est annulée. Le montant de la commande n'est pas reversé au crédit de la société car la société à laquelle le client appartient n'existe plus."
"unavailable.","indisponible."
"We can't save the credit memo because the company associated with this customer does not exist.","Nous ne pouvons pas sauvegarder la note de crédit car la société associée à ce client n'existe pas."
"We can't save the credit memo because the company associated with customer is not active.","Nous ne pouvons pas sauvegarder la note de crédit car la société associée à ce client est inactive."
"Yes","Oui"
"No","Non"
"The requested Payment Method is not available.","Le mode de paiement demandé n'est pas disponible."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Le paiement sur compte ne peut pas être utilisé pour cette commande car le montant de celle-ci dépasse votre limite de crédit."
