"Reimburse Balance","بازپرداخت تتمه حساب"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","آیا مطمئنید که می خواهید این سفارش را لغو کنید؟ مقدار سفارش به %1 برنمی گردد زیرا این شرکت غیرفعال است."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","آیا مطمئنید که می خواهید این سفارش را لغو کنید؟ مقدار سفارش به %1 برنمی گردد زیرا شرکت مربوط به این مشتری وجود ندارد."
"Page not found.","صفحه یافت نشد."
"Something went wrong. Please try again later.","با عرض پوزش، خطایی رخ داده است. لطفا بعدا دوباره امتحان کنید."
"History record no longer exists.","تاریخچه رکورد دیگر وجود ندارد."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","نمی توان نرخ ارز را در این لحظه بازیابی کرد. لطفا بعدا دوباره امتحان کنید یا با مدیر فروشگاه تماس بگیرید."
"A total of %1 record(s) were updated.","%1 رکورد به روز رسانی شد."
"Unable to convert company credit. Please try again later or contact store administrator.","نمی توان اعتبار شرکت را تبدیل کرد. لطفا بعدا دوباره امتحان کنید یا با مدیر فروشگاه تماس بگیرید."
"Company Credit","اعتبار شرکت"
"Order Payment should be provided","پرداخت نهایی سفارش باید ارائه شود"
"Order is canceled. We reverted %1 to the company credit.","سفارش لغو شد. ما %1 را به اعتبار شرکت بازگرداندیم."
"Order is canceled. The order amount is not reverted to the company credit.","سفارش لغو شد. اعتبار سفارش به حساب شرکت باز گردانده نشد."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","سفارش لغو شد. اعتبار سفارش به علت عدم وجود شرکتی مربوط به این مشتری، به حساب شرکت باز گردانده نشد."
"unavailable.","ناموجود."
"We can't save the credit memo because the company associated with this customer does not exist.","نمی توان اعلامیه بستانکار را ذخیره کرد، زیرا شرکت مرتبط با این مشتری وجود ندارد."
"We can't save the credit memo because the company associated with customer is not active.","نمی توان اعلامیه بستانکار را ذخیره کرد، زیرا شرکت مرتبط با این مشتری فعال نیست."
"Yes","بله"
"No","خیر"
"The requested Payment Method is not available.","روش پرداخت درخواستی در دسترس نمی باشد."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","چون مقدار سفارش شما بیش از میزان اعتبار موجود در حسابتان است، برای این سفارش نمی توانید از روش پرداخت اعتباری استفاده کنید."
"Cannot process the request. Please check the operation type and try again.","درخواست پردازش نشد. لطفا نوع عملیات را بررسی کرده و دوباره تلاش کنید."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","مقدار ویژگی نا معتبر. شماره ردیف: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The selected currency is not available. Please select a different currency.","واحد پول انتخاب شده در دسترس نمی باشد. لطفا ارز دیگری را انتخاب کنید."
"Could not update history","نمی توان تاریخچه را به روز رسانی کرد"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","شرکت درخواست شده یافت نشد. شماره ردیف: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","سقف اعتبار با شناسه %1 را نمی توان حذف کرد"
"Allocated","اختصاص داده شده"
"Updated","به روز رسانی شده"
"Purchased","خریداری شده"
"Reimbursed","بازپرداخت شده"
"Refunded","مسترد"
"Reverted","برگردانده شده"
