"Reimburse Balance","Реимбурсиране Баланс"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Сигурни ли сте, че искате да откажете тази поръчка? Поръчаното количество няма да се върне към %1 защото фирмата не е активна."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Сигурни ли сте, че искате да откажете тази поръчка? Поръчаното количество няма да се върне към %1 защото фирмата асоциирана с този клент не съществува."
"Page not found.","Страницата не е намерена."
"Something went wrong. Please try again later.","Нещо се обърка. Моля, опитайте отново."
"History record no longer exists.","Запис на историята вече не съществува."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","В момента не може да се извлекат валутни курсове. Моля опитайте по късни или се свържете с администратор на магазина."
"A total of %1 record(s) were updated.","Общо %1 запис(и) бяха актуализирани."
"Unable to convert company credit. Please try again later or contact store administrator.","Не може да се конвертира фирмения кредит. Моля опитайте по късни или се свържете с администратор на магазина."
"Company Credit","Фирмен Кредит"
"Order Payment should be provided","Ще бъде посочено Плащане на Поръчката"
"Order is canceled. We reverted %1 to the company credit.","Поръчката е отказана. Възстановихме %1 във фирмения кредит."
"Order is canceled. The order amount is not reverted to the company credit.","Поръчката е отказана. Стойноста й не е възстановена към фирмения кредит."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Поръчката е отказана. Стойноста й не е възстановена към фирмения кредит защото фирмата, към която е клиентът, не съществува."
"unavailable.","недостъпно."
"We can't save the credit memo because the company associated with this customer does not exist.","Не можем да запазим кредитното известие, защото фирмата асоциирана с този клиент не съществува."
"We can't save the credit memo because the company associated with customer is not active.","Не можем да запазим кредитното известие, защото фирмата асоциирана с този клиент е неактивна."
"Yes","Да"
"No","Не"
"The requested Payment Method is not available.","Исканият метод на плащане не е наличен."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Плащане по Сметка не може да се осъществи за тази поръчка, защото стойността й надвишава вашия кредит."
"Cannot process the request. Please check the operation type and try again.","Не може да се обработи заявката. Моля проверете типа на операцията и опитайте пак."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Невалидана стойност на атрибут. Row ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" е задължително. Въведете и опитайте пак."
"The selected currency is not available. Please select a different currency.","Избраната валута не налична. Моля изберете друга."
"Could not update history","Не може да се обнови историята"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Исканата фирма не е намерена. Row ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Не може д асе изтрие кредител лимит с id %1"
"Allocated","Резервирано"
"Updated","Актуализиран"
"Purchased","Закупен"
"Reimbursed","Реимбурсирано"
"Refunded","Възстановен"
"Reverted","Обърнат"
"Could not save history","Не може да се запази историята"
"Cannot delete history with id %1","Не може да се изтрие история с id %1"
"No such entity with %fieldName = %fieldValue","Няма такъв субект с %fieldName = %fieldValue"
"Could not save company credit limit","Не може да се запише фирмен цредител лимит"
"Invalid value of ""%value"" provided for the %fieldName field.","Невалидно стойност на ""%value"" зададена от %fieldName поле."
"Please enter a valid %1/%2 currency rate.","Моля въведете валиден %1/%2 валутен курс."
"Invoice created for %1","Създадена е фактура за %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","Избраната кредитна валута е невалидна. 
                        Клиентите няма да могат да записват поръчки докато не промените кредитната валута."
"Store Credit","Съхраняван баланс"
"Refund to Company Credit","Възстановяване на Фирмен кредит"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","Възстановихме %1 онлайн."
"We refunded %1 offline.","Възстановихме %1 офлайн."
"We refunded %1 to the company credit.","Възстановихме %1 във фирмения кредит."
"Exception message.","Съобщение за изключение."
"Exception Message","Съобщение за изключение"
"No such entity","Няма такъв обект"
"Edit","Редактирай"
"%1 made an update. %2 can exceed the Credit Limit.","%1 направи актуализация. %2 може да надвишава кредитния лимит."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 направи актуализация. %2 може да надвишава кредитния лимит."
"Order # %1","Поръчка # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 промени цредитната влута от %2 на %3 при курс от %2/%3 %4."
"Outstanding Balance:","Изключителен баланс:"
"Available Credit:","Наличен кредит:"
"Credit Limit:","Кредитен лимит:"
"Purchase Order Number","Purchase Order Number"
"Charged off the company credit: %1","Такса от фирмения кредит: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","Основната валута за %1 е актуалзирана. Валутата %2 е все още дефинирана като кредитна валута за една или повече фирми. Използвайте следната <a href=""%3"" id=""update-credit-link"">връзка</a> за да приложите пакетна обработка която да актуализира валутата за тези фирми."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 надвиши кредитния лимит (%2) с %3. Неговият изключителен баланс, включително тази поръчка, в момента достига общо %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","Кредитният лимит за %1 е %2. Нейният изключителен баланс, включително тази поръчка, в момента достига общо %3"
"Outstanding Balance","Изключителен баланс"
"Available Credit","Наличен кредит"
"Credit Limit","Кредитен лимит"
"Charged off the company credit","Такса от фирмения кредит"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Фирменият кредит за всички избрани фирми ще бъдат конвертирани използвайки посочения долу курс. Тази операция е необратима."
"Credit allocated to %company_name","Кредит заделен за %company_name"
"Dear %name,","Уважаеми %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Вашата фирма има заделен кредит от %available_credit.
    Вече можете да използвате Плащане по сметка, като метод за плащане на поръчки."
"The history of your credit operations is available on the Company Credit page.","Историята на вашите кредитни операции е достъпна в страницата Фирмен Кредит."
"%company_name account reimbursed","Сметката на %company_name е реимбурсирана"
"Your company credit account has been reimbursed by %reimbursed_amount.","Фирменият ви кредит е реимбурсиран с %reimbursed_amount."
"If you have any questions, please contact the seller.","Ако имате въпроси, моля свържете се с продавача."
"%company_name credit limit updated","Актуализиран кредитен лимит на %company_name"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Вашият кредитен лимит е актуализирн и вече е %available_credit.
    Вашият Изключителен баланс достига общо %outstanding_balance. Имате  %exceed_limit до надвишаване на кредитния лимит."
"Order %order_id refunded","Поръчката %order_id е възстановена"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Сума за възстановяване %refunded_amount е приложена за поръчка #%order_id. Тази сума е приложена към фирмения кредит."
"Order %order_id reverted","Поръчка %order_id е върната"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Вашата поръчка #%order_id е отказана. Стойноста й е върната към фирмения кредит."
"Available Credit ","Наличен кредит "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Методът Плащане по Сметка не е достъпен за избраната фирма. Моля свържете се с продавача."
"Company credit account will be charged: ","Кредитната сметка на фирмата е бъде таксувана: "
"Place Order","Направи поръчка"
"Cancel the Order","Отказване на поръчката"
"This is a required field.","Това е задължително поле."
"Please enter a valid number in this field.","Моля вкарайте валиден номер в това поле."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Курс"
"Reimburse","Реимбурсиране"
"Save","Запиши"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Моля използвайте само букви (a-z or A-Z), цифри (0-9), тире (-) или наклонена (/) в тоа поле."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","Кредитният лимит за %s е %s. Той ще бъде надвишен с %s от тази поръчка."
"Payment on Account","Плащане по Сметка"
"Enabled","Активиран"
"New Order Status","Статус нова поръчка"
"Sort Order","Ред на сортиране"
"Title","Заглавиe"
"Payment from Applicable Countries","Плащане от приложимите страни"
"Payment from Specific Countries","Плащане от определени страни"
"Minimum Order Total","Минимална стойност на поръчка"
"Maximum Order Total","Максимална стойност на поръчка"
"Company Credit Change Email Sender","Изпращач за имейл за Промяна във Фирмения кредит"
"Send Company Credit Change Email Copy To","Изпращане на имейл за Промяна на Състояние на Фирма на"
"Comma-separated","Разделени със запетая"
"Send Email Copy Method","Метод за изпращане на копие на имейл"
"Allocated Email Template","Заделен шаблон за имейл"
"This email is sent to the Company Admin.","Този имейл е изпратен на Администратор на фирмата."
"Updated Email Template","Шаблон за имейл Промяна"
"Reimbursed Email Template","Шаблон за имейл Реимбурсирано"
"Refunded Email Template","Шаблон за имейл Възстановено"
"Reverted Email Template","Шаблон за имейл Върнато"
"View","Преглед"
"Credit Currency","Кредитна валута"
"Allow To Exceed Credit Limit","Разрешаване на Надхвърляне Кредитен Лимит"
"Reason For Change","Причина за Промяна"
"Amount","Сума"
"
                            Limit one PO number per reimburse transaction
                        ","
                            Ограничение от една PO стойност за реимбурсираща транзакция
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Позволени с максимум 255 символа.
                        "
"Comment","Коментар"
"Rate","Оцени"
"Convert Credit","Конвертиране Кредит"
"Date","Дата"
"Operation","Операция"
"Updated By","Актуализирано от"
"Purchase Order","Purchase Order"
"You will be charged for","Ще бъдете таксван за"
"Order Total","Поръчка общо"
"%fieldName is a required field.","%fieldName is a required field."
