"Reimburse Balance","Reembolsar Saldo"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","¿Seguro que desea cancelar este pedido? El importe del pedido no se revertirá a %1 porque la empresa no está activa."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","¿Seguro que desea cancelar este pedido? El importe del pedido no se revertirá a %1 porque la empresa asociada a este cliente no existe."
"Page not found.","Página no encontrada."
"Something went wrong. Please try again later.","Algo salió mal. Por favor, inténtelo de nuevo más tarde."
"History record no longer exists.","El historial ya no existe."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","No se pueden conseguir los tipos de cambio ahora. Por favor, inténtelo más tarde o contacte con el administrador de la tienda."
"A total of %1 record(s) were updated.","Un total de %1 registro(s) fueron actualizados."
"Unable to convert company credit. Please try again later or contact store administrator.","No se puede convertir el crédito de la empresa. Por favor, inténtelo más tarde o contacte con el administrador de la tienda."
"Company Credit","Crédito de la compañía"
"Order Payment should be provided","Se debe dar orden de pago"
"Order is canceled. We reverted %1 to the company credit.","La orden se ha cancelado. Revertir %1 al credito de la empresa."
"Order is canceled. The order amount is not reverted to the company credit.","La orden se ha cancelado. El importe no sera devuelto al crédito de la empresa."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","La orden se ha cancelado. El importe no será devuelto al crédito de la empresa porque la empresa a la que corresponde el cliente no existe."
"unavailable.","no disponible."
"We can't save the credit memo because the company associated with this customer does not exist.","No podemos guardar la nota de credito porque la empresa asociada al cliente no existe."
"We can't save the credit memo because the company associated with customer is not active.","No podemos guardar la nota de credito porque la empresa asociada al cliente no está activa."
"Yes","Sí"
"No","No 	"
"The requested Payment Method is not available.","El método de pago solicitado no está disponible."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Pago A Cuenta no se puede utilizar para este pedido porque el importe de su pedido excede el importe de su crédito."
"Cannot process the request. Please check the operation type and try again.","No se puede procesar la solicitud. Por favor, compruebe el tipo de operación y vuelva a intentarlo."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Valor de atributo no válido. ID fila: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","Se requiere ""%fieldName"". Ingreselo e intente nuevamente."
"The selected currency is not available. Please select a different currency.","La moneda seleccionada no está disponible. Por favor seleccione una moneda diferente."
"Could not update history","No se pudo actualizar el historial"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","No se encuentra la empresa solicitada. ID fila: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","No se puede eliminar el límite de crédito con id %1"
"Allocated","Asignado"
"Updated","Actualizado"
"Purchased","Comprada"
"Reimbursed","Reembolsado"
"Refunded","Reembolsado."
"Reverted","Revertido"
"Could not save history","No se pudo guardar el historial"
"Cannot delete history with id %1","No se puede eliminar el historial con id %1"
"No such entity with %fieldName = %fieldValue","No existe la entidad con %fieldName = %fieldValue"
"Could not save company credit limit","No se pudo guardar el límite de crédito de la empresa"
"Invalid value of ""%value"" provided for the %fieldName field.","El valor de ""%value"" no es válido para el campo %fieldName."
"Please enter a valid %1/%2 currency rate.","Por favor ingrese una tasa de cambio válida de %1/%2."
"Invoice created for %1","Factura creada para %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","La moneda de crédito seleccionada no es válida. 
                        Los clientes no podrán realizar pedidos hasta que actualice la moneda de crédito."
"Store Credit","Crédito en la tienda"
"Refund to Company Credit","Reembolsar a crédito de empresa"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","No se puede emitir una factura por cantidades parciales para este pedido. Para continuar, cambie la cantidad especificada a la cantidad total."
"We refunded %1 online.","Reembolsamos %1 en línea."
"We refunded %1 offline.","Reembolsamos %1 fuera de linea."
"We refunded %1 to the company credit.","Reembolsamos %1 al crédito de la empresa."
"Exception message.","Mensaje de excepción."
"Exception Message","Mensaje de excepción"
"No such entity","No existe la entidad"
"Edit","Editar"
"%1 made an update. %2 can exceed the Credit Limit.","%1 hizo una actualización. %2 puede exceder el límite de crédito."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 hizo una actualización. %2 no puede exceder el límite de crédito."
"Order # %1","Pedido Nº %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 cambió la moneda de crédito de %2 a %3 en la tasa de conversión de %2/%3 %4."
"Outstanding Balance:","Saldo pendiente:"
"Available Credit:","Crédito Disponible:"
"Credit Limit:","Límite de crédito:"
"Purchase Order Number","Número de orden de compra"
"Charged off the company credit: %1","Cancelado el crédito de la empresa: %1"
"Purchase Order Number: %1","Número de orden de compra: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","La moneda base para %1 se ha actualizado. La moneda %2 todavía se define como la moneda de crédito para una o más empresas. Utilice el siguiente <a href=""%3"" id=""update-credit-link"">enlace</a> para realizar una operación masiva que actualice la moneda de crédito de esas empresas."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 ha excedido su límite de crédito (%2) en %3. Su saldo pendiente, incluido este pedido, asciende actualmente a %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","El límite de crédito para %1 es %2. Su saldo pendiente, incluyendo este pedido, asciende actualmente a %3"
"Outstanding Balance","Saldo pendiente"
"Available Credit","Crédito Disponible"
"Credit Limit","Límite de crédito"
"Charged off the company credit","Cancelado el crédito de la empresa"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","El crédito de la Empresa en todas las empresas seleccionadas se convertirá utilizando la tasa a continuación. Esta operación no se puede deshacer."
"Credit allocated to %company_name","Crédito asignado a %company_name"
"Dear %name,","Estimado/a %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","A su empresa se le ha asignado un crédito de %available_credit.
    Ahora puede utilizar el método de pago  A Cuenta para hacer pedidos."
"The history of your credit operations is available on the Company Credit page.","La historia de sus operaciones de crédito está disponible en la página de Crédito de la Empresa."
"%company_name account reimbursed","cuenta %company_name reembolsada"
