"Reimburse Balance","Надокнади салдо"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Да ли сте сигурни желите да цанцел тхис ордер? Тхе ордер амоунт wилл нот бе ревертед то %1 бецаусе тхе цомпанy ис нот ацтиве."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Да ли сте сигурни желите да цанцел тхис ордер? Тхе ордер амоунт wилл нот бе ревертед то %1 бецаусе тхе цомпанy ассоциатед wитх тхис цустомер не постоји."
"Page not found.","Страница није пронађена."
"Something went wrong. Please try again later.","Нешто није у реду. Покушајте поново латер."
"History record no longer exists.","Запис историје више не постоји."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Није могуће ретриеве цурренцy ратес ат тхис момент. Покушајте поново латер ор цонтацт сторе администратор."
"A total of %1 record(s) were updated.","Укупно %1 запис(а) је ажурирано."
"Unable to convert company credit. Please try again later or contact store administrator.","Није могуће цонверт цомпанy цредит. Покушајте поново латер ор цонтацт сторе администратор."
"Company Credit","Кредит компаније"
"Order Payment should be provided","Плаћање поруџбине треба да буде обезбеђено"
"Order is canceled. We reverted %1 to the company credit.","Поруџбина ис цанцелед. Wе ревертед %1 то тхе цомпанy цредит."
"Order is canceled. The order amount is not reverted to the company credit.","Поруџбина ис цанцелед. Тхе ордер амоунт ис нот ревертед то тхе цомпанy цредит."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Поруџбина ис цанцеллед. Тхе ордер амоунт ис нот ревертед то тхе цомпанy цредит бецаусе тхе цомпанy то wхицх тхис цустомер белонгс не постоји."
"unavailable.","unavailable."
"We can't save the credit memo because the company associated with this customer does not exist.","Wе цан'т саве тхе цредит мемо бецаусе тхе цомпанy ассоциатед wитх тхис цустомер не постоји."
"We can't save the credit memo because the company associated with customer is not active.","We can't save the credit memo because the company associated with customer is not active."
"Yes","Да"
"No","Не"
"The requested Payment Method is not available.","Тхе реqуестед Плаћање Метход ис нот аваилабле."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Плаћање Укључено Налог не може бе усед фор тхис ордер бецаусе yоур ордер амоунт еxцеедс yоур цредит амоунт."
"Cannot process the request. Please check the operation type and try again.","Не може процесс тхе реqуест. Плеасе цхецк тхе оператион тyпе анд покушајте поново."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Неисправан аттрибуте валуе. Роw ИД: %фиелдНаме = %фиелдВалуе."
"""%fieldName"" is required. Enter and try again.","""%имеПоља"" је обавезно. Унесите и пробајте поново."
"The selected currency is not available. Please select a different currency.","Тхе селецтед цурренцy ис нот аваилабле. Молимо изаберите а дифферент цурренцy."
"Could not update history","Није могао упдате хисторy"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Реqуестед цомпанy ис није пронађено. Роw ИД: %фиелдНаме = %фиелдВалуе."
"Cannot delete credit limit with id %1","Не може делете цредит лимит wитх ид %1"
"Allocated","Додељено"
"Updated","Ажуриран"
"Purchased","Наручено"
"Reimbursed","Надокнађено"
"Refunded","Повраћен новац"
"Reverted","Враћено на старо"
"Could not save history","Није могао саве хисторy"
"Cannot delete history with id %1","Не може делете хисторy wитх ид %1"
"No such entity with %fieldName = %fieldValue","Не постоји ентитет са %фиелдНаме = %фиелдВалуе"
"Could not save company credit limit","Није могао саве цомпанy цредит лимит"
"Invalid value of ""%value"" provided for the %fieldName field.","Неисправна вредност у ""%валуе"" обезбеђеној за %фиелдНаме поље."
"Please enter a valid %1/%2 currency rate.","Молимо унесите а валид %1/%2 цурренцy рате."
"Invoice created for %1","Фактура цреатед фор %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","Изабрана кредитна валута није важећа. 
                        Купци неће моћи да наручују док не ажурирате кредитну валуту."
"Store Credit","Кредит Продавнице"
"Refund to Company Credit","Рефундирај на кредит компаније"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","Ан инвоице фор партиал qуантитиес не може бе иссуед фор тхис ордер. То цонтинуе, цханге тхе специфиед qуантитy то тхе фулл qуантитy."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"We refunded %1 to the company credit.","We refunded %1 to the company credit."
"Exception message.","Exception message."
"Exception Message","Exception Message"
"No such entity","Ентитет не постоји"
"Edit","Измени"
"%1 made an update. %2 can exceed the Credit Limit.","%1 made an update. %2 can exceed the Credit Limit."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 маде ан упдате. %2 не може еxцеед тхе Цредит Лимит."
"Order # %1","Поруџбина #%1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4."
"Outstanding Balance:","Неподмирени салдо:"
"Available Credit:","Расположиви кредит:"
"Credit Limit:","Кредитни лимит:"
"Purchase Order Number","Број набавне поруџбине"
"Charged off the company credit: %1","Charged off the company credit: %1"
"Purchase Order Number: %1","Пурцхасе Поруџбина Нумбер: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","Основна валута за %1 је ажурирана. Валута %2 је и даље дефинисана као кредитна валута за једну или више компанија. Користите следећи <а хреф=""%3"" ид=""упдате-цредит-линк"">линк</а> да извршите групну операцију која ажурира кредитну валуту за те компаније."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3"
"Outstanding Balance","Неподмирени салдо"
"Available Credit","Расположиви кредит"
"Credit Limit","Кредитни лимит"
