"Reimburse Balance","ශේෂය ප්‍රතිපූරණය කරන්න"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","ඔබට මෙම ඇණවුම අවලංගු කිරීමට අවශ්‍ය බව විශ්වාසද? සමාගම සක්‍රීය නොවන නිසා ඇණවුම් මුදල %1 වෙත ආපසු නොයනු ඇත."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","ඔබට මෙම ඇණවුම අවලංගු කිරීමට අවශ්‍ය බව විශ්වාසද? මෙම පාරිභෝගිකයා හා සම්බන්ධ සමාගම නොපවතින නිසා ඇණවුම් මුදල %1 වෙත ආපසු නොයනු ඇත."
"Page not found.","පිටුව හමු නොවීය."
"Something went wrong. Please try again later.","මොකක්හරි වැරැද්දක් වෙලා. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"History record no longer exists.","ඉතිහාස වාර්තාව තවදුරටත් නොපවතී."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","මේ මොහොතේ මුදල් අනුපාත ලබා ගැනීමට නොහැක. කරුණාකර පසුව නැවත උත්සාහ කරන්න හෝ ගබඩා පරිපාලක අමතන්න."
"A total of %1 record(s) were updated.","මුළු වාර්තා(ය) %1 ක් යාවත්කාලීන කරන ලදී."
"Unable to convert company credit. Please try again later or contact store administrator.","සමාගම් ණය පරිවර්තනය කළ නොහැක. කරුණාකර පසුව නැවත උත්සාහ කරන්න හෝ ගබඩා පරිපාලක අමතන්න."
"Company Credit","සමාගම් ණය"
"Order Payment should be provided","ඇණවුම ගෙවීම සැපයිය යුතුය"
"Order is canceled. We reverted %1 to the company credit.","ඇණවුම අවලංගු කර ඇත. අපි සමාගමේ ණයට %1 ප්‍රතිවර්තනය කළෙමු."
"Order is canceled. The order amount is not reverted to the company credit.","ඇණවුම අවලංගු කර ඇත. ඇණවුමේ මුදල සමාගමේ ණය වෙත ආපසු ලබා නොදේ."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","ඇණවුම අවලංගුයි. මෙම පාරිභෝගිකයා අයත් වන සමාගම නොපවතින බැවින් ඇණවුම් මුදල සමාගම් ණය වෙත ආපසු ලබා නොදේ."
"unavailable.","ලබාගත නොහැක."
"We can't save the credit memo because the company associated with this customer does not exist.","මෙම පාරිභෝගිකයා හා සම්බන්ධ සමාගම නොපවතින නිසා අපට ණය සටහන සුරැකිය නොහැක."
"We can't save the credit memo because the company associated with customer is not active.","පාරිභෝගිකයා හා සම්බන්ධ සමාගම සක්‍රිය නැති නිසා අපට ණය සටහන සුරැකිය නොහැක."
"Yes","ඔව්"
"No","නැත"
"The requested Payment Method is not available.","ඉල්ලූ ගෙවීම් ක්‍රමය නොමැත."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","ඔබගේ ඇණවුමේ මුදල ඔබගේ ණය මුදල ඉක්මවන බැවින් ගිණුමේ ගෙවීම මෙම ඇණවුම සඳහා භාවිතා කළ නොහැක."
"Cannot process the request. Please check the operation type and try again.","ඉල්ලීම ක්‍රියාවට නැංවිය නොහැක. කරුණාකර මෙහෙයුම් වර්ගය පරීක්ෂා කර නැවත උත්සාහ කරන්න."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","වලංගු නොවන ගුණාංග අගය. පේළි ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" අවශ්‍යයි. ඇතුල් කර නැවත උත්සාහ කරන්න."
"The selected currency is not available. Please select a different currency.","තෝරාගත් මුදල් ලබා ගත නොහැක. කරුණාකර වෙනත් මුදල් වර්ගයක් තෝරන්න."
"Could not update history","ඉතිහාසය යාවත්කාලීන කිරීමට නොහැකි විය"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","ඉල්ලූ සමාගම හමු නොවේ. පේළි ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","id %1සමඟ ණය සීමාව මකා දැමිය නොහැක"
"Allocated","වෙන් කර ඇත"
"Updated","යාවත්කාලීන කරන ලදී"
"Purchased","මිලදී ගත්තා"
"Reimbursed","ප්‍රතිපූරණය කළා"
"Refunded","ආපසු ගෙවන ලදී"
"Reverted","ආපසු හැරවිය"
"Could not save history","ඉතිහාසය සුරැකීමට නොහැකි විය"
"Cannot delete history with id %1","id %1සමඟ ඉතිහාසය මකා දැමිය නොහැක"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue සමග එවැනි ආයතනයක් නැත"
"Could not save company credit limit","සමාගමේ ණය සීමාව සුරැකීමට නොහැකි විය"
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName ක්ෂේත්‍රය සඳහා සපයා ඇති ""%අගය"" හි වලංගු නොවන අගයක්."
"Please enter a valid %1/%2 currency rate.","කරුණාකර වලංගු %1/%2 මුදල් අනුපාතයක් ඇතුළත් කරන්න."
"Invoice created for %1","ඉන්වොයිසිය %1සඳහා සාදන ලදී"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","තෝරාගත් ණය මුදල් වලංගු නොවේ. 
                        ඔබ ණය මුදල් යාවත්කාලීන කරන තෙක් පාරිභෝගිකයින්ට ඇණවුම් කිරීමට නොහැකි වනු ඇත."
"Store Credit","ගබඩා ණය"
"Refund to Company Credit","සමාගම් ණය වෙත ආපසු ගෙවීම"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","අපි මාර්ගගතව %1 ආපසු ලබා දුන්නෙමු."
"We refunded %1 offline.","අපි නොබැඳි %1 ආපසු ගෙවා ඇත."
"We refunded %1 to the company credit.","අපි සමාගමේ ණයට %1 ආපසු ගෙවමු."
"Exception message.","ව්යතිරේක පණිවිඩය."
"Exception Message","ව්යතිරේක පණිවිඩය"
