"Reimburse Balance","Rückerstattungssaldo"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten? Der Bestellbetrag wird nicht zu %1 zurückgeführt, da das Unternehmen nicht aktiv ist."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten? Der Bestellbetrag wird nicht zu %1 zurückgeführt, da das Unternehmen, das mit diesem Nutzer verknüpft ist, nicht existiert."
"Page not found.","Seite nicht gefunden."
"Something went wrong. Please try again later.","Es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"History record no longer exists.","Historieneintrag existiert nicht mehr"
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Währungskurse können gerade nicht abgerufen werden. Bitte versuchen Sie es später erneut oder kontaktieren Sie den Shop-Administrator."
"A total of %1 record(s) were updated.","Insgesamt wurden %1 Einträge aktualisiert."
"Unable to convert company credit. Please try again later or contact store administrator.","Firmenkredit kann nicht konvertiert werden. Bitte versuchen Sie es später erneut oder kontaktieren Sie den Shop-Administrator."
"Company Credit","Firmenkredit"
"Order Payment should be provided","Bestellungszahlung sollte angegeben werden"
"Order is canceled. We reverted %1 to the company credit.","Bestellung ist abgebrochen. Wir haben %1 zu Ihrem Firmenkredit zurückgebucht."
"Order is canceled. The order amount is not reverted to the company credit.","Bestellung wird storniert. Der Auftragsbetrag wird nicht zum Firmenkredit zurückgebucht."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Die Bestellung wird storniert. Der Auftragsbetrag wird nicht zum Firmenkredit zurückgebucht, da das Unternehmen, dem dieser Kunde angehört, nicht existiert."
"unavailable.","Nicht verfügbar."
"We can't save the credit memo because the company associated with this customer does not exist.","Wir können die Gutschrift nicht speichern, da das mit diesem Kunden verbundene Unternehmen nicht existiert."
"We can't save the credit memo because the company associated with customer is not active.","Wir können die Gutschrift nicht speichern, da das mit diesem Kunden verbundene Unternehmen nicht aktiviert ist."
"Yes","Ja"
"No","Nein"
"The requested Payment Method is not available.","Die angeforderte Zahlungsart ist nicht verfügbar."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Kauf auf Rechnung kann für diese Bestellung nicht genutzt werden, da die Bestellsumme Ihren Kreditrahmen übersteigt."
"Cannot process the request. Please check the operation type and try again.","Die Anfrage kann nicht bearbeitet werden. Bitte überprüfen Sie den Vorgang und versuchen Sie es erneut."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Ungültiger Attributwert. Zeilen-ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Bitte eingeben und erneut versuchen."
"The selected currency is not available. Please select a different currency.","Die ausgewählte Währung ist nicht verfügbar. Bitte wählen Sie eine andere Währung."
"Could not update history","Historie konnte nicht aktualisiert werden"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Angefragtes Unternehmen wurde nicht gefunden. Zeile ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Kreditrahmen mit der ID %1 kann nicht gelöscht werden"
"Allocated","Zugewiesen"
"Updated","Aktualisiert"
"Purchased","Gekauft"
"Reimbursed","Erstattet"
"Refunded","Erstattet"
"Reverted","Rückgängig gemacht"
"Could not save history","Verlauf konnte nicht gespeichert werden"
"Cannot delete history with id %1","Historie mit ID %1 kann nicht gelöscht werden"
"No such entity with %fieldName = %fieldValue","Keine Eintrag mit %fieldName = %fieldValue"
"Could not save company credit limit","Firmenkreditrahmen konnte nicht gespeichert werden"
"Invalid value of ""%value"" provided for the %fieldName field.","Ungültiger Wert ""%value"" für Feld %fieldName."
"Please enter a valid %1/%2 currency rate.","Bitte geben Sie einen gültigen Wechselkurs %1/%2 ein."
"Invoice created for %1","Rechnung für %1 erstellt"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","Die ausgewählte Kreditwährung ist nicht gültig. 
                        Kunden können keine Bestellungen tätigen, bis Sie die Kreditwährung aktualisieren."
"Store Credit","Shop-Guthaben"
"Refund to Company Credit","Dem Firmenkredit gutschreiben"
