"Reimburse Balance","Balans terugbetalen"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Weet je zeker dat je deze bestelling wilt annuleren? Het orderbedrag wordt niet teruggezet naar %1 omdat het bedrijf niet actief is."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Weet je zeker dat je deze bestelling wilt annuleren? Het orderbedrag wordt niet teruggezet naar %1 omdat het aan deze klant gekoppelde bedrijf niet bestaat."
"Page not found.","Pagina niet gevonden."
"Something went wrong. Please try again later.","Er ging iets mis. Probeer het later opnieuw."
"History record no longer exists.","Geschiedenis-item bestaat niet meer."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Kan momenteel geen valutakoersen opvragen. Probeer het later opnieuw of neem contact op met de winkelbeheerder."
"A total of %1 record(s) were updated.","In totaal zijn %1 record(s) bijgewerkt."
"Unable to convert company credit. Please try again later or contact store administrator.","Kan bedrijfskrediet niet converteren. Probeer het later opnieuw of neem contact op met de winkelbeheerder."
"Company Credit","Bedrijfskrediet"
"Order Payment should be provided","Betaling van bestelling moet worden opgegeven"
"Order is canceled. We reverted %1 to the company credit.","Bestelling is geannuleerd. We hebben %1 teruggezet naar het bedrijfskrediet."
"Order is canceled. The order amount is not reverted to the company credit.","Bestelling is geannuleerd. Het orderbedrag wordt niet teruggezet aan het bedrijfskrediet."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Bestelling is geannuleerd. Het orderbedrag wordt niet teruggezet naar het bedrijfskrediet omdat het bedrijf waartoe deze klant behoort niet bestaat."
"unavailable.","niet beschikbaar."
"We can't save the credit memo because the company associated with this customer does not exist.","We kunnen de creditnota niet opslaan omdat het bedrijf dat aan deze klant is gekoppeld niet bestaat."
"We can't save the credit memo because the company associated with customer is not active.","We kunnen de creditnota niet opslaan omdat het bedrijf dat aan de klant is gekoppeld niet actief is."
"Yes","Ja"
"No","Nee"
"The requested Payment Method is not available.","De gevraagde betaalmethode is niet beschikbaar."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Betaling op rekening kan niet worden toegepast voor deze bestelling, omdat het orderbedrag hoger is dan je krediet."
"Cannot process the request. Please check the operation type and try again.","Kan het verzoek niet verwerken. Controleer het type bewerking en probeer het opnieuw."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Ongeldig attribuut waarde. Regel ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is verplicht. Voer in en probeer het nogmaals."
"The selected currency is not available. Please select a different currency.","De geselecteerde valuta is niet beschikbaar. Selecteer een andere valuta."
"Could not update history","Geschiedenis kon niet worden bijgewerkt"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Bedrijf is niet gevonden. Rij-ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Kan kredietlimiet met id %1 niet verwijderen"
"Allocated","Toegewezen"
"Updated","Bijgewerkt"
"Purchased","Gekocht"
"Reimbursed","Vergoed"
"Refunded","Teruggestort"
"Reverted","Terugstellen"
"Could not save history","Kon geschiedenis niet opslaan"
"Cannot delete history with id %1","Kon geschiedenis-item met ID %1 niet verwijderen"
"No such entity with %fieldName = %fieldValue","Geen dergelijke entiteit met %fieldName = %fieldValue"
"Could not save company credit limit","Kon de limiet voor bedrijfskrediet niet opslaan"
"Invalid value of ""%value"" provided for the %fieldName field.","Ongeldige waarde voor ""% value"" opgegeven voor het %fieldName veld."
"Please enter a valid %1/%2 currency rate.","Voer een geldige %1/%2 valuta koers in."
"Invoice created for %1","Factuur aangemaakt voor %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","De geselecteerde kredietvaluta is niet geldig.
                         Klanten kunnen geen bestellingen plaatsen totdat je de kredietvaluta heeft bijgewerkt."
"Store Credit","Winkeltegoed"
"Refund to Company Credit","Terugstorten naar bedrijfskrediet"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","We hebben %1 online terugbetaald."
"We refunded %1 offline.","We hebben %1 offline terugbetaald."
"We refunded %1 to the company credit.","We hebben %1 terugbetaald naar het bedrijfskrediet."
"Exception message.","Foutmelding."
"Exception Message","Foutmelding"
"No such entity","Entiteit bestaat niet"
"Edit","Bewerken"
"%1 made an update. %2 can exceed the Credit Limit.","%1 heeft een update gemaakt. %2 kan de kredietlimiet overschrijden."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 heeft een update gemaakt. %2 kan de kredietlimiet niet overschrijden."
"Order # %1","Bestelling # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 heeft de kredietvaluta gewijzigd van %2 in %3 bij de conversie koers van %2 /%3 %4."
"Outstanding Balance:","Openstaand saldo:"
"Available Credit:","Beschikbaar krediet:"
"Credit Limit:","Kredietlimiet:"
"Purchase Order Number","Purchase Order Number"
"Charged off the company credit: %1","Afgeschreven van het bedrijfskrediet: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
