"Reimburse Balance","Refundere balanse"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Er du sikker på at du vil fjerne denne bestillingen? Bestillingsbeløpet vil ikke bli tilbakestilt til %1 fordi selskapet ikke er aktivt."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Er du sikker på at du vil fjerne denne bestillingen? Bestillingsbeløpet vil ikke bli tilbakestilt til %1 fordi selskapet tilknyttet denne kunden ikke finnes."
"Page not found.","Siden finnes ikke."
"Something went wrong. Please try again later.","Noe gikk galt. Prøv på nytt senere."
"History record no longer exists.","Historie posten finnes ikke lenger."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Kan ikke hente valutakurser for øyeblikket. Prøv igjen senere eller kontakt butikken administrator."
"A total of %1 record(s) were updated.","Totalt %1 post(er) ble oppdatert."
"Unable to convert company credit. Please try again later or contact store administrator.","Unable to convert company credit. Please try again later or contact store administrator."
"Company Credit","Selskap kreditt"
"Order Payment should be provided","Order Payment should be provided"
"Order is canceled. We reverted %1 to the company credit.","Ordren er annullert. Vi tilbakeførte %1 til selskapet kreditt."
"Order is canceled. The order amount is not reverted to the company credit.","Ordren er annullert. Ordre beløpet er ikke tilbakestilt til selskapets kreditt."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Bestillingen er kansellert. Ordre beløpet tilbakestilles ikke til selskapets kreditt, fordi selskapet som kunden tilhører ikke finnes."
"unavailable.","utilgjengelig."
"We can't save the credit memo because the company associated with this customer does not exist.","Vi kan ikke lagre kreditnotet fordi selskapet tilknyttet denne kunden ikke finnes."
"We can't save the credit memo because the company associated with customer is not active.","Vi kan ikke lagre kreditnotaen fordi selskapet forbundet med kunden ikke er aktiv."
"Yes","Ja"
"No","Nei"
"The requested Payment Method is not available.","Den angitte betalingsmetoden er ikke tilgjengelig."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Betaling på konto kan ikke brukes for denne ordren fordi ditt ordrebeløp overstiger ditt kreditbeløp."
"Cannot process the request. Please check the operation type and try again.","Kan ikke behandle forespørselen. Kontroller operasjonstype og prøv på nytt."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Ugyldig attributtverdi. Rad-ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
