"Reimburse Balance","残高を払い戻す"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","この注文をキャンセルしてもよろしいですか？会社がアクティブではないので、注文金額は%1に戻されません。"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","この注文をキャンセルしてもよろしいですか？この顧客に関連づけられた会社が存在しないので、注文金額は%1に戻されません。"
"Page not found.","ページが見つかりません。"
"Something went wrong. Please try again later.","問題が発生しました。後で再度お試し下さい。"
"History record no longer exists.","履歴レコードは存在しません。"
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","現在通貨レートを取得できません。再度お試しいただくか、店舗管理者にお問い合わせください。"
"A total of %1 record(s) were updated.","合計 %1 のレコードがアップデートされました。"
"Unable to convert company credit. Please try again later or contact store administrator.","店舗クレジットを変換できません。再度お試しいただくか、店舗管理者にお問い合わせ下さい。"
"Company Credit","会社クレジット"
"Order Payment should be provided","注文のお支払いを提供する必要があります"
"Order is canceled. We reverted %1 to the company credit.","注文はキャンセルされます。 %1を会社のクレジットに戻しました。"
"Order is canceled. The order amount is not reverted to the company credit.","注文はキャンセルされます。 注文金額は会社のクレジットに戻されません。"
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","注文はキャンセルされます。 この顧客が所属する会社が存在しないため、注文金額は会社のクレジットに戻されません。"
"unavailable.","利用不可"
"We can't save the credit memo because the company associated with this customer does not exist.","この顧客に関連づけられた会社が存在しないため、クレジットメモを保存できません。"
"We can't save the credit memo because the company associated with customer is not active.","顧客に関連づけられた会社がアクティブでないため、クレジットメモを保存できません。"
"Yes","Yes"
"No","No"
"The requested Payment Method is not available.","指定された決済方法は利用できません。"
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","ご注文金額がお客様のクレジット額を超えているため、この注文に内金支払いはご利用いただけません。"
"Cannot process the request. Please check the operation type and try again.","リクエストを処理できません。 操作の種類を確認して、再度お試し下さい。"
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","不正な属性値。行ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" は必須です。入力して再度お試し下さい。"
"The selected currency is not available. Please select a different currency.","選択した通貨は利用できません。 別の通貨を選択してください。"
"Could not update history","履歴を更新できませんでした"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","要求された会社が見つかりません。行ID: %fieldName = %fieldValue"
"Cannot delete credit limit with id %1","id %1 の与信限度を削除できません"
"Allocated","割り当て済み"
"Updated","更新"
"Purchased","購入済み"
"Reimbursed","払い戻し済み"
"Refunded","返金"
"Reverted","回復済"
"Could not save history","履歴を保存できませんでした"
"Cannot delete history with id %1","id %1 の履歴ログを削除できません"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValueのエンティティはありません"
"Could not save company credit limit","会社の与信限度を保存できませんでした"
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldNameフィールドに指定された ""%value"" の値が無効です。"
"Please enter a valid %1/%2 currency rate.","有効な %1/%2 通貨レートを入力して下さい。"
"Invoice created for %1","%1に対して作成された請求書"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","選択した信用通貨は無効です。 
                        顧客は、信用通貨を更新するまで注文を行うことができません。"
"Store Credit","ストアクレジット"
"Refund to Company Credit","会社クレジットに返金する"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","%1 をオンラインで返金しました。"
"We refunded %1 offline.","%1をオフラインで返金しました。"
"We refunded %1 to the company credit.","%1 を会社のクレジットに返金しました。"
"Exception message.","例外メッセージ。"
"Exception Message","例外メッセージ"
"No such entity","そのようなエンティティはありません"
"Edit","編集"
"%1 made an update. %2 can exceed the Credit Limit.","%1が更新されました。 %2は与信限度を超えることができます。"
"%1 made an update. %2 cannot exceed the Credit Limit.","%1が更新されました。 %2は与信限度を越えることはできません。"
"Order # %1","注文 # %1"
