"Reimburse Balance","Nadoknadi saldo"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Da li ste sigurni želite da cancel this order? The order amount will not be reverted to %1 because the company is not active."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Da li ste sigurni želite da cancel this order? The order amount will not be reverted to %1 because the company associated with this customer ne postoji."
"Page not found.","Stranica nije pronađena."
"Something went wrong. Please try again later.","Nešto nije u redu. Pokušajte ponovo later."
"History record no longer exists.","Zapis istorije više ne postoji."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Nije moguće retrieve currency rates at this moment. Pokušajte ponovo later or contact store administrator."
"A total of %1 record(s) were updated.","Ukupno %1 zapis(a) je ažurirano."
"Unable to convert company credit. Please try again later or contact store administrator.","Nije moguće convert company credit. Pokušajte ponovo later or contact store administrator."
"Company Credit","Kredit kompanije"
"Order Payment should be provided","Plaćanje porudžbine treba da bude obezbeđeno"
"Order is canceled. We reverted %1 to the company credit.","Porudžbina is canceled. We reverted %1 to the company credit."
"Order is canceled. The order amount is not reverted to the company credit.","Porudžbina is canceled. The order amount is not reverted to the company credit."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Porudžbina is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs ne postoji."
"unavailable.","unavailable."
"We can't save the credit memo because the company associated with this customer does not exist.","We can't save the credit memo because the company associated with this customer ne postoji."
"We can't save the credit memo because the company associated with customer is not active.","We can't save the credit memo because the company associated with customer is not active."
"Yes","Da"
"No","Ne"
"The requested Payment Method is not available.","The requested Plaćanje Method is not available."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Plaćanje Uključeno Nalog ne može be used for this order because your order amount exceeds your credit amount."
"Cannot process the request. Please check the operation type and try again.","Ne može process the request. Please check the operation type and pokušajte ponovo."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Neispravan attribute value. Row ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%imePolja"" je obavezno. Unesite i probajte ponovo."
"The selected currency is not available. Please select a different currency.","The selected currency is not available. Molimo izaberite a different currency."
"Could not update history","Nije mogao update history"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Requested company is nije pronađeno. Row ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Ne može delete credit limit with id %1"
"Allocated","Dodeljeno"
"Updated","Ažuriran"
"Purchased","Naručeno"
"Reimbursed","Nadoknađeno"
"Refunded","Povraćen novac"
"Reverted","Vraćeno na staro"
"Could not save history","Nije mogao save history"
"Cannot delete history with id %1","Ne može delete history with id %1"
"No such entity with %fieldName = %fieldValue","Ne postoji entitet sa %fieldName = %fieldValue"
"Could not save company credit limit","Nije mogao save company credit limit"
"Invalid value of ""%value"" provided for the %fieldName field.","Neispravna vrednost u ""%value"" obezbeđenoj za %fieldName polje."
"Please enter a valid %1/%2 currency rate.","Molimo unesite a valid %1/%2 currency rate."
"Invoice created for %1","Faktura created for %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","Izabrana kreditna valuta nije važeća. 
                        Kupci neće moći da naručuju dok ne ažurirate kreditnu valutu."
"Store Credit","Kredit Prodavnice"
"Refund to Company Credit","Refundiraj na kredit kompanije"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities ne može be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"We refunded %1 to the company credit.","We refunded %1 to the company credit."
"Exception message.","Exception message."
"Exception Message","Exception Message"
"No such entity","Entitet ne postoji"
"Edit","Izmeni"
"%1 made an update. %2 can exceed the Credit Limit.","%1 made an update. %2 can exceed the Credit Limit."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 made an update. %2 ne može exceed the Credit Limit."
"Order # %1","Porudžbina #%1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4."
"Outstanding Balance:","Nepodmireni saldo:"
"Available Credit:","Raspoloživi kredit:"
"Credit Limit:","Kreditni limit:"
"Purchase Order Number","Broj nabavne porudžbine"
"Charged off the company credit: %1","Charged off the company credit: %1"
"Purchase Order Number: %1","Purchase Porudžbina Number: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","Osnovna valuta za %1 je ažurirana. Valuta %2 je i dalje definisana kao kreditna valuta za jednu ili više kompanija. Koristite sledeći <a href=""%3"" id=""update-credit-link"">link</a> da izvršite grupnu operaciju koja ažurira kreditnu valutu za te kompanije."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3"
"Outstanding Balance","Nepodmireni saldo"
"Available Credit","Raspoloživi kredit"
"Credit Limit","Kreditni limit"
"Charged off the company credit","Naplaćeno sa kredita kompanije"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","The Kompanija credit on all selected companies will be converted using the rate below. This operation ne može be undone."
"Credit allocated to %company_name","Credit allocated to %company_name"
"Dear %name,","Dear %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Vašoj kompaniji je dodeljen kredit od %available_credit.
    Sada možete koristiti metod plaćanja na račun za naručivanje."
"The history of your credit operations is available on the Company Credit page.","The history of your credit operations is available on the Kredit kompanije page."
"%company_name account reimbursed","%company_name account reimbursed"
"Your company credit account has been reimbursed by %reimbursed_amount.","Your company credit account je reimbursed by %reimbursed_amount."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"%company_name credit limit updated","%company_name credit limit updated"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Vaš kreditni limit je ažuriran i sada iznosi %available_credit.
    Vaše neizmireno stanje trenutno iznosi %outstanding_balance. Možete %exceed_limit da prekoračite kreditni limit."
"Order %order_id refunded","Porudžbina %order_id refunded"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","A refund of %refunded_amount je issued on order #%order_id. This amount je applied to the company credit."
"Order %order_id reverted","Porudžbina %order_id reverted"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Your order #%order_id je cancelled. The order amount reverted to the company credit."
"Available Credit ","Raspoloživi kredit"
"The Payment on Account method is not available in the selected currency. Please contact the seller.","The Plaćanje on Nalog method is not available in the selected currency. Please contact the seller."
"Company credit account will be charged: ","Kreditni račun kompanije će biti zadužen:"
"Place Order","Postavite porudžbinu"
"Cancel the Order","Otkaži porudžbinu"
"This is a required field.","Ovo polje je neophodno."
"Please enter a valid number in this field.","Molimo unesite važeći broj u ovo polje."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Rate"
"Reimburse","Nadoknadi"
"Save","Sačuvaj"
