"Reimburse Balance","Rozlicz saldo"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Czy na pewno chcesz anulować zamówienie? Wartość zamówienia nie zostanie zwrócona %1, ponieważ konto firmy nie jest aktywne."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Czy na pewno chcesz anulować zamówienie? Wartość zamówienie nie będzie zwrócona na konto kredytowe %1, ponieważ konto firmy powiązane z tym kątem już nie istnieje."
"Page not found.","Nie znaleziono strony."
"Something went wrong. Please try again later.","Coś poszło nie tak. Proszę spróbować później."
"History record no longer exists.","Zapis historii już nie istnieje."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","W tej chwili nie można pobrać kursów walut. Spróbuj ponownie później lub skontaktuj się z administratorem sklepu."
"A total of %1 record(s) were updated.","(%1) wpisów zostało zaktualizowanych."
"Unable to convert company credit. Please try again later or contact store administrator.","Nie można przekonwertować kredytu firmowego. Spróbuj ponownie później lub skontaktuj się z administratorem sklepu."
"Company Credit","Limit kredytowy firmy"
"Order Payment should be provided","Należy dostarczyć płatność za zamówienie"
"Order is canceled. We reverted %1 to the company credit.","Zamówienie anulowano. Zwrócono %1 na firmowe konto kredytowe."
"Order is canceled. The order amount is not reverted to the company credit.","Zamówienie anulowano. Wartość zamówienia nie została zwrócona na firmowe konto kredytowe."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Zamówienie anulowano. Wartość zamówienie nie będzie zwrócona na konto kredytowe firmy, ponieważ konto firmy powiązane z tym kątem już nie istnieje."
"unavailable.","niedostępny."
"We can't save the credit memo because the company associated with this customer does not exist.","Nie można zapisać faktury korygującej, ponieważ nie istnieje konto firmowe powiązane z tym użytkownikiem."
"We can't save the credit memo because the company associated with customer is not active.","Nie można zapisać faktury korygującej, ponieważ konto firmowe powiązane z tym użytkownikiem nie jest aktywne."
"Yes","Tak"
"No","Nie"
"The requested Payment Method is not available.","Wybrana metoda płatności nie jest dostępna."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Płatność limitem kredytowym nie może zostać użyta, ponieważ wartość Twojego zamówienia przekracza dostępny limit kredytowy."
"Cannot process the request. Please check the operation type and try again.","Nie można przetworzyć żądania. Sprawdź typ operacji i spróbuj ponownie."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Nieprawidłowa wartość atrybutu. Identyfikator wiersza: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","Pole ""%fieldName"" jest wymagane. Uzupełnij i spróbuj ponownie."
"The selected currency is not available. Please select a different currency.","Wybrana waluta nie jest dostępna. Proszę wybierz inną walutę."
"Could not update history","Nie można zaktualizować historii"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Firma nie została znaleziona. rekord ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Nie można usunąć limit kredytowego o id %1"
"Allocated","Przydzielono"
"Updated","Zaktualizowano"
"Purchased","Zakupiono"
"Reimbursed","Rozliczono"
"Refunded","Zwrócone"
"Reverted","Odwrócony"
"Could not save history","Nie można zapisać historii"
"Cannot delete history with id %1","Nie można usunąć historii o id %1"
"No such entity with %fieldName = %fieldValue","Nie znaleziono %fieldName = %fieldValue"
"Could not save company credit limit","Nie można zapisać limitu kredytowego firmy"
"Invalid value of ""%value"" provided for the %fieldName field.","Nieprawidłowa wartość ""%value"" przewidziana polu %fieldname."
"Please enter a valid %1/%2 currency rate.","Wprowadź prawidłowy kurs waluty %1/%2."
"Invoice created for %1","Utworzono fakturę dla %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","Wybrana waluta limitu kredytowego nie jest poprawna. 
                        Zaktualizuj walutę limitu kredytowego aby klienci mogli składać zamówienia."
"Store Credit","Kredyt w sklepie"
"Refund to Company Credit","Zwrot na limit kredytowy firmy"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","Dla tego zamówienia nie można wystawić faktury za częściowe ilości. Aby kontynuować, zmień określoną ilość na pełną."
"We refunded %1 online.","Zwracamy %1 online."
"We refunded %1 offline.","Zwracamy %1 online."
"We refunded %1 to the company credit.","Zwrócono %1 na firmowe konto kredytowe."
"Exception message.","Komunikat wyjątku."
"Exception Message","Komunikat wyjątku"
"No such entity","Brak tego obiektu"
"Edit","Edytuj"
"%1 made an update. %2 can exceed the Credit Limit.","%1 dokonał aktualizacji. %2 może przekroczyć limit kredytowy."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 dokonał aktualizacji. %2 nie może przekroczyć limitu kredytowego."
"Order # %1","Zamówienie #%1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 zmienił walutę kredytu z %2 na %3 po kursie wymiany %2/%3 %4."
"Outstanding Balance:","Saldo:"
"Available Credit:","Dostępny limit kredytowy:"
"Credit Limit:","Limit kredytowy:"
"Purchase Order Number","Numer zamówienia"
"Charged off the company credit: %1","Obciążenie kredytu firmowego: %1"
"Purchase Order Number: %1","Numer zamówienia: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","Waluta bazowa dla %1 została zaktualizowana. Waluta %2 jest nadal zdefiniowana jako waluta kredytu dla jednej lub więcej firm. Użyj następującego <a href=""%3"" id=""update-credit-link"">linku</a>, aby wykonać operację zbiorczą, która zaktualizuje walutę kredytu dla tych firm."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","Klient %1 przekroczył swój limit kredytowy (%2) o %3. Saldo zadłużenia, łącznie z tym zamówieniem, wynosi obecnie %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","Limit kredytowy dla %1 wynosi %2. Saldo zadłużenia, łącznie z tym zamówieniem, wynosi obecnie %3"
"Outstanding Balance","Saldo"
"Available Credit","Dostępne Kredyty"
"Credit Limit","Limit kredytowy"
"Charged off the company credit","Obciążenie kredytu firmowego"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Kredyt firmowy dla wszystkich wybranych firm zostanie przeliczony według poniższej stawki. Operacji tej nie można cofnąć."
"Credit allocated to %company_name","Kredyt przydzielony dla %company_name"
"Dear %name,","Witaj %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Twojej firmie został przydzielony kredyt w wysokości %available_credit.
    Możesz teraz korzystać z metody płatności na konto, aby składać zamówienia."
"The history of your credit operations is available on the Company Credit page.","Historia operacji kredytowych jest dostępna na stronie Limit kredytowy firmy."
"%company_name account reimbursed","%company_name konto zostało rozliczone"
"Your company credit account has been reimbursed by %reimbursed_amount.","Twoje firmowe konto kredytowe zostało rozliczone kwotą %reimbursed_amount."
"If you have any questions, please contact the seller.","Jeśli masz jakiekolwiek pytania, skontaktuj się z sprzedawcą."
"%company_name credit limit updated","Limit kredytowy firmy %company_name został zaktualizowany"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Twój limit kredytowy został zaktualizowany i aktualnie wynosi %available_credit.
    Twoje saldo aktualnie wynosi %outstanding_balance. Jesteś %exceed_limit do przekroczenia limitu kredytowego."
"Order %order_id refunded","Zamówienie %order_id zwrócone"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Zwrot %refunded_amount został wydany dla zamówienia #%order_id. Kwota ta została zastosowana do kredytu firmowego."
"Order %order_id reverted","Zamówienie %order_id zostało cofnięte"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Twoje zamówienie #%order_id zostało anulowane. Kwota zamówienia została przywrócona do kredytu firmowego."
"Available Credit ","Dostępny limit kredytowy "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Płatność limitem kredytowym nie jest dostępna dla wybranej waluty. Proszę skontaktuj się z sprzedawcą."
"Company credit account will be charged: ","Firmowe konto kredytowe zostanie obciążone: "
"Place Order","Złóż zamówienie"
"Cancel the Order","Anuluj zamówienie"
"This is a required field.","To jest wymagane pole."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Stawka"
"Reimburse","Rozlicz"
"Save","Zapisz"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z), cyfr (0-9), myślnika (-) lub ukośnika (/) w tym polu."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","Limit kredytowy dla %s wynosi %s. W przypadku tego zamówienia zostanie on przekroczony o %s."
"Payment on Account","Płatność limitem kredytowym"
"Enabled","Włączone"
"New Order Status","Status nowego zamówienia"
"Sort Order","Kolejność sortowania"
"Title","Tytuł"
"Payment from Applicable Countries","Płatność ze stosownych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Minimum Order Total","Minimalna suma zamówienia"
"Maximum Order Total","Maksymalna suma zamówienia"
"Company Credit Change Email Sender","Nadawca wiadomości e-mail o zmianie kredytu firmowego"
"Send Company Credit Change Email Copy To","Wyślij kopię wiadomości e-mail z informacją o zmianie kredytu firmowego do"
"Comma-separated","Oddzielone przecinkami"
"Send Email Copy Method","Metoda wysyłki kopii e-mail"
"Allocated Email Template","Szablon email przydzielenia limitu kredytowego"
"This email is sent to the Company Admin.","Wiadomość została wysłana do administratora firmy."
"Updated Email Template","Zaktualizowany szablon wiadomości e-mail"
"Reimbursed Email Template","Szablon email rozliczenia"
"Refunded Email Template","Szablon wiadomości e-mail z refundacją"
"Reverted Email Template","Przywrócony szablon wiadomości e-mail"
"View","Zobacz"
"Credit Currency","Waluta kredytu"
"Allow To Exceed Credit Limit","Pozwól na przekroczenie limitu kredytowego"
"Reason For Change","Powód zmiany"
"Amount","Kwota"
"
                            Limit one PO number per reimburse transaction
                        ","
                            Limit jednego numeru PO na transakcję zwrotu kosztów
                        "
"
                                Maximum 255 characters are allowed.
                        ","                                Maksymalnie 255 znaków jest dozwolone.
                        "
"Comment","Komentarz"
"Rate","Stawka"
"Convert Credit","Konwertuj kredyt"
"Date","Data"
"Operation","Operacja"
"Updated By","Zaktualizowane przez"
"Purchase Order","Zamówienie"
"You will be charged for","Zostanie naliczona opłata za"
"Order Total","Podsumowanie"
"%fieldName is a required field.","%fieldName jest polem wymaganym."
