"Admin Actions Log Archive","Admin åtgärder Log Arkiv"
"Back","Tillbaka"
"Log Entry #%1","Loggpost #%1"
"Log Entry Details","Loggpost Detaljer"
"Source Data","Källdata"
"Value Before Change","Värde före förändring"
"Value After Change","Värde efter förändring"
"No changes","Inga ändringar"
"The item was deleted","Objektet har tagits bort"
"N/A","Ej tillgängligt"
"All Users","Alla användare"
"Admin Actions Log","Åtgärdslog för administratör"
"Admin Actions Archive","Arkiv för adminåtgärder"
"Report","Rapport"
"label","etikett"
"actions' 'label","åtgärder ' etikett"
"%1 & applied","%1 & tillämpas"
"Tax Rates Import","Importera Skattesatser"
"Attributes Updated","Attribut som uppdaterats"
"Currency Rates Saved","Sparade valutakurser"
"Cache types: %1 ","Cache typer %1 "
"Tax Rates Export","Exportera skattesattser"
"Unknown callback function: %1::%2","Okänd callback funktion: %1::%2"
"You need more permissions to access this.","You need more permissions to access this."
"Success","Klart"
"Failure","Failure"
"Daily","Dagligen"
"Weekly","Veckovis"
"Monthly","Månatligen"
"This user is locked","This user is locked"
"Admin User Data","Admin User Data"
"Aggregated Information","Aggregated Information"
"Admin User ID","Admin User ID"
"Admin User Name","Admin User Name"
"IP-Address","IP-adress"
"X-Forwarded For","X-Forwarded For"
"Error Message","Error Message"
"Related Changes","Related Changes"
"Logging","Loggar"
"Action Log","Åtgärdslogg"
"Archive","Arkiv"
"Action Logs","Action Logs"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
"1","1"
"View","Visa"
"Save","Spara"
"Delete","Ta bort"
"Mass Delete","Mass Delete"
"Export","Export"
"Import","Importera"
"Edit","Redigera"
"Mass Update","Mass Update"
"Move","Flytta"
"New","Ny"
"Forgot Password","Glömt lösenord"
"Global Search","Global sökning"
"Apply","Tillämpa"
"Reorder","Beställ igen"
"Print","Skriv ut"
"Email","E-post"
"Run","Kör"
"Rollback","Rollback"
"Reindex Process","Reindex Process"
"Clean","Ren"
"Flush","Flush"
"Fetch","Hämta"
"Update Payment","Update Payment"
"Update State","Update State"
"Login","Logga in"
"Send","Send"
"Create","Skapa"
"Catalog Products","Catalog Products"
"Catalog Categories","Catalog Categories"
"URL Rewrites","URL Rewrites"
"Catalog Search","Katalogsökning"
"Catalog Ratings","Catalog Ratings"
"Catalog Reviews","Catalog Reviews"
"Catalog Attributes","Catalog Attributes"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Admin Sign In"
"CMS Pages","CMS-sidor"
"CMS Blocks","CMS Blocks"
"Customers","Kunder"
"Customer Groups","Kundgrupper"
"Reports","Rapporter"
"System Configuration","System Configuration"
"Catalog Price Rules","Catalog Price Rules"
"Cart Price Rules","Varukorg pris regler"
"Admin My Account","Admin My Account"
"Newsletter Queue","Newsletter Queue"
"Newsletter Templates","Nyhetsbrev mallar"
"Newsletter Subscribers","Newsletter Subscribers"
"Sales Orders","Sales Orders"
"Sales Order Status","Sales Order Status"
"Sales Invoices","Sales Invoices"
"Sales Shipments","Sales Shipments"
"Sales Credit Memos","Sales Credit Memos"
"Checkout Terms and Conditions","Allmänna villkor för checkout"
"Admin Permission Roles","Admin Permission Roles"
"Admin Permission Users","Admin Permission Users"
"Manage Websites","Manage Websites"
"Manage Stores","Hantera butiker"
"Manage Store Views","Manage Store Views"
"Manage Design","Manage Design"
"Manage Currency Rates","Hantera valutakurser"
"Transactional Emails","Transaktionella mail"
"Custom Variables","Anpassade variabler"
"System Backups","System Backups"
"Customer Tax Classes","Customer Tax Classes"
"Catalog Product Tax Classes","Catalog Product Tax Classes"
"Tax Rules","Momsregler"
"Tax Rates","Tax Rates"
"XML Sitemap","XML-Sitemap"
"Widget","Widget"
"Cache Management","Cache lagringen"
"PayPal Settlement Reports","PayPal Settlement Reports"
"Archive File","Archive File"
"Date","Datum"
"CSV","CSV"
"Excel XML","Excel XML"
"Time","Tid"
"Action Group","Åtgärdsgrupp"
"Action","Åtgärd"
"IP Address","IP-adress"
"Username","Användarnamn"
"Result","Result"
"Full Action Name","Full Action Name"
"Details","Detaljer"
"Full Details","Full Details"
"Index Management","Index Management"
"More permissions are needed to access this.","More permissions are needed to access this."
"Bulk Actions","Bulk Actions"
