"Save Currency Rates","Αποθήκευση Ισοτιμιών Νομισμάτων"
"Options","Επιλογές"
"Reset","Επαναφορά"
"Import","Εισαγωγή"
"Manage Currency Rates","Διαχείριση Ισοτιμιών Νομισμάτων"
"Import Service","Εισαγωγή Υπηρεσίας"
"Save Currency Symbols","Αποθηκεύσετε τα σύμβολα νομισματικών μονάδων"
"Currency Symbols","Σύμβολα Νομισμάτων"
"Use Standard","Χρήση τυπικού"
"Please specify a correct Import Service.","Παρακαλείστε να προσδιορίσετε μια σωστή υπηρεσία εισαγωγής."
"We can't initialize the import model.","Δεν μπορεί να προετοιμάσει το μοντέλο εισαγωγής."
"Click ""Save"" to apply the rates we found.","Κάντε κλικ στο κουμπί ""Αποθήκευση"" για να εφαρμόσετε τα ποσοστά που βρήκαμε."
"Currency Rates","Ισοτιμίες νομισμάτων"
"Please correct the input data for ""%1 => %2"" rate.","Παρακαλώ διορθώστε τα δεδομένα εισόδου για ""%1 => %2"" ποσοστό."
"All valid rates have been saved.","Όλες οι έγκυρες τιμές είναι αποθηκευμένες."
"System","Σύστημα"
"You applied the custom currency symbols.","Εφαρμόσατε τα σύμβολα του προσαρμοσμένου νομίσματος."
"You must first configure currency options before being able to see currency rates.","Πρέπει πρώτα να ρυθμίσετε τις επιλογές νομίσματος πριν να είναι σε θέση να δείτε τις συναλλαγματικές ισοτιμίες."
"Old rate:","Παλιά τιμή:"
"Currency","Νόμισμα"
"Please correct the input data for %1 => %2 rate","Παρακαλώ διορθώστε τα δεδομένα εισόδου για %1 => %2 ποσοστό"
"The Import Service is incorrect. Verify the service and try again.","Η Υπηρεσία Εισαγωγής είναι εσφαλμένη. Επαληθεύστε την υπηρεσία και δοκιμάστε ξανά."
"The import model can't be initialized. Verify the model and try again.","Το μοντέλο εισαγωγής δεν μπορεί να προετοιμαστεί. Επαληθεύστε το μοντέλο και δοκιμάστε ξανά."
