"Save Currency Rates","לשמור את שערי החליפין"
"Options","אפשרויות"
"Reset","איפוס"
"Import","ייבא"
"Manage Currency Rates","לנהל את שערי החליפין"
"Import Service","שירות ייבוא"
"Save Currency Symbols","להציל את סמלי המטבע"
"Currency Symbols","סמלי המטבע"
"Use Standard","שימוש רגיל"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","לחץ על 'שמור' כדי להחיל את התעריפים שמצאנו."
"Currency Rates","שערי החליפין"
"Please correct the input data for ""%1 => %2"" rate.","נא תקן את נתוני נקלט עבור %1 => %2 קצב."
"All valid rates have been saved.","כל המחירים בתוקף נשמרו."
"System","מערכת"
"You applied the custom currency symbols.","החלת את סמלי המטבע המותאמים אישית."
"You must first configure currency options before being able to see currency rates.","יש להגדיר אפשרויות מטבע תחילה לפני שהוא יוכל לראות את שערי החליפין."
"Old rate:","דירוג ישן:"
"Currency","מטבע"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
