"Save Currency Rates","Döviz kurlarını kaydet"
"Options","Seçenekler"
"Reset","Sıfırla"
"Import","Veri Al"
"Manage Currency Rates","Döviz Kurlarını Yönet"
"Import Service","İçeri Aktarma Hizmeti"
"Save Currency Symbols","Para Birimi Sembollerini Kaydet"
"Currency Symbols","Para birimi simgeleri"
"Use Standard","Standardı Kullan"
"Please specify a correct Import Service.","Lütfen doğru İçeri Aktarma servisi belirtin."
"We can't initialize the import model.","İçe aktarma modelini başlatamıyoruz."
"Click ""Save"" to apply the rates we found.","Bulduğumuz oranları uygulamak için ""Kaydet"" düğmesine tıklayın."
"Currency Rates","Döviz kurları"
"Please correct the input data for ""%1 => %2"" rate.","Lütfen %1 => %2 oranı için giriş verilerini düzeltin."
"All valid rates have been saved.","Bütün geçerli oranlar kaydedildi."
"System","Sistem"
"You applied the custom currency symbols.","Özel para birimi simgelerini uyguladınız."
"You must first configure currency options before being able to see currency rates.","Önce para birimi oranlarını görebilmek için para birimi seçeneklerini yapılandırmanız gerekir."
"Old rate:","Eski oran:"
"Currency","Para Birimi"
"Please correct the input data for %1 => %2 rate","Lütfen %1 => %2 oranı için giriş verilerini düzeltin"
"The Import Service is incorrect. Verify the service and try again.","Veri alma servisi yanlış. Servisi doğrulayıp yeniden deneyiniz."
"The import model can't be initialized. Verify the model and try again.","Veri alma modeli başlatılamadı. Modeli doğrulayıp yeniden deneyiniz."
