"Save Currency Rates","حفظ أسعار العملات"
"Options","الخيارات"
"Reset","اعادة ضبط"
"Import","استيراد"
"Manage Currency Rates","إدارة أسعار العملات"
"Import Service","خدمة الاستيراد"
"Save Currency Symbols","حفظ رموز العملات"
"Currency Symbols","رمز العملة"
"Use Standard","استخدام معيار"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","انقر فوق ""حفظ"" لتطبيق المعدلات التي وجدناها."
"Currency Rates","أسعار العملات"
"Please correct the input data for ""%1 => %2"" rate.","الرجاء تصحيح البيانات المدخلة ل %1 => معدل %2."
"All valid rates have been saved.","تم حفظ كل الأسعار الصحيحة."
"System","النظام"
"You applied the custom currency symbols.","قمت بتطبيق رموز العملة المخصصة."
"You must first configure currency options before being able to see currency rates.","يجب عليك أولاً تكوين خيارات العملة قبل التمكن من معرفة أسعار العملات."
"Old rate:","معدل العمر:"
"Currency","العملة"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
