"Save Currency Rates","Сачувај Валуте"
"Options","Опције"
"Reset","Ресетовати"
"Import","Увести"
"Manage Currency Rates","Управљање Стопама Валуте"
"Import Service","Увези Сервисе"
"Save Currency Symbols","Сачувај Симболе Валуте"
"Currency Symbols","Симболи Валуте"
"Use Standard","Користи Стандард"
"Please specify a correct Import Service.","Молимо наведите а цоррецт Увези Сервице."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Кликните ""Саве"" да бисте применили стопе које смо пронашли."
"Currency Rates","Стопе Валута"
"Please correct the input data for ""%1 => %2"" rate.","Молимо коригујте унете податке из ""%1 => %2"" стопе."
"All valid rates have been saved.","Све валидне стопе су сачуване."
"System","Систем"
"You applied the custom currency symbols.","Применили сте прилагођене симболе валуте."
"You must first configure currency options before being able to see currency rates.","Прво морате конфигурисати опције валута, пре него што можете видети стопе валута."
"Old rate:","Стара стопа:"
"Currency","Валута"
"Please correct the input data for %1 => %2 rate","Молимо исправите тхе инпут дата фор %1 => %2 рате"
"The Import Service is incorrect. Verify the service and try again.","Сервис за Увоз није исправан. Провери сервис и покушај поново."
"The import model can't be initialized. Verify the model and try again.","Модел увоза не може бити иницијализован. Проверите модел и покушајте поново."
