"Static Blocks","بلوک های ایستا"
"Add New Block","افزودن بلوک جدید"
"Back","بازگشت"
"Delete Block","حذف بلاک"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"ID","شناسه"
"Title","عنوان"
"Identifier","شناسه"
"Status","وضعيت"
"Disabled","غير فعال"
"Enabled","فعال"
"Manage Pages","مدیریت صفحات"
"Add New Page","افزودن صفحه جدید"
"Delete Page","حذف صفحه"
"URL Key","کلید URL"
"Layout","چیدمان"
"Store View","نمای فروشگاه"
"Created","ايجاد شد"
"Modified","تغيير يافته"
"Action","اقدام"
"Preview","پيش نمايش"
"Media Storage","محل ذخیره سازی رسانه"
"Cancel","Cancel"
"Delete Folder","حذف پوشه"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","نام پوشه‌ی جدید:"
"Are you sure you want to delete this folder?","ايا شما از خذف اين پوشه اطمينان داريد?"
"Are you sure you want to delete this file?","آيا شما از حذف اين فايل اطمينان داريد?"
"Images (%1)","تصاویر (%1)"
"Storage Root","ریشه‌ی مخزن"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","خانه"
"Go to Home Page","برو به صفحه‌ی اصلی"
"CMS","سیستم مدیریت محتوا"
"You deleted the block.","بلوک را حذف کردید."
"We can't find a block to delete.","ما نمی توانیم یک ویژگی را برای حذف پیدا کنیم."
"This block no longer exists.","این بلوک دیگر وجود ندارد."
"Edit Block","ویرایش بلوک"
"New Block","بلوک جدید"
"Blocks","بلوک ها"
"Please correct the data sent.","لطفا داده های ارسال شده را اصلاح کنید."
"A total of %1 record(s) have been deleted.","در مجموع %1 رکورد (ها) حذف شده است."
"You saved the block.","بلوک را ذخیره کردید."
"Something went wrong while saving the block.","هنگام ذخیره بلوک، خطایی رخ داد."
"You duplicated the block.","You duplicated the block."
"The page has been deleted.","صفحه حذف شد."
"We can't find a page to delete.","ما نمی توانیم یک صفحه برای حذف پیدا کنیم."
"This page no longer exists.","این صفحه دیگر وجود ندارد."
"Edit Page","ویرایش صفحه"
"New Page","صفحه جدید"
"Pages","صفحات"
"Something went wrong while saving the page.","هنگام ذخیره کردن صفحه، خطایی رخ داد."
"A total of %1 record(s) have been disabled.","%1 رکورد غیرفعال شده است."
"A total of %1 record(s) have been enabled.","%1 رکورد فعال شده است."
"Page Title","عنوان صفحه"
"To apply changes you should fill in hidden required ""%1"" field","برای اعمال تغییرات باید فیلد پنهان الزامی ""%1"" را پر کنید"
"You saved the page.","صفحه ذخیره شد."
"You duplicated the page.","You duplicated the page."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","پوشه %1 در مسیر ریشه ذخیره سازی نیست."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","اطمینان حاصل کنید که محتویات بلوک استاتیک خود بلوک را نشان نمی کند."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","فعال به صورت پیش فرض"
"Disabled by Default","غیرفعال به صورت پیش فرض"
"Disabled Completely","کاملا غیرفعال"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","این شناسه برای ""CMS No Route Page"" در پیکربندی ذخیره شده است."
"This identifier is reserved for ""CMS Home Page"" in configuration.","این شناسه برای ""CMS Home Page"" در پیکربندی ذخیره شده است."
