"Static Blocks","Blocs statiques"
"Add New Block","Ajouter un nouveau bloc"
"Back","Retour"
"Delete Block","Supprimer le bloc"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Reset","Réinitialiser"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Save Block","Sauvegarder le bloc"
"ID","Identifiant"
"Title","Titre"
"Identifier","Identifiant"
"Status","Statut"
"Disabled","Désactivé"
"Enabled","Activé"
"Manage Pages","Gestion des pages"
"Add New Page","Ajouter une nouvelle page"
"Delete Page","Supprimer la page"
"Save Page","Sauvegarder la page"
"URL Key","Clé d'URL"
"Layout","Agencement"
"Store View","Vue magasin"
"Created","Créé"
"Modified","Modifié le"
"Action","Action"
"Preview","Prévisualiser"
"Media Storage","Stockage des medias"
"Create Folder...","Créer un dossier..."
"Delete Folder","Supprimer le dossier"
"Delete File","Supprimer le fichier"
"Insert File","Insérer le fichier"
"New Folder Name:","Nouveau nom de dossier :"
"Are you sure you want to delete this folder?","Êtes-vous sûr de vouloir supprimer ce dossier ?"
"Are you sure you want to delete this file?","Êtes-vous certain(e) de vouloir supprimer ce fichier ?"
"Images (%1)","Images (%1)"
"Storage Root","Racine du stockage"
"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"CMS","CMS"
"You deleted the block.","Vous avez supprimé le bloc."
"We can't find a block to delete.","Impossible de trouver un bloc à supprimer."
"This block no longer exists.","Ce bloc n'existe plus."
"Edit Block","Éditer le bloc"
"New Block","Nouveau bloc"
"Blocks","Blocs"
"Please correct the data sent.","Merci de corriger les données envoyées."
"A total of %1 record(s) have been deleted.","%1 enregistrement(s) a (ont) été effacé(s)."
"You saved the block.","Vous avez sauvegardé le bloc."
"Something went wrong while saving the block.","Une erreur s'est produite lors de l'enregistrement du bloc."
"The page has been deleted.","La page a bien été effacée."
"We can't find a page to delete.","Impossible de trouver une page à supprimer."
"This page no longer exists.","Cette page n'existe plus."
"Edit Page","Éditer la page"
"New Page","Nouvelle page"
"Pages","Pages"
"Something went wrong while saving the page.","Une erreur s'est produite lors de l'enregistrement de la page."
"A total of %1 record(s) have been disabled.","%1 enregistrement(s) désactivé(s) au total."
"A total of %1 record(s) have been enabled.","%1 enregistrement(s) activé(s) au total."
"Page Title","Titre de page"
"To apply changes you should fill in hidden required ""%1"" field","Pour appliquer les modifications, vous devez remplir le champ caché requis ""%1"""
"You saved the page.","Vous avez enregistré la page."
"Directory %1 is not under storage root path.","Le répertoire %1 n'est pas un chemin d'accès à la racine de stockage."
"The directory %1 is not writable by server.","Le répertoire %1 n'est pas accessible en écriture par le serveur."
"Make sure that static block content does not reference the block itself.","Veuillez vous assurer que le contenu du bloc statique ne référence pas le bloc lui-même."
"CMS Block with id ""%1"" does not exist.","Le bloc CMS avec l'id ""%1"" n'existe pas."
"Enabled by Default","Activé par défaut"
"Disabled by Default","Désactivé par défaut"
"Disabled Completely","Désactivé complètement"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Cet identifiant est réservé à la page ""CMS No Route Page""."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Cet identifiant est réservé à la page ""CMS Home Page""."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Cet identifiant est réservé à la page ""CMS No Cookies Page""."
"Could not save the page: %1","Impossible de sauvegarder la page: %1"
"CMS Page with id ""%1"" does not exist.","La page CMS avec l'id ""%1"" n'existe pas."
"Could not delete the page: %1","Suppression de la page impossible: %1"
"A block identifier with the same properties already exists in the selected store.","Il existe déjà un identifiant de bloc ayant les mêmes propriétés dans la boutique sélectionnée."
"The page URL key contains capital letters or disallowed symbols.","La clé d'url de page contient des lettres majuscules ou des symboles non autorisés."
"The page URL key cannot be made of only numbers.","La clé d'URL de la page ne peut pas contenir uniquement des nombres."
"Please rename the folder using only letters, numbers, underscores and dashes.","Veuillez renommer le dossier en utilisant uniquement des lettres, des chiffres, des tirets bas et des tirets."
"We found a directory with the same name. Please try another folder name.","Nous avons trouvé un répertoire portant le même nom. Veuillez essayer un autre nom de dossier."
"We cannot create a new directory.","Impossible de créer un nouveau répertoire."
"We cannot delete directory %1.","Impossible de supprimer le répertoire %1."
"We can't upload the file right now.","Impossible de télécharger le fichier maintenant."
"We can't delete root directory %1 right now.","Impossible de supprimer le répertoire racine %1 maintenant."
"Privacy and Cookie Policy","Politique de confidentialité et cookies"
"Error message","Message d'erreur"
"LocalizedException","Localisation d'exception"
"RuntimeException","Exception d'exécution"
"Exception","Exception"
"Could not create a directory.","Échec lors de la création du répertoire."
"Edit","Éditer"
"Delete","Supprimer"
"Delete %1","Supprimer %1"
"Are you sure you want to delete a %1 record?","Êtes-vous certain(e) de vouloir supprimer un enregistrement de %1 ?"
"All Store Views","Toutes les vues magasin"
"View","Voir"
"px.","px."
"No files found","Aucun fichier trouvé"
"Browse Files...","Parcourir les fichiers..."
"Collapse All","Tout réduire"
"Expand All","Tout développer"
"We could not detect a size.","Impossible de détecter le poids du fichier."
"Media Gallery","Galerie de médias"
"Content Management","Gestion du contenu"
"CMS Home Page","Page d'accueil CMS"
"CMS No Route Page","Page CMS quand ressource non trouvée"
"CMS No Cookies Page","Page CMS quand les cookies sont désactivés"
"Show Breadcrumbs for CMS Pages","Afficher le fil d'Ariane pour les pages CMS"
"Browser Capabilities Detection","Détection des capacités du navigateur"
"Redirect to CMS-page if Cookies are Disabled","Rediriger vers la page CMS si les cookies sont désactivés"
"Show Notice if JavaScript is Disabled","Afficher un message si javascript est désactivé"
"Show Notice if Local Storage is Disabled","Notifier la désactivation du stockage local"
"WYSIWYG Options","Options WYSIWYG"
"Enable WYSIWYG Editor","Activer l'éditeur WYSIWYG"
"CMS Page Link","Lien Page CMS"
"Link to a CMS Page","Lien vers une page CMS"
"CMS Page","Page CMS"
"Select Page...","Choisir une page..."
"Anchor Custom Text","Texte personnalisé de l'ancre"
"If empty, the Page Title will be used","Si vide, le titre de page sera utilisé"
"Anchor Custom Title","Titre personnalisé de l'ancre"
"Template","Gabarit"
"CMS Page Link Block Template","Gabarit du bloc lien page CMS"
"CMS Page Link Inline Template","Gabarit du bloc lien en ligne CMS"
"CMS Static Block","Bloc statique CMS"
"Contents of a Static Block","Contenu d'un bloc statique"
"Block","Bloc"
"Select Block...","Choisir un bloc..."
"CMS Static Block Default Template","Gabarit par défaut du bloc statique CMS"
"General Information","Informations générales"
"Enable Block","Activer le bloc"
"Block Title","Titre du bloc"
"Are you sure you want to delete selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
"Delete items","Supprimer les éléments"
"Page Information","Informations de la page"
"Enable Page","Activer la page"
"Content","Contenu"
"Content Heading","En-tête de contenu"
"Search Engine Optimization","Optimisation pour les moteurs de recherche"
"Meta Title","Titre méta"
"Meta Keywords","Mots-clés meta"
"Meta Description","Méta description"
"Page in Websites","Page de sites Web"
"Design","Design"
"Layout Update XML","XML de mise à jour d'agencement"
"Custom Design Update","Mise à jour du design personnalisé"
"From","Depuis"
"To","À"
"New Theme","Nouveau thème"
"-- Please Select --","-- Faites un choix --"
"New Layout","Nouvelle mise en page"
"Disable","Désactiver"
"Enable","Activer"
"Custom design from","Design personnalisé à partir du"
"Custom design to","Design personnalisé jusqu'au"
"Custom Theme","Thème personnalisé"
"Custom Layout","Agencement personnalisé"
"Edit Block '%1'","Éditer le bloc '%1'"
"Block Information","Informations sur le bloc"
"Edit Page '%1'","Éditer la page '%1'"
"Page Layout","Agencement de page"
"Custom Design","Design personnalisé"
"Custom Design From","Design personnalisé à partir du"
"Custom Design To","Design personnalisé jusqu'au"
"Custom Layout Update XML","XML de mise à jour de l'agencement personnalisé"
"Relative to Web Site Base URL","Relatif à l'URL de base du site web"
"Page Status","Statut de la page"
"Meta Data","Données meta"
"Keywords","Mots clés"
"Description","Description"
"You saved this page.","Vous avez enregistré la page."
"Could not create directory.","Échec lors de la création du répertoire."
"Delete ${ $.$data.title }","Supprimer ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Êtes-vous certain(e) de vouloir supprimer un enregistrement de ${ $.$data.title }?"
"Details","Détails"
"Delete ""${ $.$data.title }""","Supprimer ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Êtes-vous certain(e) de vouloir supprimer l'enregistrement ""{ $.$data.title }"" ?"
