"Static Blocks","Blocs statiques"
"Add New Block","Ajouter un nouveau bloc"
"Back","Retour"
"Delete Block","Supprimer le bloc"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Save","Enregistrer"
"Save & Duplicate","Enregistrer & Dupliquer"
"Save & Close","Enregistrer & Fermer"
"ID","Identifiant"
"Title","Titre"
"Identifier","Identifiant"
"Status","Statut"
"Disabled","Désactivé"
"Enabled","Activé"
"Manage Pages","Gestion des pages"
"Add New Page","Ajouter une nouvelle page"
"Delete Page","Supprimer la page"
"URL Key","Clé d'URL"
"Layout","Agencement"
"Store View","Vue magasin"
"Created","Créé"
"Modified","Modifié le"
"Action","Action"
"Preview","Prévisualiser"
"Media Storage","Stockage des medias"
"Cancel","Annuler"
"Delete Folder","Supprimer le dossier"
"Delete Selected","Supprimer la sélection"
"Create Folder","Créer un dossier"
"Add Selected","Ajouter la sélection"
"New Folder Name:","Nouveau nom de dossier :"
"Are you sure you want to delete this folder?","Êtes-vous sûr de vouloir supprimer ce dossier ?"
"Are you sure you want to delete this file?","Êtes-vous certain(e) de vouloir supprimer ce fichier ?"
"Images (%1)","Images (%1)"
"Storage Root","Racine du stockage"
"The CMS block with identifier ""%identifier"" is not enabled.","Le bloc CMS avec l'identifiant ""%identifier"" n'est pas activé."
"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"CMS","CMS"
"You deleted the block.","Vous avez supprimé le bloc."
"We can't find a block to delete.","Impossible de trouver un bloc à supprimer."
"This block no longer exists.","Ce bloc n'existe plus."
"Edit Block","Éditer le bloc"
"New Block","Nouveau bloc"
"Blocks","Blocs"
"Please correct the data sent.","Merci de corriger les données envoyées."
"A total of %1 record(s) have been deleted.","%1 enregistrement(s) a (ont) été effacé(s)."
"You saved the block.","Vous avez sauvegardé le bloc."
"Something went wrong while saving the block.","Une erreur s'est produite lors de l'enregistrement du bloc."
"You duplicated the block.","Vous avez dupliqué le bloc."
"The page has been deleted.","La page a bien été effacée."
"We can't find a page to delete.","Impossible de trouver une page à supprimer."
"This page no longer exists.","Cette page n'existe plus."
"Edit Page","Éditer la page"
"New Page","Nouvelle page"
"Pages","Pages"
"Something went wrong while saving the page.","Une erreur s'est produite lors de l'enregistrement de la page."
"A total of %1 record(s) have been disabled.","%1 enregistrement(s) désactivé(s) au total."
"A total of %1 record(s) have been enabled.","%1 enregistrement(s) activé(s) au total."
"Page Title","Titre de page"
"To apply changes you should fill in hidden required ""%1"" field","Pour appliquer les modifications, vous devez remplir le champ caché requis ""%1"""
"You saved the page.","Vous avez enregistré la page."
"You duplicated the page.","Vous avez dupliqué la page."
"Wrong request.","Requête erronée."
"Directory %1 is not under storage root path.","Le répertoire %1 n'est pas un chemin d'accès à la racine de stockage."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Impossible de créer %1 en tant que sous-répertoire de %2, vous pourriez avoir un problème de permission."
"Make sure that static block content does not reference the block itself.","Veuillez vous assurer que le contenu du bloc statique ne référence pas le bloc lui-même."
"Content field contains restricted HTML elements. %1","Le champ de contenu contient des éléments HTML restreints. %1"
"The CMS block with the ""%1"" ID doesn't exist.","Le bloc CMS avec l'ID ""%1"" n'existe pas."
"Enabled by Default","Activé par défaut"
"Disabled by Default","Désactivé par défaut"
"Disabled Completely","Désactivé complètement"
"The CMS page with the ""%1"" ID doesn't exist.","La page CMS avec l'ID ""%1"" n'existe pas."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Cet identifiant est réservé à la page ""CMS No Route Page""."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Cet identifiant est réservé à la page ""CMS Home Page""."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Cet identifiant est réservé à la page ""CMS No Cookies Page""."
"Content HTML contains restricted elements. %1","Le contenu HTML contient des éléments restreints. %1"
"You are not allowed to change CMS pages design settings","Vous n'êtes pas autorisé à modifier les paramètres de conception des pages CMS"
"Invalid Custom Layout Update selected","Mise à jour personnalisée sélectionnée non valide "
"Page ""%id"" doesn't have custom layout assigned","La page ""%id"" n'a pas de mise en page personnalisée assignée"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Impossible de sauvegarder la page: %1"
"Could not delete the page: %1","Suppression de la page impossible: %1"
"The value specified in the URL Key field would generate a URL that already exists.","La valeur spécifiée dans le champ de clé URL générera une URL qui existe déjà."
"Required field ""%1"" is empty.","Le champ ""%1"" est vide."
"Layout update is invalid","La mise à jour de la mise en page est non valide"
"Custom layout update is invalid","Mise à jour de la mise en page personnalisée est non valide"
"A block identifier with the same properties already exists in the selected store.","Il existe déjà un identifiant de bloc ayant les mêmes propriétés dans la boutique sélectionnée."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","La clé d'URL de la page ne peut pas utiliser de lettres majuscules ou de symboles interdits. Supprimez les lettres et les symboles et réessayez."
"The page URL key can't use only numbers. Add letters or words and try again.","La clé URL de la page ne peut pas utiliser que des chiffres. Ajoutez des lettres ou des mots et réessayez."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Veuillez renommer le dossier en utilisant uniquement des lettres latines, des chiffres et des tirets."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Nous avons trouvé un répertoire portant le même nom. Veuillez essayer un autre nom de dossier."
"We cannot create a new directory.","Impossible de créer un nouveau répertoire."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Impossible de supprimer le répertoire %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","La validation du fichier a échoué."
"We can't upload the file right now.","Impossible de télécharger le fichier maintenant."
"We can't delete root directory %1 right now.","Impossible de supprimer le répertoire racine %1 maintenant."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Autorisé temporairement à enregistrer la valeur HTML qui contient des éléments restreints. %1"
"Invalid HTML provided","HTML fourni non valide"
"Privacy and Cookie Policy","Politique de confidentialité et cookies"
"NoSuchEntityException","Pas d'exception de SuchEntity"
"Error message","Message d'erreur"
"LocalizedException","Localisation d'exception"
"Error","Error"
"Could not create a directory.","Échec lors de la création du répertoire."
"Oh no. That isn't right.","Oh non, ce n'est pas juste."
"Invalid format","Format non valide"
"Invalid html","Html non valide"
"Edit","Éditer"
"Delete","Supprimer"
"Delete %1","Supprimer %1"
"Are you sure you want to delete a %1 record?","Êtes-vous certain(e) de vouloir supprimer un enregistrement de %1 ?"
"All Store Views","Toutes les vues magasin"
"View","Voir"
"px.","px."
"No files found","Aucun fichier trouvé"
"Upload Images","Charger des images"
"Collapse All","Tout réduire"
"Expand All","Tout développer"
"Save Page","Sauvegarder la page"
"Edit Page Design","Editer le design de la page"
"Media Gallery","Galerie de médias"
"Content Management","Gestion du contenu"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","Page d'accueil CMS"
"CMS No Route Page","Page CMS quand ressource non trouvée"
"CMS No Cookies Page","Page CMS quand les cookies sont désactivés"
"Show Breadcrumbs for CMS Pages","Afficher le fil d'Ariane pour les pages CMS"
"Browser Capabilities Detection","Détection des capacités du navigateur"
"Redirect to CMS-page if Cookies are Disabled","Rediriger vers la page CMS si les cookies sont désactivés"
"Show Notice if JavaScript is Disabled","Afficher un message si javascript est désactivé"
"Show Notice if Local Storage is Disabled","Notifier la désactivation du stockage local"
"Default Page Layout","Mise en page par défaut"
"WYSIWYG Options","Options WYSIWYG"
"Enable WYSIWYG Editor","Activer l'éditeur WYSIWYG"
"WYSIWYG Editor","Éditeur WYSIWYG"
"CMS Page Link","Lien Page CMS"
"Link to a CMS Page","Lien vers une page CMS"
"CMS Page","Page CMS"
"Select Page...","Choisir une page..."
"Anchor Custom Text","Texte personnalisé de l'ancre"
"If empty, the Page Title will be used","Si vide, le titre de page sera utilisé"
"Anchor Custom Title","Titre personnalisé de l'ancre"
"Template","Gabarit"
"CMS Page Link Block Template","Gabarit du bloc lien page CMS"
"CMS Page Link Inline Template","Gabarit du bloc lien en ligne CMS"
"CMS Static Block","Bloc statique CMS"
"Contents of a Static Block","Contenu d'un bloc statique"
"Block","Bloc"
"Select Block...","Choisir un bloc..."
"CMS Static Block Default Template","Gabarit par défaut du bloc statique CMS"
