"Static Blocks","Khối tĩnh"
"Add New Block","Thêm khối mới"
"Back","Trở lại"
"Delete Block","Xóa khối"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"ID","ID"
"Title","Tiêu đề"
"Identifier","Định danh"
"Status","Trạng thái"
"Disabled","Vô hiệu hóa"
"Enabled","Cho phép"
"Manage Pages","Quản lý trang"
"Add New Page","Thêm trang mới"
"Delete Page","Xóa trang"
"URL Key","Đường dẫn Url"
"Layout","Giao diện"
"Store View","Xem cửa hàng"
"Created","Đã tạo"
"Modified","Đã sửa"
"Action","Thao tác"
"Preview","Xem trước"
"Media Storage","Phương tiện lưu trữ"
"Cancel","Cancel"
"Delete Folder","Xoá thư mục"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","Tên thư mục mới:"
"Are you sure you want to delete this folder?","Bạn có chắc bạn muốn xóa bỏ thư mục này không?"
"Are you sure you want to delete this file?","Bạn có chắc bạn muốn xóa tệp này không?"
"Images (%1)","Hình ảnh (%1)"
"Storage Root","Gốc lưu trữ"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","Trang chủ"
"Go to Home Page","Đi đến trang chủ"
"CMS","CMS"
"You deleted the block.","Bạn đã xóa các khối."
"We can't find a block to delete.","Không tìm thấy khối đối tượng để xóa."
"This block no longer exists.","Khối này không còn tồn tại."
"Edit Block","Chỉnh sửa khối"
"New Block","Khối mới"
"Blocks","Các khối"
"Please correct the data sent.","Xin vui lòng sửa các dữ liệu được gửi."
"A total of %1 record(s) have been deleted.","Tổng cộng %1 bản ghi (s) đã bị xóa."
"You saved the block.","Bạn đã lưu các khối."
"Something went wrong while saving the block.","Một cái gì đó đã đi sai khi lưu khối."
"You duplicated the block.","Bạn đã sao các khối."
"The page has been deleted.","Trang web đã bị xoá."
"We can't find a page to delete.","Không tìm thấy trang để xóa."
"This page no longer exists.","Trang này không còn tồn tại."
"Edit Page","Chỉnh sửa trang"
"New Page","Trang mới"
"Pages","Các trang"
"Something went wrong while saving the page.","Một cái gì đó đã đi sai khi lưu các trang."
"A total of %1 record(s) have been disabled.","Tổng cộng %1 bản ghi đã bị vô hiệu."
"A total of %1 record(s) have been enabled.","Tổng cộng %1 bản ghi đã được kích hoạt."
"Page Title","Tiêu đề trang"
"To apply changes you should fill in hidden required ""%1"" field","Để áp dụng thay đổi, bạn nên điền vào trường yêu cầu bị ẩn ""%1"""
"You saved the page.","Bạn đã lưu các trang."
"You duplicated the page.","Bạn đã sao trang."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","Thư mục %1 không theo đường dẫn gốc lưu trữ."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","Hãy chắc chắn rằng nội dung khối tĩnh không tự tham khảo."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","Được kích hoạt mặc định"
"Disabled by Default","Vô hiệu hóa bởi mặc định"
"Disabled Completely","Vô hiệu hóa hoàn toàn"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Nhận dạng này là dành cho ""CMS No Route Page"" trong cấu hình."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Nhận dạng này là dành cho ""Trang chủ CMS"" trong cấu hình."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Nhận dạng này là dành cho ""Trang CMS không có cookie"" trong cấu hình."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Không thể lưu trang web: %1"
"Could not delete the page: %1","Không thể xóa bỏ các trang: %1"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","Khối được chỉ định với thuộc tính như vậy đã tồn tại trong cửa hàng được chọn."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Chúng tôi tìm thấy một thư mục có cùng tên. Hãy thử tên thư mục khác."
"We cannot create a new directory.","Chúng tôi không thể tạo một hướng mới."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Chúng tôi không thể xoá thư mục %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","Hiện tại không thể tải lên các tập tin."
"We can't delete root directory %1 right now.","Hiện tại không thể xóa thư mục gốc %1."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","Riêng tư và chính sách cookie"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","Yếu tố ngoại lệ cho bản địa"
"Error","Error"
"Could not create a directory.","Không thể tạo thư mục."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","Chỉnh sửa"
"Delete","Xóa bỏ"
"Delete %1","Xóa %1"
"Are you sure you want to delete a %1 record?","Bạn có chắc chắn muốn xóa ""%1"" bản ghi?"
"All Store Views","Tất cả lượt xem cửa hàng"
"View","Hiển thị"
"px.","px."
"No files found","Không tìm thấy tập tin"
"Upload Images","Upload Images"
"Collapse All","Thu gọn tất cả"
"Expand All","Mở rộng tất cả"
"Save Page","Lưu trang"
"Edit Page Design","Edit Page Design"
"Media Gallery","Thư viện Media"
"Content Management","Quản lý nội dung"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","CMS trang chủ"
"CMS No Route Page","Trang CMS không kết nối"
"CMS No Cookies Page","Trang không có cookie CMS"
"Show Breadcrumbs for CMS Pages","Hiển thị breadcrumbs cho trang CMS"
"Browser Capabilities Detection","Phát hiện khả năng của trình duyệt"
"Redirect to CMS-page if Cookies are Disabled","Chuyển hướng đến trang CMS nếu cookie bị vô hiệu hoá"
"Show Notice if JavaScript is Disabled","Hiển thị thông báo nếu JavaScript bị vô hiệu hóa"
"Show Notice if Local Storage is Disabled","Hiển thị thông báo nếu lưu trữ cục bộ bị vô hiệu hóa"
