"Static Blocks","Статички Блокови"
"Add New Block","Додај Нови Блок"
"Back","Назад"
"Delete Block","Избриши Блок"
"Are you sure you want to do this?","Јесте ли сигурни да желите да урадите ово?"
"Reset","Ресетовати"
"Save and Continue Edit","Сачувај и настави уређивање"
"Save Block","Сачувај Блокирај"
"ID","ИД"
"Title","Наслов"
"Identifier","Идентификатор"
"Status","Статус"
"Disabled","Онемогућено"
"Enabled","Омогућено"
"Manage Pages","Управљај Страницама"
"Add New Page","Додај Нову Страницу"
"Delete Page","Избриши Страницу"
"Save Page","Сачувај Страницу"
"URL Key","УРЛ Кључ"
"Layout","Распоред"
"Store View","Приказ продавнице"
"Created","Креиран"
"Modified","Измењено"
"Action","Акција"
"Preview","Преглед"
"Media Storage","Складиште Медиа садржаја"
"Create Folder...","Креирај Фолдер..."
"Delete Folder","Избришите фасциклу"
"Delete File","Избриши датотеку"
"Insert File","Убаци Датотека"
"New Folder Name:","Нови Назив Фолдера:"
"Are you sure you want to delete this folder?","Да ли сте сигурни да желите да избришете овај фолдер?"
"Are you sure you want to delete this file?","Да ли сте сигурни да желите да обришете ову датотеку?"
"Images (%1)","Слике (%1)"
"Storage Root","Storage Root"
"Home","Почетна"
"Go to Home Page","Иди на почетну страницу"
"CMS","ЦМС"
"You deleted the block.","Обрисали сте блок."
"We can't find a block to delete.","Не можемо пронаћи блок за брисање."
"This block no longer exists.","Овај блок више не постоји."
"Edit Block","Измени Блок"
"New Block","Нови Блок"
"Blocks","Блокови"
"Please correct the data sent.","Исправите послате податке."
"A total of %1 record(s) have been deleted.","Укупно %1 запис(а) је уклоњено."
"You saved the block.","Сачували сте блок."
"Something went wrong while saving the block.","Дошло је до грешке приликом чувања блока."
"The page has been deleted.","Страница је обрисана."
"We can't find a page to delete.","Не можемо пронаћи страну за брисање."
"This page no longer exists.","Ова страница више не постоји."
"Edit Page","Измени страницу"
"New Page","Нова Страница"
"Pages","Странице"
"Something went wrong while saving the page.","Дошло је до грешке приликом чувања странице."
"A total of %1 record(s) have been disabled.","Укупно %1 запис(а) је онемогућен."
"A total of %1 record(s) have been enabled.","Укупно %1 запис(а) је омогућен."
"Page Title","Наслов стране"
"To apply changes you should fill in hidden required ""%1"" field","Да бисте применили промене морате попунити скривени захтев ""%1"" поља"
"You saved the page.","Сачували сте страницу."
"Directory %1 is not under storage root path.","Директоријум %1 није у магацину роот путање."
"The directory %1 is not writable by server.","Директоријум %1 није уписив од сервера."
