"Static Blocks","Statické bloky"
"Add New Block","Přidat nový blok"
"Back","Zpět"
"Delete Block","Odstranit blok"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Reset","Obnovit"
"Save and Continue Edit","Použít"
"Save Block","Uložit blok"
"ID","ID"
"Title","Název"
"Identifier","Identifikátor"
"Status","Stav"
"Disabled","Vypnuto"
"Enabled","Zapnuto"
"Manage Pages","Správa stránek"
"Add New Page","Přidat novou stránku"
"Delete Page","Odstranit stránku"
"Save Page","Uložit stránku"
"URL Key","URL klíč"
"Layout","Rozložení"
"Store View","Zobrazení obchodu"
"Created","Vytvořeno"
"Modified","Upraveno"
"Action","Akce"
"Preview","Náhled"
"Media Storage","Úložiště médií"
"Create Folder...","Vytvořit adresář..."
"Delete Folder","Odstranit adresář"
"Delete File","Smazat soubor"
"Insert File","Vložit soubor"
"New Folder Name:","Název nového adresáře:"
"Are you sure you want to delete this folder?","Skutečně chcete tento adresář odstranit?"
"Are you sure you want to delete this file?","Skutečně chcete tento soubor odstranit?"
"Images (%1)","Obrázky (%1)"
"Storage Root","Hlavní adresář"
"Home","Úvod"
"Go to Home Page","Na úvodní stránku"
"CMS","CMS"
"You deleted the block.","Blok byl odstraněn."
"We can't find a block to delete.","Blok k odstranění nelze najít."
"This block no longer exists.","Tento blok již neexistuje."
"Edit Block","Upravit blok"
"New Block","Nový blok"
"Blocks","Bloky"
"Please correct the data sent.","Opravte zaslaná data prosím."
"A total of %1 record(s) have been deleted.","Bylo odstraněno celkem %1 záznam(ů)."
"You saved the block.","Blok byl uložen."
"You duplicated the block.","You duplicated the block."
"Something went wrong while saving the block.","Při ukládání bloku nastala chyba."
"The page has been deleted.","Stránka byla odstraněna."
"We can't find a page to delete.","Stránku k odstranění nelze najít."
"This page no longer exists.","Tato stránka již neexistuje."
"Edit Page","Upravit stránku"
"New Page","Nová stránka"
"Pages","Stránky"
"Something went wrong while saving the page.","Při ukládání stránky nastala chyba."
"A total of %1 record(s) have been disabled.","Bylo vypnuto celkem %1 záznam(ů)."
"A total of %1 record(s) have been enabled.","Bylo zapnuto celkem %1 záznam(ů)."
"Page Title","Název stránky"
"To apply changes you should fill in hidden required ""%1"" field","Chcete-li aplikovat změny, je třeba vyplnit povinný skrytý ""%1"" údaj"
"You saved the page.","Stránka byla uložena."
"You duplicated the page.","You duplicated the page."
"The directory %1 is not writable by server.","Adresář %1 není zapisovatelný."
"Make sure that static block content does not reference the block itself.","Ujistěte se, že statický blok nedokazuje sám na sebe."
"CMS Block with id ""%1"" does not exist.","CMS blok s ID ""%1"" neexistuje."
"Enabled by Default","Ve výchozím stavu zapnuto"
"Disabled by Default","Ve výchozím stavu Vypnuto"
"Disabled Completely","Vypnuto úplně"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration."
"Could not save the page: %1","Stránku nelze uložit: %1"
"CMS Page with id ""%1"" does not exist.","CMS stránka s ID ""%1"" neexistuje."
"Could not delete the page: %1","Stránku nelze odstranit: %1"
"A block identifier with the same properties already exists in the selected store.","Blok s tímto ID již ve zvoleném obchodě existuje."
"The page URL key contains capital letters or disallowed symbols.","URL klíč stránky obsahuje velké nebo nepovolené znaky."
"The page URL key cannot be made of only numbers.","URL klíč stránky nemůže obsahovat pouze čísla."
"Please rename the folder using only letters, numbers, underscores and dashes.","Přejmenujte složku použitím pouze písmen, číslic, podtržítek a pomlček."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","Byl nalezen adresář se stejným názvem. Zadejte jiný název prosím."
"We cannot create a new directory.","Nový adresář nelze vytvořit."
"We cannot delete directory %1.","Adresář %1 nelze odstranit."
"We can't upload the file right now.","Momentálně soubor nelze nahrát."
"We can't delete root directory %1 right now.","Kořenový adresář %1 momentálně nelze odstranit."
"Directory %1 is not under storage root path.","Adresář %1 není v základním adresáři."
"Privacy and Cookie Policy","Privacy and Cookie Policy"
"LocalizedException","VýjimkaLokalizace"
"RuntimeException","RuntimeException"
"Exception","Výjimka"
"Could not create a directory.","Nelze vytvořit adresář."
"Edit","Upravit"
"Delete","Smazat"
"Delete %1","Odstranit %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","Všechna zobrazení obchodu"
"View","Zobrazit"
"px.","px."
"No files found","Žádné soubory nebyly nalezeny"
"Browse Files...","Procházet soubory..."
"Collapse All","Sbalit vše"
"Expand All","Rozbalit vše"
"We could not detect a size.","Velikost nelze zjistit."
"Media Gallery","Galerie médií"
"Content Management","Správa obsahu"
"CMS Home Page","CMS úvodní stránka"
"CMS No Route Page","CMS chybová stránka"
"CMS No Cookies Page","CMS stránka cookie"
"Show Breadcrumbs for CMS Pages","Zobrazit odkazy úrovní CMS stránek"
"Browser Capabilities Detection","Detekce schopností prohlížeče"
"Redirect to CMS-page if Cookies are Disabled","Při vypnutých cookies přesměrovat na CMS stránku"
"Show Notice if JavaScript is Disabled","Zobrazit upozornění při vypnutém JavaScriptu"
"Show Notice if Local Storage is Disabled","Zobrazit upozornění, pokud je místní úložiště vypnuto"
"WYSIWYG Options","Nastavení editoru"
"Enable WYSIWYG Editor","Zapnout editor"
"CMS Page Link","Odkaz CMS stránky"
"Link to a CMS Page","Odkaz na CMS stránku"
"CMS Page","CMS Stránka"
"Select Page...","Vyberte stránku..."
