"Static Blocks","Blocuri statice"
"Add New Block","Adaugă bloc nou"
"Back","Înapoi"
"Delete Block","Șterge Bloc"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?"
"Reset","Resetați"
"Save and Continue Edit","Salvați și continuați editarea"
"Save Block","Salvează Bloc"
"ID","ID"
"Title","Titlu"
"Identifier","Identificator"
"Status","Status"
"Disabled","Dezactivat"
"Enabled","Activat"
"Manage Pages","Gestionare pagini"
"Add New Page","Adaugă pagină nouă"
"Delete Page","Șterge pagina"
"Save Page","Salvare pagină"
"URL Key","Cheie URL"
"Layout","Aspect"
"Store View","Vitrina magazin"
"Created","Creat"
"Modified","Modificat"
"Action","Acțiune"
"Preview","Previzualizare"
"Media Storage","Stocare media"
"Create Folder...","Creare dosar..."
"Delete Folder","Ștergere dosar"
"Delete File","Ștergere Fișier"
"Insert File","Inserare fișier"
"New Folder Name:","Nume folder nou:"
"Are you sure you want to delete this folder?","Sunteți sigur că doriți să ștergeți acest dosar?"
"Are you sure you want to delete this file?","Sunteți sigur că doriți să ștergeți acest fișier?"
"Images (%1)","Imagini (%1)"
"Storage Root","Rădăcină de stocare"
"Home","Pagina principală"
"Go to Home Page","Mergi la pagina principală"
"CMS","CMS"
"You deleted the block.","Ai șters blocul."
"We can't find a block to delete.","Nu găsim un bloc de șters."
"This block no longer exists.","Acest bloc nu mai există."
"Edit Block","Modifică bloc"
"New Block","Bloc nou"
"Blocks","Blocuri"
"Please correct the data sent.","Vă rugăm să corectați datele trimise."
"A total of %1 record(s) have been deleted.","Un total de %1 înregistrări au fost șterse."
"You saved the block.","Ai salvat blocul."
"Something went wrong while saving the block.","Ceva nu a mers bine în timpul salvării blocului."
"The page has been deleted.","Pagina a fost ștearsă."
"We can't find a page to delete.","Nu găsim o pagină de șters."
"This page no longer exists.","Această pagină nu mai există."
"Edit Page","Editare pagină"
"New Page","Pagină nouă"
"Pages","Pagini"
"Something went wrong while saving the page.","Ceva nu a mers bine în timpul salvării paginii."
"A total of %1 record(s) have been disabled.","Un total de %1 înregistrări au fost dezactivate."
"A total of %1 record(s) have been enabled.","Un total de %1 înregistrări au fost activate."
"Page Title","Titlul paginii"
"To apply changes you should fill in hidden required ""%1"" field","Pentru a aplica modificările trebuie să completați câmpul ""%1"""
"You saved the page.","Ați salvat pagina."
"Directory %1 is not under storage root path.","Directorul %1 nu se află în calea de stocare a rădăcinii."
"The directory %1 is not writable by server.","Directorul %1 nu poate fi scris de server."
"Make sure that static block content does not reference the block itself.","Asigurați-vă că acel conținut static al blocului nu face referire la blocul în sine."
"CMS Block with id ""%1"" does not exist.","Blocul CMS cu ID-ul ""%1nu există."
"Enabled by Default","Activat în mod implicit"
"Disabled by Default","Dezactivat în mod implicit"
"Disabled Completely","Dezactivat complet"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Acest identificator este rezervat pentru ""CMS No Route Page"" în configurare."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Acest identificator este rezervat pentru ""Pagina de pornire CMS"" în configurație. (Automatic Translation)"
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Acest identificator este rezervat pentru ""CMS No Cookies Page"" în configurare."
"Could not save the page: %1","Nu s-a putut salva pagina: %1"
"CMS Page with id ""%1"" does not exist.","Pagina CMS cu ID-ul ""%1nu există."
"Could not delete the page: %1","Nu s-a putut șterge pagina: %1"
"A block identifier with the same properties already exists in the selected store.","Un identificator de bloc cu aceleași proprietăți există deja în magazinul selectat."
"The page URL key contains capital letters or disallowed symbols.","Cheia URL a paginii conține litere mari sau simboluri nepermise."
"The page URL key cannot be made of only numbers.","Cheia URL a paginii nu poate fi făcută din doar numere."
"Please rename the folder using only letters, numbers, underscores and dashes.","Vă rugăm să redenumiți dosarul doar folosind litere, numere, underscores și dashes."
"We found a directory with the same name. Please try another folder name.","Am găsit un director cu același nume. Vă rugăm să încercați un alt nume."
"We cannot create a new directory.","Nu putem crea un director nou."
"We cannot delete directory %1.","Nu putem șterge directorul %1."
"We can't upload the file right now.","Nu putem încărca fișierul acum."
"We can't delete root directory %1 right now.","Nu putem șterge directorul rădăcină %1 acum."
"Privacy and Cookie Policy","Politica de confidențialitate și cookie"
"Error message","Mesaj de eroare"
"LocalizedException","LocalizedExcepție"
"RuntimeException","Excepție de RuntimeExcepție"
"Exception","Excepție"
"Could not create a directory.","Nu s-a putut crea un director."
"Edit","Editați"
"Delete","Ștergeți"
"Delete %1","Ștergeți %1"
