"Static Blocks","Blocchi statici"
"Add New Block","Aggiungi nuovo blocco"
"Back","Indietro"
"Delete Block","Elimina blocco"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Save","Salva"
"Save & Duplicate","Salva e Duplica"
"Save & Close","Salva & Chiudi"
"ID","ID"
"Title","Titolo"
"Identifier","Identificatore"
"Status","Stato"
"Disabled","Disabilitato"
"Enabled","Abilitato"
"Manage Pages","Gestisci le pagine"
"Add New Page","Aggiungi nuova pagina"
"Delete Page","Elimina pagina"
"URL Key","Chiave URL"
"Layout","Layout"
"Store View","Vista Negozio"
"Created","Creato"
"Modified","Modificato"
"Action","Azione"
"Preview","Anteprima"
"Media Storage","Archivio file multimediali"
"Cancel","Cancel"
"Delete Folder","Elimina cartella"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","Nome della nuova cartella:"
"Are you sure you want to delete this folder?","Sei sicuro di che voler eliminare questa cartella?"
"Are you sure you want to delete this file?","Sei sicuro di che voler cancellare questo file?"
"Images (%1)","Immagini (%1)"
"Storage Root","Root Storage"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","Home"
"Go to Home Page","Vai alla Home Page"
"CMS","CMS"
"You deleted the block.","Il blocco è stato eliminato."
"We can't find a block to delete.","Impossibile trovare il blocco da eliminare."
"This block no longer exists.","Questo blocco non esiste più."
"Edit Block","Modifica blocco"
"New Block","Nuovo blocco"
"Blocks","Blocchi"
"Please correct the data sent.","Si prega di correggere i dati inviati."
"A total of %1 record(s) have been deleted.","Un totale di %1 record sono stati eliminati."
"You saved the block.","Hai salvato il blocco."
"Something went wrong while saving the block.","Qualcosa è andato storto durante il salvataggio del blocco."
"You duplicated the block.","You duplicated the block."
"The page has been deleted.","La pagina è stata cancellata."
"We can't find a page to delete.","Non è possibile trovare una pagina da eliminare."
"This page no longer exists.","Questa pagina non esiste più."
"Edit Page","Modifica pagina"
"New Page","Nuova pagina"
"Pages","Pagine"
"Something went wrong while saving the page.","Qualcosa è andato storto durante il salvataggio della pagina."
"A total of %1 record(s) have been disabled.","Un totale di %1 record  sono stati disabilitati."
